Show Name,Days Since Launch, Viewing Accounts ,Sonic Show ID
Fixer Upper: Welcome Home,28," 1,144,078 ",go-show-12845
Magnolia Table with Joanna Gaines,28," 530,320 ",go-show-12834
House Of Hammer,28," 829,913 ",go-show-24507
Hillsong: A Megachurch Exposed,28," 767,790 ",go-show-23463
Love Off the Grid,28," 741,195 ",go-show-23303
90 Day: The Single Life,28," 605,829 ",go-show-13322
Queen Of Meth,28," 621,302 ",go-show-13749
Magnolia Network: A Look Ahead,28," 337,175 ",go-show-12833
The Haunted Museum,28," 517,430 ",go-show-21996
90 Day Bares All,28," 315,237 ",go-show-12826
Ghost Adventures: House Calls,28," 535,518 ",go-show-23912
Naked and Afraid of Love,28," 519,090 ",go-show-21726
Johnny vs. Amber,28," 517,890 ",go-show-23982
American Detective With Lt. Joe Kenda,28," 289,721 ",go-show-12859
Ghost Adventures: Cecil Hotel,28," 287,006 ",go-show-12810
Home Town Takeover,28," 469,005 ",go-show-13801
90 Day Fiance UK,28," 468,019 ",go-show-24348
Eli Roth Presents: A Ghost Ruined My Life,28," 421,325 ",go-show-21985
90 Day Diaries,28," 262,919 ",go-show-12708
Ken and Barbie Killers: The Lost Murder Tapes,28," 458,305 ",go-show-22708
Bobby and Giada in Italy,28," 260,503 ",go-show-12723
Home Town,28," 258,380 ",go-show-12267
Ghost Adventures: Goldfield Hotel,28," 401,680 ",go-show-21988
The Ghost Town Terror,28," 447,064 ",go-show-23587
1000-lb Best Friends,28," 434,332 ",go-show-23414
Ghost Adventures,28," 240,383 ",go-show-935
David & Annie: After the 90 Days,28," 426,816 ",go-show-23097
Six Degrees With Mike Rowe,28," 221,451 ",go-show-12852
Curse of the Chippendales,28," 353,747 ",go-show-21919
Jackass Shark Week,28," 377,916 ",go-show-21138
Finding Andrea,28," 350,676 ",go-show-22018
Ghost Adventures: Devil's Den,28," 339,951 ",go-show-24711
Too Large,28," 338,989 ",go-show-13853
Unprecedented,28," 373,705 ",go-show-24192
Ghosts of Devil's Perch,28," 360,840 ",go-show-24622
Buddy vs. Duff Holiday,28," 343,408 ",go-show-22489
Undercover Underage,28," 341,067 ",go-show-22411
Two Shallow Graves,28," 352,227 ",go-show-23965
Curb Appeal Xtreme,28," 327,759 ",go-show-21939
Candy Coated Christmas,28," 334,537 ",go-show-22490
I Bought a Dump ... Now What?,28," 345,134 ",go-show-24570
Dr. Mercy,28," 315,085 ",go-show-22024
Relentless,28," 334,821 ",go-show-16505
Dr. Pimple Popper,28," 190,934 ",go-show-12429
Onision: In Real Life,28," 190,871 ",go-show-12858
No Demo Reno,28," 311,553 ",go-show-13716
Halloween Cookie Challenge,28," 305,833 ",go-show-24785
Scream: The True Story,28," 336,847 ",go-show-22924
Holiday Baking Championship: Gingerbread Showdown,28," 310,687 ",go-show-22491
Love in Paradise: The Caribbean,28," 314,687 ",go-show-19042
Home Inspector Joe,28," 333,205 ",go-show-23177
Devil in Suburbia,28," 306,256 ",go-show-24726
Jack Osbourne's Haunted Homecoming,28," 291,119 ",go-show-24832
Queen Of Versailles Reigns Again,28," 321,222 ",go-show-23502
The Murder of Gabby Petito: What Really Happened,28," 288,829 ",go-show-24885
Home Town Kickstart,28," 305,781 ",go-show-23864
Loren & Alexei: After the 90 Days,28," 318,263 ",go-show-23123
In With the Old,28," 280,835 ",go-show-21587
Jackass Shark Week 2.0,28," 307,054 ",go-show-24378
Gabby Petito: ID Special Report,28," 279,085 ",go-show-22345
