,consolidated_id,title_id,acquiring_power,cluster,number_of_cluster,imdb_id,title_name,imdb_url
1,GXKN_xQX5csPDwwEAAABj,GXKN_xQX5csPDwwEAAABj,19335854.0,1,1,tt8772296,Euphoria,https://m.media-amazon.com/images/M/MV5BMDMzZDkyNzEtYTY5Ni00NzlhLWI4MzUtY2UzNjNmMjI1YzIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg
61,GYFEzmwNES16GkQEAAAAC,GYFEzmwNES16GkQEAAAAC,18089729.0,1,1,tt5034838,Godzilla vs. Kong,https://m.media-amazon.com/images/M/MV5BZmYzMzU4NjctNDI0Mi00MGExLWI3ZDQtYzQzYThmYzc2ZmNjXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg
0,GYsYeoAxKH8LCwgEAAAOR,GYsYeoAxKH8LCwgEAAAOR,17681380.0,1,1,tt11198330,House of the Dragon,https://m.media-amazon.com/images/M/MV5BZjBiOGIyY2YtOTA3OC00YzY1LThkYjktMGRkYTNhNTExY2I2XkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg
108,GYGYKfQwaKLheqwEAAAEC,GYGYKfQwaKLheqwEAAAEC,16653954.0,1,1,tt0293429,Mortal Kombat,https://m.media-amazon.com/images/M/MV5BY2ZlNWIxODMtN2YwZi00ZjNmLWIyN2UtZTFkYmZkNDQyNTAyXkEyXkFqcGdeQXVyODkzNTgxMDg@.jpg
72,GYOxtow3Wz8PDwgEAAAdw,GYOxtow3Wz8PDwgEAAAdw,16550315.0,1,1,tt6334354,The Suicide Squad,https://m.media-amazon.com/images/M/MV5BMWU4NDQ2NjEtNjhkOS00Y2MwLWJkODItZmJhZGE0MDU1OWM4XkEyXkFqcGdeQXVyODE5NzE3OTE@.jpg
5,GYiDbSAmIpMNvYAEAAAAI,GYiDbSAmIpMNvYAEAAAAI,16156770.0,1,1,tt1877830,The Batman,https://m.media-amazon.com/images/M/MV5BMDdmMTBiNTYtMDIzNi00NGVlLWIzMDYtZTk3MTQ3NGQxZGEwXkEyXkFqcGdeQXVyMzMwOTU5MDk@.jpg
242,GX9KHPw1OIMPCJgEAAAAD,GX9KHPw1OIMPCJgEAAAAD,16066718.0,1,1,tt7126948,Wonder Woman 1984,https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@.jpg
4,GVU2cggagzYNJjhsJATwo,GVU2cggagzYNJjhsJATwo,15931116.0,1,1,tt0944947,Game of Thrones,https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg
28,GYUjdLgBiJp5otAEAAAAJ,GYUjdLgBiJp5otAEAAAAJ,15623359.0,1,1,tt1160419,Dune,https://m.media-amazon.com/images/M/MV5BN2FjNmEyNWMtYzM0ZS00NjIyLTg5YzYtYThlMGVjNzE1OGViXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg
110,GYDAnZgCFQ8IJpQEAAAAN,GYDAnZgCFQ8IJpQEAAAAN,15388922.0,1,1,tt12361974,Zack Snyder's Justice League,https://m.media-amazon.com/images/M/MV5BYjI3NDg0ZTEtMDEwYS00YWMyLThjYjktMTNlM2NmYjc1OGRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2.jpg
