,TITLE_ID,HOURS_VIEWED,TOTAL_CANCEL,TOTAL_VIEWER
0,GYZ1SZwrtOrZElQEAAAAb,395361,8440,304124
1,GXnlHqggIpICgwwEAAAnY,29811,349,8412
2,GXkNWSAAXLo-njwEAABYM,102117,1824,27400
3,GXctMPAkMMcPCwwEAAAKf,108856,1875,54231
4,GYhfHhAh4-XVowwEAAAAG,386113,7580,208166
5,GYEkLVAeovrHCwgEAAAAW,1555546,5224,106397
6,GVU2d_A0NVFFvjSoJAT65,356516,1907,45584
7,GYd3Mygq6S2-jkwEAAAZI,399670,3533,61798
8,GWGwm2gls47RbwwEAAACB,30481,229,6439
9,GYYLNNwzuqL64wwEAAAEK,9481,377,7471
10,GVU2gzgvqloNJjhsJAUFb,51828,370,7489
11,GXdcjtg7bQ5uAuwEAAC1y,6799,131,1820
12,GYFpkwAgST26nJQEAAACG,40074,700,16162
13,GX6m1IQSP_EFhwwEAAABp,10193,146,2905
14,GYEaW8A10o7mmigEAAAA6,35187,193,5374
15,GYBQZ2A7tbn3DwwEAAADt,3001,77,1701
16,GYQrGfwQrB2TCQgEAAAAh,128,9,139
17,GXs2lyAY8MsNMvwEAAAJd,1604,75,1436
18,GYCwJaQuFkoWkwwEAAAAG,451,39,1307
19,GYj23VQxGV0m7wgEAAAAJ,229,23,746
20,GVU2kRAyeDoNJjhsJAUZK,57,2,84
21,GX7L7LAlGL8IOwwEAAABN,18147,485,7755
22,GYWc0ugB7BZSJlgEAAAEE,33495,702,15857
23,GX1vL2wnwfavDcwEAAAMS,11904,200,5362
24,GXnkbjw44yKFYqQEAAAjK,1580,69,1341
25,GXcsTHA88FJuAuwEAAASx,507,23,434
26,GXpiIvgu-rrEswgEAAAZY,2639,109,1492
27,GXk8nkAcN5J4_wwEAAArd,442,14,388
28,GYGhFzgNeM8PDcgEAAAAJ,8,0,12
29,GYC_OsgovbZbDwwEAAAAD,11,0,9
30,GYK0xWAMIRXXCMAEAAAB4,6,0,5
31,GYQt2kwWy5LLDMQEAAAAZ,1,0,1
32,GYaiYrQqI-q66vwEAAAAE,3,0,1
33,GXKN_xQX5csPDwwEAAABj,18910587,230297,3536385
34,GYAcWjwZC0cIyQgEAAAAy,275753,774,19300
