,index,consolidated_id,title_id,acquiring_power,cluster,number_of_cluster
0,0,GYsYeoAxKH8LCwgEAAAOR,GYsYeoAxKH8LCwgEAAAOR,17738758.0,1,7
1,1,GXKN_xQX5csPDwwEAAABj,GXKN_xQX5csPDwwEAAABj,19389835.0,3,7
2,2,GXr7SEgRi2sLCAAEAAAQu,GXr7SEgRi2sLCAAEAAAQu,13158816.0,6,7
3,3,GXdbR_gOXWJuAuwEAACVH,GXdbR_gOXWJuAuwEAACVH,11635267.0,3,7
4,4,GVU2cggagzYNJjhsJATwo,GVU2cggagzYNJjhsJATwo,15997434.0,1,7
5,5,GYiDbSAmIpMNvYAEAAAAI,GYiDbSAmIpMNvYAEAAAAI,16205823.0,7,7
6,6,GXkRjxwjR68PDwwEAABKJ,GXkRjxwjR68PDwwEAABKJ,11497910.0,6,7
7,7,GXdRsewUPO5uAuwEAABEI,GXdRsewUPO5uAuwEAABEI,9077039.0,3,7
8,8,GVU2cCgUFTYNJjhsJATuH,GVU2cCgUFTYNJjhsJATuH,5234244.0,2,7
9,9,GX5MHsQzwwIuLwgEAAACp,GX5MHsQzwwIuLwgEAAACp,12137908.0,2,7
10,10,GYbDO6QFHOsPCwgEAAAMR,GYbDO6QFHOsPCwgEAAAMR,5165286.0,2,7
11,11,GYb0FKQLsGIyPfQEAAAAM,GYb0FKQLsGIyPfQEAAAAM,9417136.0,5,7
12,12,GV7xwpQNK8MJfPwEAAAG_,GV7xwpQNK8MJfPwEAAAG_,8439306.0,1,7
13,13,GYdYmPQZFO7eZGAEAAAAT,GYdYmPQZFO7eZGAEAAAAT,8759774.0,5,7
14,14,GWmKDEwGrA8JInwEAAAL6,GWmKDEwGrA8JInwEAAAL6,5984132.0,2,7
15,15,GYij31wBohZA3MQEAAAKa,GYij31wBohZA3MQEAAAKa,9490771.0,5,7
16,16,GYZLijQsvoJKWWQEAAAB6,GYZLijQsvoJKWWQEAAAB6,5660398.0,2,7
17,17,GYeGXugg4ewPCwgEAABi1,GYeGXugg4ewPCwgEAABi1,8066056.0,5,7
18,18,GYYxBtQFFnmbDBwEAAAAE,GYYxBtQFFnmbDBwEAAAAE,9640912.0,3,7
19,19,GYk93MwWuH4BJoAEAAABu,GYk93MwWuH4BJoAEAAABu,5966204.0,2,7
20,20,GXRuC4gJdpm2YwgEAAAF_,GXRuC4gJdpm2YwgEAAAF_,5810542.0,6,7
21,21,GYfim_QUVfBqboQEAAAC-,GYfim_QUVfBqboQEAAAC-,7329403.0,4,7
