,Question,Metric,Dimension,Team most likely to ask,Notes,Example Question,Example Question Variation 1,Example Question Variation 2,Example Answer,Table Reference,Sample SQL
,How many paying subscribers are there on HBO Max in [Region]?,Paid Subscriber Balance w/ Estimates,"Subscriber Type (Retail/Hybrid/Wholesale),
Product Group (HBO Max, Discovery+),
Region",Finance,,Whats the paid sub balance in the US?,How many paid subs do we have?,How many paying subscribers are there in the US?,There are 54.8M HBO Max US paying subscribers as of the week ending Sunday May 14.,,"select
    subscription_month_number,
    sum(paid_eligible_to_renew),
    sum(paid_renewals)
from subscription_events_metrics
where
    time_grain = 'day'
    and date_trunc(month, time_value) = '2023-04-01'
group by 1
order by 1
;"
,How many subscribers are in each [Subscriber Type]?,Paid Subscriber Balance w/ Estimates,Subscriber Type (Retail/Hybrid/Wholesale),"Finance, Pricing",,What percent of the sub balance is Wholesale?,What share of the paying sub count is wholesale in the US?,How many wholesale subscribers do we have as a proportion of the entire paying base?,40.6% of US HBO Max paying subscribers are classified as wholesale as of the week ending Sunday May 14.,,
,How many subscribers are in each [Subscription Type]?,Paid Subscriber Balance w/ Estimates,"Subscription Type (Ad-Lite Monthly, Ad-Lite Annual, Ad-Free Monthly, Ad-Free Annual)","Finance, Pricing",,How many Ad Lite Subs do we have?,Whats the count of subs paying for Ad-Lite?,How many subscribers do we have in the US who are on the Ad-Lite plan?,6.3M US HBO Max paying subscribers are classified as ad-lite as of the week ending Sunday May 14.,,
,What are the net paying adds over the last [Time Period]?,Net Paying Adds Estimated,Reporting Date,Finance,,What were retail net adds last week?,Did the sub count go up or down last week?,What was the increase or decrease in Sub count in the US last week? ,HBO Max US Retail Paying Subscribers decreased by 32K in the week ending the week ending Sunday May 14. ,,
,What were the retail gross adds last [Time Period] by [Provider]?,Gross Adds,"Retail Provider,
Reporting Date","Finance, Partner Marketing",,How many Retail gross adds did we add in the last 4 weeks?,How many subs did we add in the past 4 weeks?,How many folks signed up in the past 4 weeks?,"HBO Max US Retail Gross adds were 774K between the 4 weeks ending Sunday April 16 2023 and May 7, 2023.",,
,What is the distribution of each provider for [Subscriber Type] gross adds in [Region]?,Gross Adds,"Subscriber Type (Retail/Hybrid/Wholesale),
Region,
Provider","Partner Marketing, Acquisition",,What percent of Gross adds last week were Apple?,How were signups distrbuted across Apple and other providers last week?,Was Apple the largest contributor to signups last week?,"31.1% of HBO Max US Retail Gross adds signed up via iTunes Billing in the week ending Sunday May, 2023.",,
,What is the current distribution of [SKU and SKU] for subscribers in [Region]?,Paid Subscriber Balance w/ Estimates,"SKU,
Country","Finance, Pricing",,What is the share of Subs on an Ad-Free Annual Plan?,What portion of subs are on what Ad-free plan?,What percent of subs are on ad-free annual vs monthly?,"6.86% of HBO Max US Retail Paying subscribers are paying for Ad-free Annual, and 77.86% are paying for Ad-Free Monthly as of the week ending Sunday May 14.",,
,How many reconnects did we have last [Time Period]?,Gross Adds,"Subscriber Type (Retail/Hybrid/Wholesale),
Is Reconnect (T/F),
Reporting Date","Finance, Lifecycle",,How many reconnects did we have as a percent of total Gross Adds in Feb?,How many subs reconnected in February 2023?,What was the reconnect total in 2/2023?,55% (415K) of HBO Max US Retail Gross adds in March were reconnects.,,
,How many [Subscriber Type] [SKU] paying adds did each [Provider] have last [Time Period]?,Paying Adds,"Subscriber Type (Retail/Hybrid/Wholesale),
SKU,
Provider,
Reporting Date","Finance, Partner Marketing, Acquisition",,How many New Retail Paying Adds did we get from each provider in the month of March?,How many subs did we add to the paying sub count in March and how much did each provider contribute to each?,How many new paid adds came from Apple in March?,"Of the 1M HBO Max US New Retail Paying Adds in April, XX% (xxK)  were Direct Billing, XX% (xxK) were iTunes, XX% (xxK) were Google, XX% (xxK) were Roku, XX% (xxK) were Samsung, and XX% (xxK) were Amazon. New Retail Paying Adds is defined as a Retail signup that is not preceded by a cancelled trial subscription or a cancelled paid subscription, ",,
,How many wholesale first time authentications did we see last [Time Period]?,Wholesale First Time Authentications,First Auth Date,"Finance, Partner Marketing",,How many Wholesale Subs authenticaticated for the first time last week?,How many WS subs activated last week?,What was the count of WS sub activations last week?,"XXk US HBO Max subs authenticated for the first time in the week ending Sunday May 7, 20223. ",,
,What percent of our [Subscriber Type] subscriber base is on [SKU] [Plan Length]?,Paid Subscriber Balance w/ Estimates,"Subscriber Type (Retail, Hybrid/Wholesale),
SKU,
Plan Length","Finance, Pricing",,[See row 7],[See row 7],[See row 7],[See row 7],,
,How many subscribers signed up using the [Offer Name]?,Gross Adds,Signup Offer,"Finance, Pricing",,How many signups took the Black Friday Deal?,How many gross adds used the Black Friday promo?,How successful was the Black Friday Promo?,XXk US HBO Max subs signed up for the Black Friday Deal offered on [Date]. Among those XXk (40%) are still paying subscribers as of the week ending Sunday May 14.,,
,Which wholesale [Affiliate] had the highest number of wholesale authentications this month in [Region]?,Wholesale First Time Authentications,"Region,
First Auth Date,
Affiliate","Finance, Partner Marketing, Distribution",,Who were the top 3 wholesale affiliates in terms of First time authentications last month?,What WS affiilates drove the most activations last month?,What were the biggest WS affiliates in terms of first time authentications in the most recent month?,"The top 3 HBO Max US Wholesale affiiliates in terms of First-time authentications In the month of April 2023 were Comcast with XXK (xx% of total First time authentications), Spectrum with XXK (xx% of total First time authentications), and RandomTelco with XXK (xx% of total First time authentications).",,
