lfm.fact.date_str,lfm.brand_view.id,lfm.brand.name,lfm.brand.title_category,lfm.brand_view.name,lfm.brand_view.set_ids,lfm.brand_view.set_names,lfm.brand_view.type,lfm.brand.broadcast_dayparts,lfm.brand.genres,lfm.brand.primary_genre,lfm.brand.programmers,lfm.brand.programmer_types,facebook.page_insight.fbpai_impressions_organic_unique,facebook.page_insight.fbpai_impressions_organic_unique_authorized,facebook.page_insight.fbpai_impressions_unique,facebook.page_insight.fbpai_impressions_unique_authorized,facebook.page_insight.fbpai_impressions_paid_unique,facebook.page_insight.fbpai_impressions_paid_unique_authorized,facebook.page_insight.fbpai_impressions_viral_unique,facebook.page_insight.fbpai_impressions_viral_unique_authorized,lfm.post_engagement_score.post_engagement_rate_fb,lfm.post_engagement_score.post_engagement_fb,lfm.audience_ratings.facebook_fan_acquisition_score,facebook.post_insight.fbpoi_video_views_organic,facebook.post_insight.fbpoi_video_views_organic_authorized,facebook.post_insight.fbpoi_video_views_organic_unique,facebook.post_insight.fbpoi_video_views_organic_unique_authorized,facebook.page_insight.fbpai_fan_removes_unique,facebook.page_insight.fbpai_fan_removes_unique_authorized,facebook.page_insight.fbpai_impressions,facebook.page_insight.fbpai_impressions_authorized,facebook.page_insight.fbpai_fan_adds_unique,facebook.page_insight.fbpai_fan_adds_unique_authorized,facebook.page_insight.fbpai_impressions_organic,facebook.page_insight.fbpai_impressions_organic_authorized,facebook.page_insight.fbpai_video_views_organic,facebook.page_insight.fbpai_video_views_organic_authorized,facebook.page_insight.fbpai_impressions_paid,facebook.page_insight.fbpai_impressions_paid_authorized,facebook.page_insight.fbpai_video_views_paid,facebook.page_insight.fbpai_video_views_paid_authorized,facebook.page.talking_about,facebook.page_insight.fbpai_video_views,facebook.page_insight.fbpai_video_views_authorized,facebook.page_insight.fbpai_impressions_viral,facebook.page_insight.fbpai_impressions_viral_authorized,facebook.post_insight.fbpoi_video_complete_views_paid,facebook.post_insight.fbpoi_video_complete_views_paid_authorized,facebook.post_insight.fbpoi_video_views_paid,facebook.post_insight.fbpoi_video_views_paid_authorized,facebook.post_insight.fbpoi_video_views_paid_unique,facebook.post_insight.fbpoi_video_views_paid_unique_authorized,facebook.page.total_post_angry_count_c,facebook.page.total_post_comments_c,facebook.page.total_post_haha_count_c,facebook.post.interactions_views,facebook.post.interactions_views_authorized,facebook.page.total_post_likes_c,facebook.page.total_post_love_count_c,facebook.page.total_post_reactions_count_c,facebook.page.total_post_sad_count_c,facebook.post.other,facebook.page.total_post_wow_count_c,facebook.post_video.views_c,facebook.page.likes,lfm.audience_ratings.facebook_audience_footprint,lfm.engagement_score.facebook,lfm.social_engagement_score.facebook_score,lfm.audience_ratings.private_facebook_audience_footprint,lfm.audience_ratings.private_facebook_audience_footprint_authorized
2022-01-19,9365,20/20,TV Shows,20/20 (Standard View),"[757, 1700]","[""LF // TV Universe // Episodic Plus"", ""LF // TV Universe""]",STANDARD,"[""Prime Time""]","[""Documentary"", ""News""]",News,"[""ABC""]","[""Broadcast""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,0.0876730435271702,6235,223,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,36218,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,153,1343,72,,unauthorized,2691,122,3973,529,96,406,1922751,1422330,1422330,6458,6458,,unauthorized
2022-01-19,9471,2 Broke Girls,TV Shows,2 Broke Girls (Standard View),"[757, 756, 1700]","[""LF // TV Universe // Episodic Plus"", ""LF // TV Universe // Episodic"", ""LF // TV Universe""]",STANDARD,"[""Prime Time""]","[""Comedy""]",Comedy,"[""CBS""]","[""Broadcast""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,,1,-85,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,676,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,-5,-1,,unauthorized,9,0,8,0,12,0,142,2148544,2148544,-84,-84,,unauthorized
2022-01-19,9472,48 Hours,TV Shows,48 Hours (Standard View),"[757, 1700, 5431]","[""LF // TV Universe // Episodic Plus"", ""LF // TV Universe"", ""HBO Max Impact Comps""]",STANDARD,"[""Prime Time""]","[""Crime"", ""Documentary""]",News,"[""CBS""]","[""Broadcast""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,0.0179391145683281,6538,2,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,25291,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,475,378,433,,unauthorized,1372,196,5071,2134,186,461,69044,1214850,1214850,6540,6540,,unauthorized
2022-01-19,9643,4th and Loud,TV Shows,4th and Loud (Standard View),"[1700, 756, 757]","[""LF // TV Universe"", ""LF // TV Universe // Episodic"", ""LF // TV Universe // Episodic Plus""]",STANDARD,"[""Prime Time""]","[""Reality-Tv""]",Reality,"[""AMC""]","[""Ad Supported Cable""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,33,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,,81069,81069,0,0,,unauthorized
2022-01-19,10033,30 for 30,TV Shows,30 for 30 (Standard View),"[757, 1700]","[""LF // TV Universe // Episodic Plus"", ""LF // TV Universe""]",STANDARD,"[""Prime Time""]","[""Biography"", ""Documentary"", ""History"", ""Sport""]",Documentary,"[""ESPN""]","[""Ad Supported Cable""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,,75,23,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,1331,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,1,-1,,unauthorized,61,9,70,1,0,0,7384,472655,472655,98,98,,unauthorized
2022-01-19,10127,19 Kids and Counting,TV Shows,19 Kids and Counting (Standard View),[1700],"[""LF // TV Universe""]",STANDARD,"[""Prime Time""]","[""Documentary"", ""Reality-Tv""]",Documentary,"[""TLC""]","[""Ad Supported Cable""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,,0,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,4806,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,138,0,,2409489,2409489,0,0,,unauthorized
2022-01-19,10417,106 & Park,TV Shows,106 & Park (Standard View),[1700],"[""LF // TV Universe""]",STANDARD,"[""Prime Time"", ""Early News""]","[""Music""]",Talk Show,"[""BET""]","[""Ad Supported Cable""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,0.000919967862456005,759,-204,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,13864,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,10,93,109,,unauthorized,362,96,616,25,487,14,5062,3750131,3750131,555,555,,unauthorized
2022-01-19,10552,22 Jump Street,Movies,22 Jump Street (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Action"", ""Comedy"", ""Crime""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,7,122,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,385,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,-2,2,,unauthorized,8,0,10,0,0,0,12,3461906,3461906,129,129,,unauthorized
2022-01-19,12503,23 Blast,Movies,23 Blast (Standard View),[3],"[""LF // Film - Majors + Independents""]",STANDARD,,"[""Drama"", ""Family"", ""Sport""]",,,,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-2,-3,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,24,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,0,0,12,44587,44587,-5,-5,,unauthorized
2022-01-19,13837,12 Monkeys,TV Shows,12 Monkeys (Standard View),"[757, 756, 1700]","[""LF // TV Universe // Episodic Plus"", ""LF // TV Universe // Episodic"", ""LF // TV Universe""]",STANDARD,"[""Prime Time""]","[""Adventure"", ""Drama"", ""Mystery"", ""Sci-Fi"", ""Thriller""]",Drama,"[""Syfy""]","[""Ad Supported Cable""]",,unauthorized,,unauthorized,,unauthorized,,unauthorized,,-1,-3,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,57,,unauthorized,,unauthorized,,unauthorized,,unauthorized,,unauthorized,0,0,0,,unauthorized,0,0,0,0,91,0,30,149339,149339,-4,-4,,unauthorized
