Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q3,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q4,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q1,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q2,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q4,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q3,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q2,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q1,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q4,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q3,"1,349"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q2,"1,348"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q1,"1,348"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q4,"1,348"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q3,"1,348"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q2,"1,347"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q1,"1,347"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q4,"1,346"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q3,"1,344"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q2,"1,342"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q1,"1,338"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q4,"1,335"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q3,"1,328"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q2,"1,320"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q1,"1,308"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q4,"1,297"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q3,"1,279"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q2,"1,259"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q1,"1,232"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q4,"1,207"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q3,"1,180"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q2,"1,153"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q1,"1,104"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q4,"1,059"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q3,"1,020"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q2,978
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q1,931
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q4,887
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q3,853
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q2,820
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q1,719
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q4,630
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q3,578
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q2,536
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q1,490
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q4,430
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q3,375
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q2,320
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q1,260
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q4,195
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q3,180
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q2,151
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q1,130
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q4,120
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q3,112
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q2,89
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q1,75
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q4,56
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q3,35
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q2,29
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q1,24
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q4,20
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q3,17
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q2,13
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q1,8
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q4,4
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q3,1
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q4,"57,187"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q1,"57,114"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q2,"56,891"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q4,"56,820"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q1,"56,805"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q3,"56,779"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2023,Q3,"56,739"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q2,"56,712"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q4,"56,639"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2024,Q3,"56,638"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q1,"56,628"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q2,"56,585"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q4,"56,562"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q1,"56,558"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2025,Q3,"56,553"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q2,"56,543"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q4,"56,532"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q1,"56,531"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2026,Q3,"56,531"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q2,"56,526"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q4,"56,523"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2027,Q3,"56,522"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q4,"55,720"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q1,"55,679"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2022,Q2,"55,435"
North America,USA,Amazon,Subscription OTT,Subscription,OTT,,2021,Q3,"54,507"
