Title,imdb_id,PRODUCT ID,page_views
"Matrix, The",tt0133093,2003656,117987
Edge of Tomorrow,tt1631867,2054390,105698
"Departed, The",tt0407887,2025893,100895
Me Before You,tt2674426,2068798,87504
"Notebook, The",tt0332280,2016856,87169
Valentine's Day,tt0817230,2049382,81425
"STAR IS BORN, A (2018)",tt1517451,2024779,78907
Crazy Rich Asians,tt3104988,2077273,74498
Seven,tt0114369,2017015,73821
"Great Gatsby, The",tt1343092,2056944,66903
300 (2007),tt0416449,2035604,62243
"Goonies, The",tt0089218,2002146,58202
"""10""",tt0078721,2001931,48203
Training Day,tt0139654,2004652,45448
Falling Down,tt0106856,2003246,44193
"Hangover, The",tt1119646,2047417,41337
42 (2013),tt0453562,2062442,40585
"Accountant, The",tt2140479,2063725,40349
We're The Millers,tt1723121,2054437,39725
American Sniper,tt2179136,2062723,39373
Point Break,tt0102685,2041547,36267
Million Dollar Baby,tt0405159,2028163,35474
War Dogs (2016),tt2005151,2058075,34455
"Town, The",tt0840361,2044344,34024
Unforgiven,tt0105695,2003070,33842
"Mask, The (1994)",tt0110475,2016956,33614
"Fugitive, The",tt0106977,2003257,33430
Little Children,tt0404203,2040155,32636
Terminator 4: Salvation,tt0438488,2047893,32434
You've Got Mail,tt0128853,2003667,31225
Dog Day Afternoon,tt0072890,2001744,30816
Central Intelligence,tt1489889,2061711,30723
Friday,tt0113118,2012700,30436
He's Just Not That Into You,tt1001508,2047069,30350
Space Jam,tt0117705,2003431,30170
Robin Hood: Prince of Thieves,tt0102798,2002526,29321
Blended,tt1086772,2046990,28314
Rush Hour,tt0120812,2017113,28202
Caddyshack,tt0080487,2001961,27639
"Golden Compass, The",tt0385752,2043529,26441
Blade,tt0120611,2016978,26256
P.S. I Love You,tt0431308,2026267,26213
Rampage (2018),tt2231461,2062504,25983
Wedding Crashers,tt0396269,2029440,25927
Insomnia,tt0278504,2004689,25804
Clash Of The Titans (2010),tt0800320,2043312,25588
"Time Traveler's Wife, The",tt0452694,2047070,25311
"Fountain, The",tt0414993,2034811,24150
Under Siege,tt0105690,2003073,23777
Arthur,tt0082031,2001997,23457
"Wedding Singer, The",tt0120888,2017099,23196
Tim Burton's Corpse Bride,tt0121164,2025542,22865
Being There,tt0078841,2002365,21926
Happy Feet,tt0366548,2025080,21636
Where The Wild Things Are,tt0386117,2041498,21536
Flipped,tt0817177,2051018,20919
Journey 2: The Mysterious Island,tt1397514,2053257,20583
My Own Private Idaho,tt0102494,2016762,20543
"Omega Man, The",tt0067525,2001602,20170
"Searchers, The",tt0049730,2000488,19745
"Bridges of Madison County, The",tt0112579,2003320,19305
How To Be Single,tt1292566,2051603,19132
"Lake House, The",tt0410297,2025472,18379
City of Angels,tt0120632,2003647,17869
Osmosis Jones,tt0181739,2004650,17746
Dangerous Liaisons,tt0094947,2002335,17663
Miss Congeniality,tt0212346,2004597,17627
"Goodbye Girl, The",tt0076095,2001841,17595
Network,tt0074958,2011172,16856
Vision Quest,tt0090270,2002113,16848
"Kiss Kiss, Bang Bang",tt0373469,2026982,16704
RocknRolla,tt1032755,2046370,16546
Practical Magic,tt0120791,2003662,16430
Point Break (2015),tt2058673,2067355,16397
Shaft (2019),tt4463894,2074539,16322
City Slickers,tt0101587,2015288,16211
Free Willy,tt0106965,2003255,16161
"Big Sleep, The",tt0038355,2010684,15869
Splendor in the Grass,tt0055471,2000695,15866
Speed Racer,tt0811080,2024975,15476
"Campaign, The",tt1790886,2056635,15274
Any Given Sunday,tt0146838,2003713,15245
Bullitt,tt0062765,2001538,14842
"Lucky One, The",tt1327194,2051484,14481
"Long Kiss Goodnight, The",tt0116908,2017002,14382
Message in a Bottle,tt0139462,2003668,14333
"Towering Inferno, The",tt0072308,2001719,14331
OCEAN'S 11 (1960),tt0054135,2000655,14131
Love & Basketball,tt0199725,2016840,13553
Rio Bravo,tt0053221,2000620,13202
"Outlaw Josey Wales, The",tt0075029,2001792,13074
Heartbreak Ridge,tt0091187,2002199,12410
Night Shift,tt0084412,2002039,12155
"American in Paris, An",tt0043278,2008299,12044
Three Kings,tt0120188,2003716,11958
Two Weeks Notice,tt0313737,2004700,11950
Creepshow,tt0083767,2002045,11935
Alice Doesn't Live Here Anymore,tt0071115,2001735,11822
Maverick (1994),tt0110478,2003311,11390
"Invention Of Lying, The",tt1058017,2047946,11362
Drop Dead Gorgeous,tt0157503,2017128,11361
Analyze This,tt0122933,2003583,11331
We Are Marshall,tt0758794,2036909,11264
Red Sonja,tt0089893,2012573,11197
Winter's Tale,tt1837709,2039295,11192
Joe Versus the Volcano,tt0099892,2002470,11157
"Postman Always Rings Twice, The",tt0038854,2007906,11079
Twice In a Lifetime,tt0090223,2026852,10857
"American President, The",tt0112346,2015319,10823
Trouble With The Curve,tt2083383,2059722,10737
With Honors,tt0111732,2003297,10634
Where Eagles Dare,tt0065207,2010259,10627
Matchstick Men,tt0325805,2024151,10594
Nothing But Trouble,tt0102558,2002488,10351
Operation Crossbow,tt0059549,2009757,10253
"Dead Pool, The",tt0094963,2002311,9941
"World According to Garp, The",tt0084917,2002032,9873
Singles,tt0105415,2002542,9821
Dogfight,tt0101748,2002532,9789
Death in Venice,tt0067445,2001597,9749
Fist Fight,tt3401882,2068424,9499
Lost In Space (1998),tt0120738,2017008,9484
Sudden Impact,tt0086383,2002091,9394
Tammy,tt2103254,2060911,9348
Just Friends,tt0433400,2040158,9267
Eraser,tt0116213,2003430,9115
"Ant Bully, The",tt0429589,2025709,9095
Kelly's Heroes,tt0065938,2010487,9035
Gunga Din,tt0031398,2005926,8965
"Getaway, The (1972)",tt0068638,2003526,8910
Kangaroo Jack,tt0257568,2004686,8847
"Hudsucker Proxy, The",tt0110074,2003263,8785
Appaloosa,tt0800308,2047827,8781
Beyond the Poseidon Adventure,tt0078856,2001921,8746
Butterfield 8,tt0053622,2009298,8720
Every Which Way But Loose,tt0077523,2001886,8411
About Schmidt,tt0257360,2016904,8399
Hedwig and the Angry Inch,tt0248845,2016887,8391
Life As We Know It,tt1055292,2051950,8300
Smallfoot,tt6182908,2058073,8254
"Postman Always Rings Twice, The",tt0082934,2032885,8228
Shoot 'Em Up,tt0465602,2042187,8146
When Time Ran Out,tt0081747,2001932,8141
"Perfect World, A",tt0107808,2003266,8059
McCabe and Mrs. Miller,tt0067411,2001599,8038
"Rack, The",tt0049652,2008842,7906
DRACULA: DEAD & LOVING IT,tt0112896,2015321,7775
Local Hero,tt0085859,2002072,7617
Summer of '42,tt0067803,2001596,7500
Ghosts Of Girlfriends Past,tt0821640,2046422,7482
Semi-Pro,tt0839980,2046388,7468
Viva Las Vegas,tt0058725,2009657,7351
Detroit Rock City,tt0165710,2017130,7320
Red Sun,tt0067770,2003517,7308
Kansas City Bomber,tt0068795,2010744,7263
Hard to Kill,tt0099739,2002469,7204
Angel Face,tt0044357,2000159,7167
Battle of the Bulge,tt0058947,2001430,7141
Love Don't Cost a Thing,tt0337592,2024772,7034
Thunderstruck,tt2041488,2057997,6935
Eight Legged Freaks,tt0271367,2004680,6922
Get Carter (1971),tt0067128,2010604,6919
"Accidental Tourist, The",tt0094606,2002321,6782
Damage,tt0104237,2016694,6778
Spies Like Us,tt0090056,2002158,6777
8 Seconds,tt0109021,2016661,6768
Don Juan Demarco,tt0112883,2016992,6735
M. Butterfly,tt0107468,2003264,6732
"Public Enemy, The",tt0022286,2010273,6722
Pat Garrett & Billy The Kid,tt0070518,2010839,6530
Cop Out,tt1385867,2049086,6509
Cannonball Run II,tt0087032,2002084,6469
"Big Red One, The",tt0080437,2011494,6457
Band Wagon,tt0045537,2008421,6451
"Victor, Victoria",tt0084865,2011972,6351
Tin Cup,tt0117918,2003423,6334
High Society,tt0049314,2008760,6210
"Majestic, The",tt0268995,2004656,6081
Curly Sue,tt0101635,2002533,5950
Racing Stripes,tt0376105,2025674,5924
