Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q2,101
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q1,89
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q1,65
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q1,60
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q2,60
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q3,55
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2016,Q4,55
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q4,52
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q2,49
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q2,47
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q2,46
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q1,45
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q1,44
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q3,42
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2017,Q3,42
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2019,Q4,39
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q4,34
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2018,Q3,33
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q3,29
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q3,28
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q2,27
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q4,27
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q1,25
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q3,23
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q2,21
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q4,21
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q3,19
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q1,19
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q4,18
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q4,15
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q2,14
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q2,12
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q1,11
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2015,Q1,10
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2014,Q4,8
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q3,8
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q4,7
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q3,6
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q2,5
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q2,5
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q1,4
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2013,Q1,4
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q3,4
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q2,3
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q1,3
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q4,3
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2012,Q4,3
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q3,2
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q4,2
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2011,Q3,1
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q2,1
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q1,1
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q3,0
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q4,0
