Region,Country,Company,Business Line,Business model,Distribution/Technology,Digital/Analogue,Year,Quarter,Value
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q4,"23,637"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q3,"23,514"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q2,"23,390"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2027,Q1,"23,269"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q4,"23,149"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q3,"23,026"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q2,"22,902"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2026,Q1,"22,790"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q4,"22,675"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q3,"22,558"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q2,"22,433"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2025,Q1,"22,311"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q4,"22,182"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q3,"22,047"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q2,"21,918"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2024,Q1,"21,792"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q4,"21,648"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q3,"21,486"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q2,"21,324"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2023,Q1,"21,165"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q4,"20,966"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q3,"20,723"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q2,"20,456"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2022,Q1,"20,182"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q4,"19,842"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q3,"19,428"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q2,"18,961"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2021,Q1,"18,484"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q4,"17,983"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q3,"17,456"
North America,USA,Acorn TV,Subscription OTT,Subscription,OTT,,2020,Q2,"16,789"
