Date,Service,Distributor,Sign-ups (Indexed),Subscribers (Indexed),Net Subscriber Adds (Indexed),Gross Subscriber Adds (Indexed),Cancels (Indexed),Sign-ups,Subscribers,Net Subscriber Adds,Gross Subscriber Adds,Cancels
2019-11-01,Apple TV+,All,2.10,0.74,0.74,0.74,,"892,778","315,770","315,770","315,770",
2019-12-01,Apple TV+,All,0.78,1.03,0.28,0.39,0.104,"330,183","436,132","120,361","164,637","44,275"
2020-01-01,Apple TV+,All,0.68,1.41,0.39,0.56,0.173,"287,725","600,899","164,767","238,256","73,489"
2020-02-01,Apple TV+,All,0.34,2.13,0.71,0.95,0.235,"145,161","904,074","303,176","402,893","99,717"
2020-03-01,Apple TV+,All,0.50,2.24,0.12,0.40,0.282,"214,106","954,193","50,118","169,960","119,842"
2020-04-01,Apple TV+,All,0.63,2.44,0.19,0.48,0.287,"269,158","1,035,472","81,280","203,199","121,920"
2020-05-01,Apple TV+,All,0.51,2.67,0.24,0.53,0.291,"215,404","1,136,228","100,756","224,233","123,478"
2020-06-01,Apple TV+,All,0.36,2.73,0.05,0.35,0.297,"152,302","1,159,599","23,371","149,705","126,334"
2020-07-01,Apple TV+,All,0.84,3.16,0.43,0.69,0.259,"355,112","1,341,245","181,646","291,750","110,104"
2020-08-01,Apple TV+,All,0.56,3.35,0.20,0.53,0.331,"237,996","1,425,511","84,266","225,142","140,876"
2020-09-01,Apple TV+,All,0.52,3.49,0.13,0.45,0.319,"219,689","1,482,251","56,740","192,163","135,423"
2020-10-01,Apple TV+,All,1.07,3.84,0.35,0.63,0.281,"455,608","1,631,177","148,926","268,249","119,323"
2020-11-01,Apple TV+,All,1.76,4.49,0.65,0.98,0.321,"747,747","1,909,294","278,117","414,578","136,462"
2020-12-01,Apple TV+,All,1.59,5.81,1.31,1.64,0.329,"677,634","2,467,475","558,181","698,149","139,967"
2021-01-01,Apple TV+,All,1.39,6.74,0.93,1.40,0.474,"589,732","2,862,967","395,492","597,133","201,641"
2021-02-01,Apple TV+,All,1.18,7.56,0.83,1.29,0.465,"499,883","3,213,924","350,957","548,703","197,746"
2021-03-01,Apple TV+,All,1.16,8.37,0.81,1.23,0.419,"492,093","3,558,000","344,075","522,345","178,270"
2021-04-01,Apple TV+,All,0.83,8.72,0.35,0.89,0.538,"354,203","3,706,796","148,796","377,314","228,518"
2021-05-01,Apple TV+,All,0.85,9.21,0.49,0.94,0.451,"359,267","3,915,838","209,042","400,556","191,514"
2021-06-01,Apple TV+,All,0.89,9.90,0.69,1.22,0.530,"379,392","4,208,887","293,048","518,320","225,272"
2021-07-01,Apple TV+,All,1.53,22.13,12.22,12.73,0.509,"651,536","9,404,555","5,195,669","5,411,852","216,183"
2021-08-01,Apple TV+,All,1.54,23.31,1.18,3.64,2.458,"654,652","9,905,737","501,182","1,546,132","1,044,951"
2021-09-01,Apple TV+,All,1.79,24.87,1.56,3.37,1.804,"762,939","10,570,906","665,169","1,432,003","766,834"
2021-10-01,Apple TV+,All,1.61,26.50,1.63,3.22,1.583,"684,126","11,265,289","694,383","1,367,343","672,960"
2021-11-01,Apple TV+,All,1.69,28.34,1.83,3.47,1.643,"720,091","12,043,809","778,519","1,476,928","698,408"
2021-12-01,Apple TV+,All,1.52,30.07,1.73,3.55,1.821,"647,251","12,778,832","735,023","1,508,868","773,845"
