Country,Company,Spend Type,Content Type,Primary Genre,Scripted,YearQuarter,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Q1 2026,Q2 2026,Q3 2026,Q4 2026,Q1 2027,Q2 2027,Q3 2027,Q4 2027
USA,Totals,Totals,Totals,Totals,Totals,,748.8,"1,282.3","1,373.9","1,488.6","1,620.2","1,679.9","1,658.6","1,676.4","1,987.6","2,054.7","2,218.1","2,262.0","2,480.2","2,487.9","2,660.9","3,026.7","3,132.1","3,089.8","3,733.3","3,614.1","4,707.0","4,523.2","5,033.4","4,837.1","5,208.0","5,166.3","6,027.5","5,352.3","6,200.0","5,830.4","6,535.2","6,008.2","6,170.9","6,072.5","6,687.4","6,379.6","6,455.7","6,169.6","6,964.8","6,585.3","6,755.3","6,475.1","7,266.0","6,838.7","7,150.4","6,873.2","7,653.9","7,189.9","7,483.8","7,113.5","7,828.8"
USA,Amazon Prime Video,Totals,Totals,Totals,Totals,,-,498.0,521.1,558.1,599.4,629.8,536.1,616.3,735.0,773.3,896.5,890.1,"1,081.1","1,052.5","1,154.9","1,328.3","1,315.4","1,338.8","1,435.2","1,469.8","1,556.9","1,503.7","1,607.4","1,745.8","1,795.3","1,610.7","1,726.4","1,747.1","1,855.1","1,596.0","1,829.2","1,838.4","1,917.1","1,840.3","2,002.9","2,038.0","2,103.1","1,970.9","2,125.7","2,137.9","2,216.1","2,107.8","2,257.5","2,291.7","2,406.9","2,327.5","2,566.8","2,464.8","2,541.5","2,403.9","2,541.9"
USA,Amazon Prime Video,Acquired Film & TV,Totals,Totals,Totals,,-,492.0,491.3,556.6,588.1,535.6,524.4,568.3,678.2,741.9,867.8,838.9,"1,010.5","1,017.7","1,118.6","1,261.6","1,235.2","1,295.5","1,392.9","1,315.8","1,383.0","1,328.2","1,402.5","1,403.3","1,452.8","1,262.7","1,363.7","1,307.9","1,391.8","1,142.4","1,330.7","1,230.0","1,335.9","1,267.9","1,421.9","1,331.7","1,443.2","1,332.0","1,487.5","1,371.2","1,501.5","1,421.1","1,577.6","1,469.6","1,633.6","1,573.5","1,801.2","1,584.1","1,727.0","1,625.8","1,780.9"
USA,Amazon Prime Video,Acquired Film & TV,Movie,Totals,Totals,,-,257.2,272.9,310.9,331.3,338.7,348.7,390.5,440.7,480.7,515.1,446.0,518.6,497.1,511.3,534.1,523.3,546.6,598.6,590.4,677.0,759.9,810.5,792.2,755.1,699.6,776.3,736.0,790.6,597.4,"1,021.7",944.4,"1,025.7",973.5,"1,091.7","1,022.5","1,108.0","1,022.7","1,142.1","1,052.8","1,152.8","1,091.1","1,211.2","1,128.4","1,254.3","1,208.1","1,382.9","1,216.2","1,326.0","1,248.2","1,367.3"
USA,Amazon Prime Video,Acquired Film & TV,Movie,Action & Adventure,Totals,,-,33.8,35.7,44.8,59.5,65.5,77.4,95.4,98.0,99.4,100.8,78.7,81.9,74.8,73.9,73.5,69.2,72.5,74.6,69.6,77.2,93.0,96.2,86.9,80.4,75.7,74.9,64.3,66.7,67.7,240.9,222.6,241.8,229.5,257.4,241.0,261.2,241.1,269.2,248.2,271.8,257.2,285.5,266.0,295.7,284.8,326.0,286.7,312.6,294.3,322.4
USA,Amazon Prime Video,Acquired Film & TV,Movie,Action & Adventure,Scripted,,-,33.8,35.7,44.8,59.5,65.5,77.4,95.4,98.0,99.3,100.7,78.6,81.8,74.8,73.9,73.5,69.2,72.5,74.6,69.6,77.2,93.0,96.2,86.9,80.4,75.7,74.9,64.3,66.7,67.7,240.9,222.6,241.8,229.5,257.4,241.0,261.2,241.1,269.2,248.2,271.8,257.2,285.5,266.0,295.7,284.8,326.0,286.7,312.6,294.3,322.4
USA,Amazon Prime Video,Acquired Film & TV,Movie,Action & Adventure,Unscripted,,-,-,-,-,-,-,-,-,-,0.1,0.1,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA,Amazon Prime Video,Acquired Film & TV,Movie,Adult,Totals,,-,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.6,0.6,0.5,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.6,0.6,0.8,1.1,0.6,0.6,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
USA,Amazon Prime Video,Acquired Film & TV,Movie,Adult,Scripted,,-,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.6,0.6,0.5,0.4,0.3,0.4,0.6,0.6,0.5,0.5,0.6,0.6,0.8,1.1,0.6,0.6,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
USA,Amazon Prime Video,Acquired Film & TV,Movie,Children & Family,Totals,,-,12.2,13.3,13.5,12.4,12.2,11.4,11.6,19.3,20.3,24.9,22.4,30.2,27.1,27.9,30.3,30.9,31.2,34.3,34.8,38.7,42.8,50.3,50.6,41.4,34.6,36.9,36.4,40.9,27.9,32.9,30.4,33.0,31.3,35.1,32.9,35.6,32.9,36.7,33.9,37.1,35.1,39.0,36.3,40.3,38.9,44.5,39.1,42.7,40.2,44.0
USA,Amazon Prime Video,Acquired Film & TV,Movie,Children & Family,Scripted,,-,12.2,13.3,13.5,12.4,12.2,11.4,11.6,19.3,20.3,24.8,22.4,30.1,27.1,27.8,30.3,30.9,31.2,34.3,34.8,38.7,42.8,50.3,50.6,41.4,34.6,36.9,36.4,40.9,27.9,32.9,30.4,33.0,31.3,35.1,32.9,35.6,32.9,36.7,33.9,37.1,35.1,39.0,36.3,40.3,38.9,44.5,39.1,42.7,40.2,44.0
USA,Amazon Prime Video,Acquired Film & TV,Movie,Children & Family,Unscripted,,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA,Amazon Prime Video,Acquired Film & TV,Movie,Comedy,Totals,,-,16.7,18.2,22.8,22.9,22.3,24.2,27.0,28.8,27.1,27.2,23.3,28.0,28.4,30.0,32.5,33.1,33.2,35.0,37.7,47.3,53.3,59.0,58.7,52.9,48.3,52.3,48.7,55.9,46.5,98.0,90.5,98.3,93.3,104.7,98.0,106.2,98.1,109.5,100.9,110.5,104.6,116.1,108.2,120.2,115.8,132.6,116.6,127.1,119.7,131.1
USA,Amazon Prime Video,Acquired Film & TV,Movie,Comedy,Scripted,,-,16.4,17.9,22.5,22.4,21.7,23.9,26.7,28.5,26.7,26.9,23.0,27.5,28.0,29.5,31.9,32.4,32.4,34.3,36.8,46.2,52.3,57.6,57.1,51.2,46.8,50.0,46.8,54.3,44.5,98.0,90.5,98.3,93.3,104.7,98.0,106.2,98.1,109.5,100.9,110.5,104.6,116.1,108.2,120.2,115.8,132.6,116.6,127.1,119.7,131.1
USA,Amazon Prime Video,Acquired Film & TV,Movie,Comedy,Unscripted,,-,0.3,0.3,0.3,0.6,0.5,0.3,0.3,0.4,0.5,0.3,0.3,0.5,0.4,0.5,0.6,0.7,0.8,0.6,0.8,1.1,1.0,1.4,1.6,1.6,1.4,2.3,1.9,1.6,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USA,Amazon Prime Video,Acquired Film & TV,Movie,Crime & Thriller,Totals,,-,72.2,77.8,89.7,93.7,98.0,103.0,110.3,119.3,143.0,156.4,136.4,151.5,149.7,157.5,165.3,163.2,174.2,184.2,188.7,208.0,228.4,241.1,240.7,248.3,239.9,270.5,258.4,274.9,176.7,65.6,60.6,65.8,62.5,70.0,65.6,71.1,65.6,73.3,67.5,74.0,70.0,77.7,72.4,80.5,77.5,88.7,78.0,85.1,80.1,87.7
