Type,Channel,Title,Year,Genre,Runtime,Bucket,MPM from Prior List,Tentpole,Additional Titles to Pull,PRODUCT ID,Co-Fi?,
Movie,Action,"Matrix, The",1999,ACTION ,2.25,A,not in prior list,Yes,,2003656,Yes,
Movie,Action,Terminator 4: Salvation,2009,ACTION ,1.92,A,not in prior list,Yes,,2047893,No,
Movie,Action,Rush Hour,1998,ACTION ,1.62,A,not in prior list,Yes,,2017113,No,
Movie,Action,Clash Of The Titans (2010),2010,ACTION ,1.77,A,not in prior list,Yes,,2043312,No,
Movie,Action,"Fugitive, The",1993,ACTION ,2.13,A,not in prior list,Yes,,2005837,No,
Movie,Action,Eraser,1996,ACTION ,1.92,A,not in prior list,Yes,,2003430,No,
Movie,Action,Robin Hood: Prince of Thieves,1991,ACTION ,2.30,A,not in prior list,Yes,,2002526,No,
Movie,Action,"Long Kiss Goodnight, The",1996,ACTION ,2.00,A,not in prior list,Yes,,2017002,No,
Movie,Action,Under Siege,1992,ACTION ,1.72,B,not in prior list,Yes,,2003073,Yes,
Movie,Action,Hard to Kill,1990,ACTION ,1.60,B,not in prior list,Yes,,2002469,No,
Movie,Action,300 (2007),2007,ACTION ,1.95,A,not in prior list,Yes,,2035604,No,
Movie,Action,Blade,1998,ACTION ,2.00,A,not in prior list,Yes,,2016978,No,
Movie,Action,Shaft (2019),2019,ACTION ,1.85,A,not in prior list,Yes,,2074539,No,
Movie,Action,Rampage (2018),2018,ACTION ,1.78,A,not in prior list,Yes,,2062504,No,
Movie,Action,"Accountant, The",2016,ACTION ,2.13,A,not in prior list,Yes,,2063725,No,
Movie,Action,Point Break (2015),2015,ACTION ,1.9,A,not in prior list,No,x,2067355,No,
Movie,Action,Edge of Tomorrow,1905,ACTION ,1.88,A,not in prior list,No,x,2054390,Yes,
Movie,Action,Getaway (2012),2013,ACTION ,1.61,B,not in prior list,No,x,2055986,No,
Movie,Action,Bullet To The Head,2013,ACTION ,1.53,B,not in prior list,No,x,2051450,No,
Movie,Action,RocknRolla,2008,ACTION ,1.91,B,not in prior list,No,x,2046370,No,
Movie,Action,Shoot 'Em Up,2007,ACTION ,1.43,C,not in prior list,No,x,2042187,No,
Movie,Action,Highwaymen,2004,ACTION ,1.3,C,not in prior list,No,x,2025304,No,
Movie,Action,15 Minutes,2001,ACTION ,1.83,C,not in prior list,No,,2017124,No,
Movie,Action,Get Carter (2000),2000,ACTION ,1.7,C,not in prior list,No,,2004596,No,
Movie,Action,"Corruptor, The",1999,ACTION ,1.83,B,not in prior list,No,,2017126,No,
Movie,Action,Fire Down Below,1997,ACTION,1.71,C,not in prior list,No,,2003571,No,
Movie,Action,Jackie Chan's First Strike,1997,ACTION ,1.46,C,not in prior list,No,,2017077,No,
Movie,Action,"Getaway, The (1994)",1994,ACTION ,1.9,C,not in prior list,No,,2003333,No,
Movie,Action,Falling Down,1993,ACTION ,1.86,C,not in prior list,No,,2003246,Yes,
Movie,Action,Fit to Kill,1993,ACTION ,1.56,C,not in prior list,No,,2002740,No,
Movie,Action,"Hitman, The",1992,ACTION ,1.6,C,not in prior list,No,,2002630,No,
Movie,Action,Showdown in Little Tokyo,1991,ACTION ,1.98,C,not in prior list,No,,2002541,No,
Movie,Action,American Kickboxer,1991,ACTION ,1.6,C,not in prior list,No,,2002624,No,
Movie,Action,Born to Ride,1991,ACTION ,1.5,C,not in prior list,No,,2002531,Yes,
Movie,Action,If Looks Could Kill,1991,ACTION ,1.46,C,not in prior list,No,,2002530,No,
Movie,Action,"Rookie, The",1990,ACTION ,2.01,C,not in prior list,No,,2020072,No,
Movie,Action,Street Justice,1987,ACTION ,1.55,C,not in prior list,No,,2012965,No,
Movie,Action,Hard Ticket to Hawaii,1987,ACTION ,1.6,C,not in prior list,No,,2012892,No,
Movie,Action,Quiet Cool,1986,ACTION ,1.38,C,not in prior list,No,,2016780,No,
Movie,Action,Cobra,1986,ACTION ,1.46,C,not in prior list,No,,2005034,No,
Movie,Action,Red Sonja,1985,ACTION ,1.48,C,not in prior list,No,,2012573,No,
Movie,Action,Gymkata,1985,ACTION ,1.5,C,2012570,No,,2012570,No,
Movie,Action,City Heat,1984,ACTION ,1.63,C,not in prior list,No,,2002123,No,
Movie,Action,Razorback,1984,ACTION ,1.58,C,not in prior list,No,,2002124,No,
Movie,Action,Malibu Express,1984,ACTION ,1.68,C,not in prior list,No,,2012890,No,
Movie,Action,Hearts and Armour,1983,ACTION ,1.68,C,not in prior list,No,,2002095,No,
Movie,Action,Forced Vengeance,1982,ACTION ,1.71,C,not in prior list,No,,2011974,No,
Movie,Action,Firefox,1982,ACTION ,2.16,C,not in prior list,No,,2002028,No,
Movie,Action,Sharky's Machine,1981,ACTION ,2.03,C,not in prior list,No,,2002006,No,
Movie,Action,Bronco Billy,1980,ACTION ,1.98,C,2001958,No,,2001958,No,
Movie,Action,When Time Ran Out,1980,ACTION,2.41,CLASSIC,not in prior list,No,,2001932,No,
Movie,Action,"In-Laws, The (1979)",1979,ACTION ,1.71,CLASSIC,not in prior list,No,,2001934,No,
Movie,Action,Beyond the Poseidon Adventure,1979,ACTION ,2.03,CLASSIC,not in prior list,No,,2001921,No,
Movie,Action,Avalanche Express,1979,ACTION ,1.46,CLASSIC,not in prior list,No,,2011347,No,
Movie,Action,Every Which Way But Loose,1978,ACTION ,1.9,CLASSIC,2001886,No,,2001886,No,
Movie,Action,"Gauntlet, The",1977,ACTION ,1.88,CLASSIC,not in prior list,No,,2001839,No,
Movie,Action,Greased Lightning,1977,ACTION ,1.61,CLASSIC,not in prior list,No,,2001833,No,
Movie,Action,Viva Knievel!,1977,ACTION ,1.76,CLASSIC,not in prior list,No,,2001830,No,
Movie,Action,"Gumball Rally, The",1976,ACTION ,1.78,CLASSIC,not in prior list,No,,2001795,No,
Movie,Action,Hot Potato,1976,ACTION ,1.45,CLASSIC,not in prior list,No,,2001778,No,
Movie,Action,Fighting Black Kings,1976,ACTION ,1.48,CLASSIC,not in prior list,No,,2016929,No,
Movie,Action,Logan's Run,1976,ACTION ,2,CLASSIC,2011101,No,,2031036,No,
Movie,Action,St. Ives,1976,ACTION ,1.56,CLASSIC,not in prior list,No,,2001793,No,
Movie,Action,Mitchell,1975,ACTION ,1.6,CLASSIC,not in prior list,No,,2000763,No,
Movie,Action,Cleopatra Jones and the Casino of Gold,1975,ACTION ,1.61,C,2001676,No,,2001676,No,
Movie,Action,"Four Musketeers, The",1975,ACTION,1.78,CLASSIC,2001898,No,,2004767,No,
Movie,Action,Mr. Ricco,1975,ACTION ,1.63,CLASSIC,not in prior list,No,,2011021,No,
Movie,Action,"Towering Inferno, The",1974,ACTION ,2.75,CLASSIC,not in prior list,No,,2001719,Yes,
