,Type,Channel,Title,Year,Genre,Runtime,Bucket,Tentpole,Co-Fi?,PRODUCT ID,imdb_id,title_id
0,Movie,Action,"Matrix, The",1999.0,ACTION ,2.25,A,Yes,Yes,2003656.0,tt0133093,GXdu2VgPdq5uAuwEAADak
1,Movie,Action,Terminator 4: Salvation,2009.0,ACTION ,1.92,A,Yes,No,2047893.0,tt0438488,GX3UnpgH94hmDbAEAAALV
2,Movie,Action,Terminator 4: Salvation,2009.0,ACTION ,1.92,A,Yes,No,2047893.0,tt0438488,GWbgllwqf3sJ3wgEAAAFA
3,Movie,Action,Rush Hour,1998.0,ACTION ,1.62,A,Yes,No,2017113.0,tt0120812,GYGQHkQKmf6UEpwEAAAAD
4,Movie,Action,Clash Of The Titans (2010),2010.0,ACTION ,1.77,A,Yes,No,2043312.0,tt0800320,GXrH2TQB_D62brQEAAADU
5,Movie,Action,"Fugitive, The",1993.0,ACTION ,2.13,A,Yes,No,2003257.0,tt0106977,GXdu2SQFMAaXCPQEAADek
6,Movie,Action,Eraser,1996.0,ACTION ,1.92,A,Yes,No,2003430.0,tt0116213,GXjtSkAWvKo7CZgEAABCk
7,Movie,Action,Robin Hood: Prince of Thieves,1991.0,ACTION ,2.3,A,Yes,No,2002526.0,tt0102798,GYJBUvAuwi4zDTQEAAAAC
8,Movie,Action,"Long Kiss Goodnight, The",1996.0,ACTION ,2.0,A,Yes,No,2017002.0,tt0116908,GXwO3BQSdHsPDwgEAAAPQ
9,Movie,Action,Under Siege,1992.0,ACTION ,1.72,B,Yes,Yes,2003073.0,tt0105690,GX-EU7A0735rDwwEAAABe
10,Movie,Action,Hard to Kill,1990.0,ACTION ,1.6,B,Yes,No,2002469.0,tt0099739,GXmZz8QpLeyLCHAEAABkM
11,Movie,Action,300 (2007),2007.0,ACTION ,1.95,A,Yes,No,2035604.0,tt0416449,GYJWdJAUshsPCwgEAAABc
12,Movie,Action,Blade,1998.0,ACTION ,2.0,A,Yes,No,2016978.0,tt0120611,GXt_r5AwEa8PCwgEAAAsi
13,Movie,Action,Shaft (2019),2019.0,ACTION ,1.85,A,Yes,No,2074539.0,tt4463894,GXerChATBsUytlAEAAAje
14,Movie,Action,Rampage (2018),2018.0,ACTION ,1.78,A,Yes,No,2062504.0,tt2231461,GX9q5dgUGL8ILwgEAAAFw
15,Movie,Action,Rampage (2018),2018.0,ACTION ,1.78,A,Yes,No,2062504.0,tt2231461,GW88tsQhaPLqukAEAAAJQ
16,Movie,Action,"Accountant, The",2016.0,ACTION ,2.13,A,Yes,No,2063725.0,tt2140479,GWPUlwg8AP5hdqgEAAAA9
17,Movie,Action,Point Break (2015),2015.0,ACTION ,1.9,A,No,No,2067355.0,tt2058673,GYQk6nQkFS8NsmgEAAAHA
18,Movie,Action,Edge of Tomorrow,1905.0,ACTION ,1.88,A,No,Yes,2054390.0,tt1631867,GYKa1nQNJaLHDwwEAAACY
19,Movie,Action,Getaway (2012),2013.0,ACTION ,1.61,B,No,No,2055986.0,tt2167202,GXRtnkw6l9m2YwgEAAABw
20,Movie,Action,Bullet To The Head,2013.0,ACTION ,1.53,B,No,No,2051450.0,tt1308729,GV-vF2ANphqOCwwEAAAAL
21,Movie,Action,RocknRolla,2008.0,ACTION ,1.91,B,No,No,2046370.0,tt1032755,GYIjcuA3g4IeedgEAAADe
22,Movie,Action,Shoot 'Em Up,2007.0,ACTION ,1.43,C,No,No,2042187.0,tt0465602,GYKRS7g0lIJeNKAEAAAAV
23,Movie,Action,Shoot 'Em Up,2007.0,ACTION ,1.43,C,No,No,2042187.0,tt0465602,GWSMCTA2MvYqXwgEAAAB3
24,Movie,Action,Highwaymen,2004.0,ACTION ,1.3,C,No,No,2025304.0,tt0339147,
25,Movie,Action,15 Minutes,2001.0,ACTION ,1.83,C,No,No,2017124.0,tt0179626,GYGIfWwNg_KKQrAEAAADC
26,Movie,Action,Get Carter (2000),2000.0,ACTION ,1.7,C,No,No,2004596.0,tt0208988,GXYT1TgFTzqnCVgEAAAj_
27,Movie,Action,"Corruptor, The",1999.0,ACTION ,1.83,B,No,No,2017126.0,tt0142192,GYGKgtQAs_MIcAQEAAAAD
28,Movie,Action,Fire Down Below,1997.0,ACTION,1.71,C,No,No,2003571.0,tt0119123,GYGJEiwB7UEzCwwEAAACX
29,Movie,Action,Jackie Chan's First Strike,1997.0,ACTION ,1.46,C,No,No,,,
30,Movie,Action,"Getaway, The (1994)",1994.0,ACTION ,1.9,C,No,No,2003333.0,tt0109890,
31,Movie,Action,Falling Down,1993.0,ACTION ,1.86,C,No,Yes,2003246.0,tt0106856,GYGJETQP_HEzCwwEAAAB5
32,Movie,Action,Fit to Kill,1993.0,ACTION ,1.56,C,No,No,2002740.0,tt0106922,
33,Movie,Action,"Hitman, The",1992.0,ACTION ,1.6,C,No,No,,,
34,Movie,Action,Showdown in Little Tokyo,1991.0,ACTION ,1.98,C,No,No,2002541.0,tt0102915,GX_SegA5bNsIAtwEAAACV
35,Movie,Action,American Kickboxer,1991.0,ACTION ,1.6,C,No,No,2002624.0,tt0101325,
36,Movie,Action,Born to Ride,1991.0,ACTION ,1.5,C,No,Yes,,,
37,Movie,Action,If Looks Could Kill,1991.0,ACTION ,1.46,C,No,No,2002530.0,tt0102095,
38,Movie,Action,"Rookie, The",1990.0,ACTION ,2.01,C,No,No,2002485.0,tt0100514,GYJ2YjQOGAsLDwgEAAAE3
39,Movie,Action,"Rookie, The",1990.0,ACTION ,2.01,C,No,No,2002485.0,tt0100514,GWi7nDgNVk6WNwgEAAAED
40,Movie,Action,Street Justice,1987.0,ACTION ,1.55,C,No,No,2012965.0,tt0098395,
41,Movie,Action,Hard Ticket to Hawaii,1987.0,ACTION ,1.6,C,No,No,2012892.0,tt0093146,
42,Movie,Action,Quiet Cool,1986.0,ACTION ,1.38,C,No,No,2016780.0,tt0091815,
43,Movie,Action,Cobra,1986.0,ACTION ,1.46,C,No,No,,,
44,Movie,Action,Red Sonja,1985.0,ACTION ,1.48,C,No,No,2012573.0,tt0089893,GYQhcBwhsVTMiAgEAAABh
45,Movie,Action,Gymkata,1985.0,ACTION ,1.5,C,No,No,2012570.0,tt0089243,
46,Movie,Action,City Heat,1984.0,ACTION ,1.63,C,No,No,2002123.0,tt0087062,
47,Movie,Action,Razorback,1984.0,ACTION ,1.58,C,No,No,2002124.0,tt0087981,
48,Movie,Action,Malibu Express,1984.0,ACTION ,1.68,C,No,No,2012890.0,tt0089539,
49,Movie,Action,Hearts and Armour,1983.0,ACTION ,1.68,C,No,No,2002095.0,tt0086074,
50,Movie,Action,Forced Vengeance,1982.0,ACTION ,1.71,C,No,No,2011974.0,tt0083960,
51,Movie,Action,Firefox,1982.0,ACTION ,2.16,C,No,No,2002028.0,tt0083943,GYKQ1agD-nMPCEgEAAAAE
52,Movie,Action,Sharky's Machine,1981.0,ACTION ,2.03,C,No,No,2002006.0,tt0083064,
53,Movie,Action,Bronco Billy,1980.0,ACTION ,1.98,C,No,No,2001958.0,tt0080472,
54,Movie,Action,When Time Ran Out,1980.0,ACTION,2.41,CLASSIC,No,No,2001932.0,tt0081747,
55,Movie,Action,"In-Laws, The (1979)",1979.0,ACTION ,1.71,CLASSIC,No,No,2001934.0,tt0079336,
56,Movie,Action,Beyond the Poseidon Adventure,1979.0,ACTION ,2.03,CLASSIC,No,No,2001921.0,tt0078856,GYGblVA7s-4y1iAEAAAI3
57,Movie,Action,Avalanche Express,1979.0,ACTION ,1.46,CLASSIC,No,No,2011347.0,tt0078812,
58,Movie,Action,Every Which Way But Loose,1978.0,ACTION ,1.9,CLASSIC,No,No,2001886.0,tt0077523,GYQhcEQvzjjMiAgEAAABi
59,Movie,Action,"Gauntlet, The",1977.0,ACTION ,1.88,CLASSIC,No,No,2001839.0,tt0076070,GXmZz8Ql9zCLCHAEAABkJ
60,Movie,Action,Greased Lightning,1977.0,ACTION ,1.61,CLASSIC,No,No,2001833.0,tt0076106,GYd3I1guoybeZGAEAAAXm
61,Movie,Action,Viva Knievel!,1977.0,ACTION ,1.76,CLASSIC,No,No,2001830.0,tt0076890,
62,Movie,Action,"Gumball Rally, The",1976.0,ACTION ,1.78,CLASSIC,No,No,2001795.0,tt0074597,
63,Movie,Action,Hot Potato,1976.0,ACTION ,1.45,CLASSIC,No,No,2001778.0,tt0074646,
64,Movie,Action,Fighting Black Kings,1976.0,ACTION ,1.48,CLASSIC,No,No,2016929.0,tt0186105,
65,Movie,Action,Logan's Run,1976.0,ACTION ,2.0,CLASSIC,No,No,,,
66,Movie,Action,St. Ives,1976.0,ACTION ,1.56,CLASSIC,No,No,2001793.0,tt0075263,
67,Movie,Action,Mitchell,1975.0,ACTION ,1.6,CLASSIC,No,No,2000763.0,tt0073396,
68,Movie,Action,Cleopatra Jones and the Casino of Gold,1975.0,ACTION ,1.61,C,No,No,2001676.0,tt0072791,GYd3I4AtTiz-ZwgEAAAPK
69,Movie,Action,"Four Musketeers, The",1975.0,ACTION,1.78,CLASSIC,No,No,,,
70,Movie,Action,Mr. Ricco,1975.0,ACTION ,1.63,CLASSIC,No,No,2011021.0,tt0073411,
71,Movie,Action,"Towering Inferno, The",1974.0,ACTION ,2.75,CLASSIC,No,Yes,2001719.0,tt0072308,GYGQJfQbbOJsJwgEAAAB-
72,Movie,Action,"Towering Inferno, The",1974.0,ACTION ,2.75,CLASSIC,No,Yes,2001719.0,tt0072308,GXdMGjwc8R8PCwwEAAAqK
73,Movie,Action,"Street Fighter, The",1974.0,ACTION ,1.5,CLASSIC,No,No,2016973.0,tt0073756,
74,Movie,Action,Black Samson,1974.0,ACTION ,1.48,C,No,No,2001711.0,tt0071226,
75,Movie,Action,Black Eye,1974.0,ACTION ,1.63,C,No,No,2001701.0,tt0071224,
76,Movie,Action,Freebie and the Bean,1974.0,ACTION ,1.88,CLASSIC,No,No,2001700.0,tt0071521,
77,Movie,Action,McQ,1974.0,ACTION ,1.93,CLASSIC,No,No,2001695.0,tt0071824,
