Type,Channel,Title,Year,Genre,PRODUCT ID,imdb_id
Movie,Crime/Noir,"Public Enemy, The",1931,DRAMA ,2010273,tt0022286
Movie,War,They Died with Their Boots On,1942,DRAMA ,2012885,tt0034277
Movie,Crime/Noir,"Big Sleep, The",1946,DRAMA ,2010684,tt0038355
Movie,Crime/Noir,"Postman Always Rings Twice, The",1946,DRAMA ,2007906,tt0038854
Movie,Sports,Black Gold (1947),1947,DRAMA ,2000825,tt0039191
Movie,Crime/Noir,Dark Passage,1947,DRAMA ,2004542,tt0039302
Movie,Crime/Noir,Out of the Past,1947,DRAMA ,2009590,tt0039689
Movie,Crime/Noir,"Two Mrs. Carrolls, The",1947,DRAMA ,2013753,tt0039926
Movie,Crime/Noir,Key Largo,1948,DRAMA ,2007879,tt0040506
Movie,Crime/Noir,They Live by Night,1949,DRAMA ,2012761,tt0040872
Movie,Romance (drama),Little Women (1949),1949,DRAMA ,2008083,tt0041594
Movie,Sports,"Set-Up, The",1949,DRAMA ,2011135,tt0041859
Movie,War,She Wore a Yellow Ribbon,1949,DRAMA ,2011219,tt0041866
Movie,Romance (drama),"American in Paris, An",1951,DRAMA ,2008299,tt0043278
Movie,Sports,Angels in the Outfield,1951,COMEDY ,2008282,tt0043286
Movie,War,Flying Leathernecks,1951,ACTION ,2005765,tt0043547
Movie,Comedy,On Moonlight Bay,1951,COMEDY ,2000368,tt0043880
Movie,Westerns,Rancho Notorious,1952,WESTERN ,2008298,tt0045070
Movie,Family,Room for One More,1952,COMEDY ,2000384,tt0045102
Movie,Sports,"Great American Pastime, The",1956,COMEDY ,2008849,tt0049277
Movie,Comedy,High Society,1956,COMEDY ,2008760,tt0049314
Movie,War,Screaming Eagles,1956,DRAMA ,2001126,tt0049728
Movie,Westerns,"Searchers, The",1956,WESTERN,2000488,tt0049730
Movie,Comedy,Love in the Afternoon,1957,COMEDY ,2000760,tt0050658
Movie,Family,Andy Hardy Comes Home,1958,COMEDY ,2006827,tt0051360
Movie,War,Torpedo Run,1958,ADVENTURE ,2009094,tt0052303
Movie,War,John Paul Jones,1959,ACTION ,2000629,tt0052946
Movie,Westerns,Rio Bravo,1959,WESTERN,2000620,tt0053221
Movie,Romance (drama),Butterfield 8,1960,DRAMA ,2009298,tt0053622
Movie,Comedy,OCEAN'S 11 (1960),1960,COMEDY ,2000655,tt0054135
Movie,Romance (drama),Splendor in the Grass,1961,DRAMA ,2000695,tt0055471
Movie,Family,Days of Wine and Roses,1962,DRAMA ,2000724,tt0055895
Movie,Sports,Loneliness of the Long Distance Runner,1962,DRAMA ,2020325,tt0056194
Movie,Westerns,Ride the High Country,1962,WESTERN ,2009417,tt0056412
Movie,Romance (drama),Sweet Bird of Youth,1962,DRAMA ,2009412,tt0056541
Movie,Comedy,Viva Las Vegas,1964,COMEDY ,2009657,tt0058725
Movie,Comedy,Girl Happy,1965,COMEDY ,2009747,tt0059224
Movie,Sports,"Great Race, The",1965,ADVENTURE ,2001428,tt0059243
Movie,War,Operation Crossbow,1965,ACTION ,2009757,tt0059549
Movie,Westerns,Ringo and his Golden Pistol,1966,WESTERN,2009861,tt0060563
Movie,Romance (drama),Double Trouble,1967,DRAMA ,2009929,tt0061595
Movie,Action,Bullitt,1968,ACTION ,2001538,tt0062765
Movie,Rom-Coms,Speedway,1968,COMEDY ,2010017,tt0063634
Movie,War,Where Eagles Dare,1969,ACTION ,2010259,tt0065207
Movie,Action,No Blade of Grass,1970,ACTION ,2010594,tt0066154
Movie,Action,Get Carter (1971),1971,ACTION ,2010604,tt0067128
Movie,Romance (drama),McCabe and Mrs. Miller,1971,DRAMA ,2001599,tt0067411
Movie,Action,"Omega Man, The",1971,ACTION ,2001602,tt0067525
Movie,Rom-Coms,Summer of '42,1971,COMEDY ,2001596,tt0067803
Movie,Action,"Getaway, The (1972)",1972,ACTION ,2003526,tt0068638
Movie,Westerns,"Life and Times of Judge Roy Bean, The",1972,WESTERN,2003528,tt0068853
Movie,Comedy,Alice Doesn't Live Here Anymore,1974,COMEDY ,2001735,tt0071115
Movie,Action,"Towering Inferno, The",1974,ACTION ,2001719,tt0072308
Movie,Action,Cleopatra Jones and the Casino of Gold,1975,ACTION ,2001676,tt0072791
Movie,Crime/Noir,Dog Day Afternoon,1975,DRAMA ,2001744,tt0072890
Movie,Comedy,Network,1976,COMEDY,2011172,tt0074958
Movie,Westerns,"Outlaw Josey Wales, The",1976,WESTERN,2001792,tt0075029
Movie,Action,"Gauntlet, The",1977,ACTION ,2001839,tt0076070
Movie,Rom-Coms,"Goodbye Girl, The",1977,COMEDY ,2001841,tt0076095
Movie,Action,Greased Lightning,1977,ACTION ,2001833,tt0076106
Movie,Action,Every Which Way But Loose,1978,ACTION ,2001886,tt0077523
Movie,Rom-Coms,"""10""",1979,COMEDY ,2001931,tt0078721
Movie,Comedy,Being There,1979,COMEDY ,2002365,tt0078841
Movie,Action,Beyond the Poseidon Adventure,1979,ACTION ,2001921,tt0078856
Movie,Sports,"Champ, The (1979)",1979,DRAMA ,2011356,tt0078950
Movie,Comedy,"Frisco Kid, The",1979,COMEDY,2001922,tt0079180
Movie,Comedy,Going in Style (1979),1979,COMEDY ,2001940,tt0079219
Movie,Comedy,Caddyshack,1980,COMEDY ,2001961,tt0080487
Movie,War,Private Benjamin,1980,COMEDY ,2001968,tt0081375
Movie,Comedy,Arthur,1981,COMEDY ,2001997,tt0082031
Movie,Comedy,Polyester,1981,COMEDY ,2016948,tt0082926
Movie,Romance (drama),"Postman Always Rings Twice, The",1981,DRAMA ,2032885,tt0082934
Movie,Romance (drama),Rich and Famous,1981,DRAMA ,2011948,tt0082992
Movie,Action,Sharky's Machine,1981,ACTION ,2002006,tt0083064
Movie,Comedy,Creepshow,1982,COMEDY ,2002045,tt0083767
Movie,Action,Firefox,1982,ACTION ,2002028,tt0083943
Movie,Rom-Coms,My Favorite Year,1982,COMEDY ,2012126,tt0084370
Movie,Rom-Coms,Night Shift,1982,COMEDY ,2002039,tt0084412
Movie,Comedy,"Victor, Victoria",1982,COMEDY ,2011972,tt0084865
Movie,Comedy,"World According to Garp, The",1982,COMEDY ,2002032,tt0084917
Movie,Comedy,"Man With Two Brains, The",1983,COMEDY ,2002067,tt0085894
Movie,Crime/Noir,Sudden Impact,1983,THRILLER ,2002091,tt0086383
Movie,Sports,Cannonball Run II,1984,ACTION ,2002084,tt0087032
Movie,Westerns,Flashpoint,1984,ACTION ,2018073,tt0087268
Movie,Family,"Goonies, The",1985,ACTION ,2002146,tt0089218
Movie,Rom-Coms,Lost in America,1985,COMEDY ,2002122,tt0089504
Movie,Action,Red Sonja,1985,ACTION ,2012573,tt0089893
Movie,Comedy,Spies Like Us,1985,COMEDY,2002158,tt0090056
Movie,War,Heartbreak Ridge,1986,ACTION ,2002199,tt0091187
Movie,Comedy,One Crazy Summer,1986,COMEDY ,2002198,tt0091680
Movie,Rom-Coms,Who's That Girl,1987,COMEDY ,2002233,tt0094321
Movie,Romance (drama),"Accidental Tourist, The",1988,DRAMA ,2002321,tt0094606
Movie,Rom-Coms,Crossing Delancey,1988,COMEDY ,2002325,tt0094921
Movie,Romance (drama),Dangerous Liaisons,1988,DRAMA ,2002335,tt0094947
Movie,Crime/Noir,"Dead Pool, The",1988,THRILLER ,2002311,tt0094963
Movie,Family,Funny Farm,1988,COMEDY ,2002310,tt0095188
Movie,Rom-Coms,Book Of Love,1991,COMEDY ,2016680,tt0099166
Movie,Action,Hard to Kill,1990,ACTION ,2002469,tt0099739
Movie,Rom-Coms,Joe Versus the Volcano,1990,COMEDY ,2002470,tt0099892
Movie,Action,"Rookie, The",1990,ACTION ,2002485,tt0100514
Movie,Westerns,City Slickers,1991,COMEDY ,2015288,tt0101587
Movie,Family,Curly Sue,1991,COMEDY ,2002533,tt0101635
Movie,Romance (drama),Defending Your Life,1991,DRAMA ,2002480,tt0101698
Movie,Romance (drama),Dogfight,1991,DRAMA ,2002532,tt0101748
Movie,Romance (drama),My Own Private Idaho,1991,DRAMA ,2016762,tt0102494
Movie,Comedy,Nothing But Trouble,1991,COMEDY ,2002488,tt0102558
Movie,Sports,Point Break,1991,ACTION ,2041547,tt0102685
Movie,Crime/Noir,Ricochet,1991,DRAMA ,2002550,tt0102789
Movie,Action,Robin Hood: Prince of Thieves,1991,ACTION ,2002526,tt0102798
Movie,Action,Showdown in Little Tokyo,1991,ACTION ,2002541,tt0102915
Movie,Romance (drama),Pure Country,1992,DRAMA ,2003084,tt0105191
Movie,Rom-Coms,Singles,1992,COMEDY ,2002542,tt0105415
Movie,Action,Under Siege,1992,ACTION ,2003073,tt0105690
Movie,Westerns,Unforgiven,1992,WESTERN,2003070,tt0105695
Movie,Action,Falling Down,1993,ACTION ,2003246,tt0106856
Movie,Family,Free Willy,1993,ADVENTURE ,2003255,tt0106965
Movie,Action,"Fugitive, The",1993,ACTION ,2003257,tt0106977
Movie,Romance (drama),M. Butterfly,1993,DRAMA ,2003264,tt0107468
Movie,Family,Mr. Nanny,1993,COMEDY ,2016760,tt0107612
Movie,Rom-Coms,Mr. Wonderful,1993,COMEDY ,2003259,tt0107613
Movie,Crime/Noir,"Perfect World, A",1993,DRAMA ,2003266,tt0107808
Movie,Westerns,City Slickers II: The Legend of Curly's Gold,1994,COMEDY ,2015302,tt0109439
Movie,Comedy,"Hudsucker Proxy, The",1994,COMEDY ,2003263,tt0110074
Movie,Family,Little Big League,1994,COMEDY ,2015308,tt0110363
Movie,Comedy,"Mask, The (1994)",1994,COMEDY ,2016956,tt0110475
Movie,Westerns,Maverick (1994),1994,COMEDY ,2003311,tt0110478
Movie,Family,Monkey Trouble,1994,COMEDY ,2016758,tt0110557
Movie,Family,That's Entertainment III,1994,DOC ,2013807,tt0111408
Movie,Rom-Coms,With Honors,1994,COMEDY ,2003297,tt0111732
Movie,Romance (drama),"American President, The",1995,DRAMA ,2015319,tt0112346
Movie,Romance (drama),"Bridges of Madison County, The",1995,DRAMA ,2003320,tt0112579
Movie,Romance (drama),Don Juan Demarco,1995,DRAMA ,2016992,tt0112883
Movie,Rom-Coms,Forget Paris,1995,COMEDY ,2015316,tt0113097
Movie,Crime/Noir,Seven,1995,THRILLER ,2017015,tt0114369
Movie,Romance (drama),Something to Talk About,1995,DRAMA ,2003382,tt0114496
Movie,Family,"Adventures Of Pinocchio, The",1996,FANTASY ,2017041,tt0115472
Movie,Action,Eraser,1996,ACTION ,2003430,tt0116213
Movie,Action,"Long Kiss Goodnight, The",1996,ACTION ,2017002,tt0116908
Movie,Sports,Space Jam,1996,COMEDY ,2003431,tt0117705
Movie,Romance (drama),Tin Cup,1996,DRAMA ,2003423,tt0117918
Movie,Action,Fire Down Below,1997,ACTION,2003571,tt0119123
Movie,Rom-Coms,Home Fries,1998,COMEDY ,2003568,tt0119304
Movie,War,Three Kings,1999,COMEDY ,2003716,tt0120188
