title_name,name_number,offering_start_date,genre,medal,pred_type,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12,2029-01,2029-02,2029-03,2029-04
 MARISKA HARGITAY / JAYNE MANSFIELD PROJECT,1196,2025-11-01,other,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0034418228511929553,-0.0005319813631024692,-0.00032820656100841653,-0.00028491409376100405,-0.0003044298540070811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 FOOT WAVE S2,855,2023-04-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0026292829999106345,-0.0011484127122628636,-0.0005682941585518026,-0.00038887226817432033,-0.0002881531418901693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 FOOT WAVE S3,1448,2025-04-01,other,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 Foot Wave,746,2021-07-19,other,Silver,historical,,,,,,,,,,,,,,,-0.0013181805431222635,-0.0016782178186505053,-0.0007359981802209939,-0.0004361464608651375,-0.00030976401720897114,-0.0001379653971669965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000% ME: GROWING UP MIXED,1376,2023-05-01,other,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Going on 30,180,2020-11-01,other,Bronze,historical,,,,,,,-0.0009554521767579633,-0.00014767835921443458,-9.111034666791357e-05,-7.909233067547922e-05,-8.450991792920373e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Minutes of Shame,670,2021-10-07,other,Bronze,historical,,,,,,,,,,,,,,,,,,-0.0005950790640911231,-0.00011714821379662549,-6.166754589685881e-05,-5.766654908542803e-05,-5.185951998197513e-05,-9.258199973682663e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Fast 2 Furious,348,2020-11-01,action,Bronze,historical,,,,,,,-0.0007844269902754395,-0.00012124404932591368,-7.480166643418311e-05,-6.493486583091701e-05,-6.93827092367626e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Guns,671,2022-01-01,action,Bronze,historical,,,,,,,,,,,,,,,,,,,,,-0.0008212719775183561,-0.00011328431624093124,-7.827246965577252e-05,-7.224089709577624e-05,-7.201504445050395e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 TBD SERIES,924,2023-07-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006564813404663336,-0.0009708447269552005,-0.0005990667454271656,-0.0005963328782931157,-0.0005180648123325584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 TBD SPECIALS,1364,2023-06-01,other,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 TBD FILM,1245,2026-05-01,drama,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001579256734305311,-0.0002283676558115068,-0.00014929627950489442,-0.00014345612828280666,-0.0001246276616334029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 TBD SPECIALS,903,2024-05-01,other,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018600304646546117,-0.0026896880521330253,-0.001758394452950345,-0.0016896098218304948,-0.0014678503016089155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD DOCUSERIES A,1165,2026-01-01,comedy,Platinum,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0037485440157408027,-0.0014588043363774458,-0.0008442794294435923,-0.0005331240153162613,-0.0004335522200820607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD DOCUSERIES B,1164,2026-06-01,comedy,Platinum,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0024491407927253895,-0.0010697305769607078,-0.0005429881714049214,-0.0003485991325109451,-0.00026841067103814526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD DOCUSERIES C,1163,2026-04-01,comedy,Platinum,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004898281585450779,-0.0021394611539214156,-0.0010587163162155428,-0.0007244582916161902,-0.0005368213420762905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
