,title_name,title_id,season_number,offering_start_date,days_on_hbo_max,change_in_churn,average_hours_viewed_60d,churn_per_hr_person,change_in_churn_60d,asset_run_time_hours
717,The Last of Us,GYyofRQHeuJ6fiQEAAAEy,1,2023-01-16,7.5,-0.0008390144958855766,0.14252491674320453,-0.018346335767472334,-0.0026148099778018695,8.695552000000003
239,Friends,GXdbR_gOXWJuAuwEAACVH,5,2020-05-27,964.0,-0.00014314280059449526,0.0622741887810272,-0.015913847945671425,-0.0009910219712013053,8.666374999999997
237,Friends,GXdbR_gOXWJuAuwEAACVH,3,2020-05-27,964.0,-0.00014093280194091862,0.057303212885140564,-0.015913847945671425,-0.0009119146166525683,9.272763
240,Friends,GXdbR_gOXWJuAuwEAACVH,6,2020-05-27,964.0,-0.0001407175144733375,0.05922395242695177,-0.015913847945671425,-0.0009424809736641897,8.958325
238,Friends,GXdbR_gOXWJuAuwEAACVH,4,2020-05-27,964.0,-0.00013876762256227865,0.060053138486604325,-0.015913847945671425,-0.0009556765145361703,8.712212999999998
633,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,4,2020-05-27,964.0,-0.0001252338261719812,0.05822867788221232,-0.015913847945671425,-0.0009266423258950081,8.108878000000004
236,Friends,GXdbR_gOXWJuAuwEAACVH,2,2020-05-27,964.0,-0.00012439139777448114,0.05274201677563782,-0.015913847945671425,-0.0008393284353155515,8.892209000000003
634,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,5,2020-05-27,964.0,-0.00012423764274039405,0.05799594949456965,-0.015913847945671425,-0.000922938721721421,8.076656000000007
241,Friends,GXdbR_gOXWJuAuwEAACVH,7,2020-05-27,964.0,-0.00012095482247249554,0.05315282760171478,-0.015913847945671425,-0.0008458660163361762,8.579714999999997
635,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,6,2020-05-27,964.0,-0.0001201573969591106,0.0565071292120327,-0.015913847945671425,-0.0008992458621266964,8.017211000000001
636,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,7,2020-05-27,964.0,-0.00011456260772139471,0.0548993878723129,-0.015913847945671425,-0.0008736605109104261,7.867765999999996
632,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,3,2020-05-27,964.0,-0.00011266838234915562,0.055581137243641054,-0.015913847945671425,-0.0008845097667427999,7.642767999999997
846,Wonder Woman 1984,GX9KHPw1OIMPCJgEAAAAD,0,2020-12-25,752.0,-0.0001111699941614042,0.4813888523091593,-0.028358294986691426,-0.013651367077087976,2.4669439999999985
209,Euphoria,GXKN_xQX5csPDwwEAAABj,2,2022-01-10,371.0,-0.00011014931596914513,0.23259729951788624,-0.018346335767472344,-0.0042673081555624735,7.819439999999993
242,Friends,GXdbR_gOXWJuAuwEAACVH,8,2020-05-27,964.0,-0.00010864705292627002,0.04773963821437557,-0.015913847945671425,-0.000759721343524939,8.580545000000004
637,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,8,2020-05-27,964.0,-0.00010712324514211571,0.05227374881792596,-0.015913847945671425,-0.0008318764902386957,7.726381000000003
316,House of the Dragon,GYsYeoAxKH8LCwgEAAAOR,1,2022-08-22,147.0,-0.00010424349458754313,0.16761242925845457,-0.018346335767472344,-0.003075073905977308,10.259162000000002
631,The Big Bang Theory,GXdRsewUPO5uAuwEAABEI,2,2020-05-27,964.0,-0.00010289258642152975,0.0497992991025949,-0.015913847945671425,-0.0007924984737197082,7.789989999999996
235,Friends,GXdbR_gOXWJuAuwEAACVH,1,2020-05-27,964.0,-0.00010281581863928964,0.04377992687222824,-0.015913847945671425,-0.0006967070993172547,8.854437000000011
