TITLE_ID,SEASON_NUMBER,TITLE_NAME,GROSS_COST_1,ADJ_GROSS_COST_1,AMORTIZED_COST,EFC,CONTENT_COST
GXdu2SAeB7puAuwEAADZ8,0,Final Destination 3,,,300000,,300000
GVU3T5wTXyoNJjhsJAXsL,0,Coma,,,80000,,80000
GYK0ljAlihwmgpgEAAAAM,0,Set Up,,,150000,,150000
GYnQshQAwncM-owEAAAAD,0,Unfinished Song,,,173864,,173864
GYrGCXQAmMQCdrAEAAAHD,0,Infinitely Polar Bear,,,95498,,95498
GYTvHXgBxj6rCfQEAAALF,0,Code of Silence,,,225000,,225000
GYS6oPw1bs7KAogEAAAAE,0,A Christmas Story 2,,,180000,,180000
GXrxVHgQTjcLDbwEAAAAm,0,The Lucky One,,,2152762,,2152762
GYPrjPgebdbCHhQEAAAAR,0,What They Had,,,90000,,90000
GWCy07gDNMZJIwgEAAAAC,0,Fraggle Rock,1120000,1120000,,,1120000
GXssRwQHfmVVGwwEAAABi,0,Harry Potter and the Deathly Hallows: Part 1,,,8000000,,8000000
GYnl_JQsLosPCwgEAAACs,4,,55600000,55600000,18523556,,55600000
GXPAj6wo7HoRYKAEAAAC7,0,Aquaman,,,533738,,533738
GYBNbogLM28JfrQEAAABx,0,Rocky III,,,425000,,425000
GVzo_bwMuScLCfgEAAAAt,0,Our Brand is Crisis,,,380719,,380719
GZFPQIQLIrsLCwwEAABf8,0,The Big Wedding,,,200000,,200000
GVdum_AXAe0-PpJIIAAJU,0,The Purge: Anarchy,,,2841057,,2841057
GYS-iCga1O8MkOQEAAAAv,3,,4150000,4150000,2656000,,4150000
GXpCiJAiMgB-auwEAAAJW,2,Being Erica,,,148282,,148282
GX5NuBArhpJ7CDwEAAACR,0,THX 1138,,,75000,,75000
GV7tzEQnWKYORngEAAACL,0,An American Haunting,,,150000,,150000
GVyD7qQNv6oKWYQEAAAHj,2,The Knick,45067583,45067583,714593,45067583.36,45067583
GXa-mxg4SNINiYAEAAAF3,3,Search Party,14290000,14290000,15124115,14290000,14290000
GYQhcBgFOQ2WZQAEAAACd,0,Professor Marston & the Wonder Women,,,17500,,17500
GXxWbrQ5gmZpiwwEAAAkN,0,8 Mile,,,166666,,166666
GXwO6xQ0_q5piwwEAAAOS,0,Serendipity,,,270000,,270000
GXdLWQgqPHKXCPQEAAAxk,1,The Fresh Prince of Bel-Air,,,70933429,,70933429
GYR1YhQ7-C7iVuQEAAAj-,0,We're the Millers,,,4731969,,4731969
GXqRuGwbYSsLDwgEAAAGc,0,The Animatrix,,,353746,,353746
GYs9EiAMpNKW_rgEAAAAC,4,Abbott Elementary,,,1191667,,1191667
GVU4Tqgd9NVFvjSoJAb_j,0,Redemption,,,173864,,173864
GYYLgQggO0Kd9wgEAAACg,0,"Life of Crime, 1984-2020",1200000,1200000,1040000,1200000,1200000
GYN49iwBf4YMqsQEAAAJI,0,Mean Streets,,,140000,,140000
GX9q8tQwrED8EowEAAAAG,0,Bullitt,,,105000,,105000
GXoyeNA7-2rLCwgEAAAyA,1,Luther,,,700223,,700223
GWykvkAOQVRnCwwEAAAB7,0,I Heart Huckabees,,,230000,,230000
GVU2cCgUFTYNJjhsJATuH,8,Last Week Tonight with John Oliver,75700000,75700000,76380400,75700000,75700000
GYliqsgKANoufwwEAAAA8,0,Who's By Your Side,,,114470,,114470
GY5JVXgjK8K-1mgEAAAUy,0,Piranha 3D,,,150000,,150000
GXcX3bQyymKXCPQEAAAEH,0,The Curse of La Llorona,,,1810298,,1810298
GYEfQVQjg6DITvAEAAAAS,0,You Can't Take It With You,,,24087,,24087
GYd3IrwMzb2-jkwEAAAYw,0,Kongo,,,10000,,10000
GX24fYQ6Zs41IugEAAALx,0,City Slickers II: The Legend of Curly's Gold,,,330000,,330000
GXp9IIwffWKQ8iwEAAAS6,0,Rounders,,,225000,,225000
GXdc3dgPW28PCwwEAADMk,0,,,,1490563,,1490563
GXSybgQHa2E6olAEAAALa,0,Casino Royale (2006),,,315000,,315000
GYovepQF2eYeAHgEAAABQ,0,Damsel,,,115909,,115909
GYCGsnwP_ibzCXAEAAAAG,0,Dead Heat,,,100000,,100000
GX3Uw2AN9CaHCwwEAAALT,4,Titans,41812390,45200000,40357136,22600000,45200000
GVU4WKw3Dk4NJjhsJAcFh,0,Ender's Game,,,3029254,,3029254
GYKQAkQBpTMNQvAEAAAGF,0,,,,630000,,630000
