,index_lower,index_upper,coef,intercept,churn_diff,churn
0,0,0,,,,0.0525
0,0,1,-0.07202377977193337,-2.8408491226360124,-0.003635403980834742,0.048864596019165256
0,1,2,-0.07086007851636819,-2.9793922630579184,-0.003159012536689168,0.04570558348247609
0,2,3,-0.04246966508414995,-3.088487027325203,-0.001736429957415478,0.04396915352506061
0,3,4,-0.02379270283574266,-3.153685138395347,-0.0009241949520807161,0.043044958572979894
0,4,5,-0.01846788547083022,-3.1993616407731977,-0.0006895008232584224,0.04235545774972147
0,5,6,-0.007552009983824994,-3.2329899403336757,-0.0002747132722938292,0.04208074447742764
0,6,7,-0.007360923544304887,-3.2593124825589928,-0.00026134221179381634,0.041819402265633826
0,7,8,0.002099773878004846,-3.27902912176374,7.352194803394302e-05,0.04189292421366777
0,8,9,0.003859837583440042,-3.2863622753274226,0.00013434271749510063,0.04202726693116287
0,9,10,0.0032548314101604734,-3.2940583316475935,0.00011244747488902557,0.042139714406051895
0,10,11,0.010555825099805205,-3.3057170799326125,0.00036198050900099893,0.042501694915052894
0,11,12,0.0029594696461085427,-3.321606500968157,9.964545344365305e-05,0.04260134036849655
0,12,13,0.024112157573069202,-3.321716392413564,0.0008198127603873048,0.04342115312888385
0,13,14,0.013999952232008757,-3.3205674688013476,0.00047426613390860045,0.04389541926279245
0,14,15,0.03595016660027842,-3.3169786434565167,0.0012344968429839134,0.045129916105776366
0,15,16,0.015044922323125732,-3.3025176203822837,0.0005185376887588133,0.04564845379453518
0,16,17,0.039571846228953315,-3.3062008497955775,0.0013748481381678848,0.047023301932703064
0,17,18,0.04598173299052271,-3.320055744431021,0.001581860391321431,0.048605162324024495
0,18,19,0.05758732235910808,-3.29402876713957,0.0020405562705856917,0.05064571859461019
0,19,20,0.00638226771761857,-3.2655718526376636,0.000226724451141809,0.050872443045751996
0,20,21,0.028658017487789532,-3.30456151559395,0.000992122360799659,0.051864565406551655
0,21,22,0.07418982530905485,-3.299949657913073,0.0026348433508586455,0.0544994087574103
0,22,23,-0.07052751191782397,-3.3160086309547374,-0.0023071601825303267,0.052192248574879974
0,23,24,0.04397144813098553,-3.3308769616029714,0.0014961643231893654,0.05368841289806934
0,24,25,-0.029706510909631646,-3.3134188446228974,-0.0009926959906539357,0.0526957169074154
0,25,26,0.031143651821546176,-3.2730241458306604,0.0011114455661333789,0.05380716247354878
0,26,27,0.05465930044908432,-3.1488977186445353,0.002210808019840249,0.05601797049338903
0,27,28,-0.32595202584574934,-3.247560825563844,-0.010123232883017783,0.045894737610371245
0,28,29,-0.058124845909176034,-3.3815206425021076,-0.0017988506201924923,0.04409588699017875
0,29,30,-0.0737249553180424,-3.4249753213756327,-0.0021747417470614205,0.04192114524311733
0,30,31,-0.17043401277049366,-3.521402173130626,-0.004389384023723759,0.03753176121939357
0,31,32,0.25112267644046343,-3.3709747800662804,0.009080769557774537,0.04661253077716811
0,32,33,-0.07044443710888205,-3.3091517385705926,-0.002319305884247211,0.044293224892920896
0,33,34,0.15781708418230095,-3.2944390010841085,0.005859202480590242,0.05015242737351114
0,34,35,,,,
0,35,36,,,,
0,36,37,,,,
0,37,38,,,,
0,38,39,,,,
0,39,40,,,,
0,40,41,,,,
0,41,42,,,,
0,42,43,,,,
0,43,44,,,,
0,44,45,,,,
0,45,46,,,,
0,46,47,,,,
0,47,48,,,,
0,48,49,,,,
0,49,50,,,,
0,50,51,,,,
0,51,52,,,,
0,52,53,,,,
0,53,54,,,,
0,54,55,,,,
0,55,56,,,,
0,56,57,,,,
0,57,58,,,,
0,58,59,,,,
0,59,60,,,,
0,60,61,,,,
0,61,62,,,,
0,62,63,,,,
0,63,64,,,,
0,64,65,,,,
0,65,66,,,,
0,66,67,,,,
0,67,68,,,,
0,68,69,,,,
0,69,70,,,,
0,70,71,,,,
0,71,72,,,,
0,72,73,,,,
0,73,74,,,,
0,74,75,,,,
0,75,76,,,,
0,76,77,,,,
0,77,78,,,,
0,78,79,,,,
0,79,80,,,,
0,80,81,,,,
0,81,82,,,,
0,82,83,,,,
0,83,84,,,,
0,84,85,,,,
0,85,86,,,,
0,86,87,,,,
0,87,88,,,,
0,88,89,,,,
0,89,90,,,,
0,90,91,,,,
0,91,92,,,,
0,92,93,,,,
0,93,94,,,,
0,94,95,,,,
0,95,96,,,,
0,96,97,,,,
0,97,98,,,,
0,98,99,,,,
0,99,100,,,,
0,100,101,,,,
0,101,102,,,,
0,102,103,,,,
0,103,104,,,,
0,104,105,,,,
0,105,106,,,,
0,106,107,,,,
0,107,108,,,,
0,108,109,,,,
0,109,110,,,,
0,110,111,,,,
0,111,112,,,,
0,112,113,,,,
