,expiration_month,level,title_viewed_lower_bound,title_viewed_upper_bound,title_viewed_bin,churn,vol_churn,invol_churn,user_dist,user_id,is_cancel
0,2023-12,monthly_new_titles_viewed,-0.011,0.0,-0.0055,0.05219651733176711,0.03357980782361635,0.01861670950815076,0.4572882316954893,3309876,172764
1,2023-12,monthly_new_titles_viewed,0.0,0.5,0.25,0.04129809802009726,0.02505178956416433,0.01624630845593293,0.27517265695245074,1991714,82254
2,2023-12,monthly_new_titles_viewed,0.5,1.0,0.75,0.033302091041135684,0.01917290142234646,0.014129189618789223,0.12603183840071885,912225,30379
3,2023-12,monthly_new_titles_viewed,1.0,1.5,1.25,0.02977421094928278,0.01657254202582648,0.0132016689234563,0.0627496182674565,454185,13523
4,2023-12,monthly_new_titles_viewed,1.5,2.0,1.75,0.028447191516655975,0.015139903537781036,0.01330728797887494,0.03317107973250261,240094,6830
5,2023-12,monthly_new_titles_viewed,2.0,2.5,2.25,0.027208834585050207,0.01410158868859745,0.013107245896452758,0.018340708245809783,132751,3612
6,2023-12,monthly_new_titles_viewed,2.5,3.0,2.75,0.026103226996613563,0.01271560527598793,0.013387621720625634,0.010485003423573083,75891,1981
7,2023-12,monthly_new_titles_viewed,3.0,3.5,3.25,0.027509977131070354,0.012622752342944263,0.014887224788126093,0.006162155231822042,44602,1227
8,2023-12,monthly_new_titles_viewed,3.5,4.0,3.75,0.02872279083177166,0.013406371630387775,0.015316419201383883,0.003833628164041927,27748,797
9,2023-12,monthly_new_titles_viewed,4.0,4.5,4.25,0.02903959414543122,0.011895737360779054,0.017143856784652165,0.0023692838901958704,17149,498
10,2023-12,monthly_new_titles_viewed,4.5,5.0,4.75,0.027673545966228893,0.011819887429643527,0.015853658536585366,0.0014727719557693147,10660,295
11,2023-12,monthly_new_titles_viewed,5.0,5.5,5.25,0.024826789838337183,0.010825635103926097,0.014001154734411086,0.0009571636125300011,6928,172
12,2023-12,monthly_new_titles_viewed,5.5,6.0,5.75,0.029463116542994324,0.013312963771278918,0.016150152771715408,0.0006330432552847092,4582,135
13,2023-12,monthly_new_titles_viewed,6.0,6.5,6.25,0.027159685863874346,0.012107329842931938,0.015052356020942409,0.00042221304848321067,3056,83
14,2023-12,monthly_new_titles_viewed,6.5,7.0,6.75,0.02516940948693127,0.013552758954501452,0.011616650532429816,0.0002854359156303381,2066,52
15,2023-12,monthly_new_titles_viewed,7.0,7.5,7.25,0.03350707371556218,0.01340282948622487,0.020104244229337303,0.0001855471610317251,1343,45
