,ckg_series_id,season_number,title_name,medal,content_sub_pillar,content_cost
0,7a73bee9-f02e-4c7f-8f7e-2a515e770156,0,Open Water 3: Cage Dive,Bronze,NaN,
1,61c0d937-20bc-412d-8f62-ba1d2ec435d4,210,House Hunters: Volume 9,Bronze,Supporter: Segment-Specific Library,
2,c5ec2810-47ee-4999-b2a2-eff27886dd42,6,Paranormal Caught on Camera,Bronze,Supporter: Segment-Specific Library,
3,c95b000f-1b00-40fe-a272-6a2037005f40,15,The Dead Files,Bronze,Supporter: Segment-Specific Library,
4,c42a5ab6-6627-45bb-b1b4-90bf9514040f,1,Burden of Proof,Bronze,Supporter: New Content,2200000.0
5,milan_san_remo_cycling_men,0,MILAN SAN REMO: Cycling (Men),Bronze,News & Sports,
6,71e951b2-4ccf-45df-8ba6-fc520adc6e85,0,Just a Boy from Tupelo: Bringing Elvis to the Big Screen,Bronze,Supporter: New Content,
7,c74e2028-3daf-4560-ba49-d55e4539ce36,1,Overhaulin',Bronze,Supporter: Segment-Specific Library,
8,51ea90d5-49c9-4751-8f89-2b4d034f2307,12,My Sesame Street Friends,Bronze,Supporter: New Content,
9,0183ba0e-a463-4718-a208-bc5741891f91,4,Sex & Murder,Bronze,Supporter: New Content,
10,national_collegiate_athletic_association_basketball_men,0,National collegiate athletic association: Basketball (Men),Bronze,News & Sports,
11,c201c9cf-7c13-4d9e-9958-d39ac7e4c9d3,2,Handcrafted Hotels,Bronze,Supporter: Segment-Specific Library,
12,b924808f-e969-426d-8d2c-f4e72c55ff66,0,Spirited Away: Live on Stage (with Kanna Hashimoto as Chihiro),Bronze,NaN,
13,3c80efb5-7891-463e-87b9-9e8ca7d8e6c7,0,Gary Gulman: Born On 3rd Base,Bronze,Supporter: New Content,1400000.0
14,fc989e9f-5bb1-4cac-86b7-3df6735a0e6c,2,Faster With Newbern and Cotten,Bronze,Supporter: Segment-Specific Library,
15,32b6bbe2-8fe4-4934-9e29-bfca4f9157c6,0,Our Family Wedding,Bronze,Supporter: Broad Library,
16,a3922968-47e5-4840-8896-d88895e521f4,10,American Monster,Bronze,Supporter: Segment-Specific Library,
17,28dd8151-9a51-460c-91de-a3bc1689e87a,0,Stephen King's Graveyard Shift,Bronze,Supporter: Broad Library,250000.0
18,brisbane_bmx,0,BRISBANE: Bmx,Bronze,NaN,
19,342ed8ea-9c16-4cf8-8367-d3502cdb3bd5,0,Tiburones: Sharks of Cuba,Bronze,NaN,
20,fd44afea-ed14-467f-a40c-ab4c9f0a78af,0,Bridget Jones's Baby,Bronze,Supporter: Broad Library,
21,7bd11f15-c37f-45db-bae1-02f708229ba9,0,Never Say Never Again,Bronze,Supporter: Broad Library,252000.0
22,ba3077bd-0ee8-4fe8-bb15-3783118d46d0,0,The Descent,Bronze,Supporter: Broad Library,255000.0
23,e9971e2f-2476-49a1-bac9-80e89bab92c3,1,The Accidental Influencer,Bronze,Supporter: New Content,
24,e024645e-9895-47e3-9e1f-4705e8568932,0,Shark Week: Off the Hook,Bronze,Supporter: New Content,
25,c61b50b3-bbe2-42b3-8425-4fbd5a80e011,0,De-Lovely,Bronze,Supporter: Broad Library,270000.0
26,57a0c2e1-db13-4589-81ed-31fda99a747b,0,After the Bite,Bronze,Supporter: New Content,2100000.0
27,united_states_motogp,0,United States: Motogp,Bronze,NaN,
28,1819b132-d8d0-44a9-918b-f94cbc826076,0,Flight (2012),Bronze,Supporter: Broad Library,
