,ckg_series_id,season_number,title_name,content_strategy_category,medal,content_cost
47585,0016010d-5220-4bfc-89b0-511b48b5b77a,0,Kusama: Inifinity,Docu-Movies (Acq),Bronze,60000.0
49701,005d86c9-db4d-4536-8c06-8cb3b2c86f68,0,Sharks Gone Wild,,Bronze,
48816,006ac57e-39c7-4140-b543-80c96489bc63,0,Casualties of War,Movies (Acq),Bronze,196292.0
47788,007e3b71-3772-4438-9133-531a3b4fe505,2,Down Home Fab,Unscripted Series (Acq),Bronze,
49692,009ed481-0fb8-4aa1-b69d-f8695ab2794b,1,Turn & Burn,Unscripted Series (Acq),Bronze,
48111,00f3d5d1-04bc-4757-bce2-458e7e91f597,0,Talladega Nights: The Ballad of Ricky Bobby,Movies (Acq),Bronze,1089829.423
49590,01031250-b751-413a-aba1-e332eac7dd3d,0,Internal Affairs,Movies (Acq),Bronze,135000.0
47948,0115fae2-b3ed-4988-bfb2-8d6f1c027ed9,0,Crazy Heart,Movies (Acq),Bronze,285000.0
47725,014e2291-5c98-4852-b1a3-9cbdd17d8a31,0,Body at Brighton Rock,Movies (Acq),Bronze,60000.0
48715,014e2955-55b0-49ff-9f86-9520ec4562e0,0,EO,Movies (Acq),Bronze,
48573,017e5272-38aa-44fb-bb92-14f246916643,2,We Baby Bears,Kids Series (Acq),Bronze,7874841.0
48789,0183ba0e-a463-4718-a208-bc5741891f91,4,Sex & Murder,Docu-Series (Acq),Bronze,
48487,01c7fc19-f536-4f50-94fd-a0013a93d110,0,Austenland,Movies (Acq),Bronze,196292.0
48271,01d102ca-c50b-4d14-887b-fac195be6bda,0,Superbad,Movies (Acq),Bronze,418219.1083
48650,01d1b48a-86fa-40b0-a81c-194ba934c3b3,0,Baking Christmas,Movies (Acq),Bronze,
48532,01e07f2a-6b8c-4a12-a83b-dbc4ed770fd3,0,Monsters of the Bermuda Triangle,Specials,Bronze,
48135,02041f20-b434-4e14-a8a9-9a648708eca3,1,Boom Boom Bruno,Comedy Series (OP),Bronze,672189.8
49673,022a019e-6f2a-4678-92cc-7a6618a59b27,1,Carfellas,Unscripted Series (Acq),Bronze,
