,entertainment_segment_lifetime,a,b,c,mean,sub_count
0,Adult Animation Watchers,0.007342681182490947,-1.0086867197360134,0.02724157240532474,2.390844393152529,238419
1,Armchair Detectives,0.0074236415254178,-0.6042102564890428,0.02640334621017071,2.93070069299307,230112
2,Comedy Originals Watchers,0.00843852983856691,-0.7102356154792931,0.03051607892143805,2.081303544431379,469867
3,DC Superfans,0.00750111308913613,-0.9899006210569175,0.04691731558875615,2.047248471372985,7416
4,Drama Originals Watchers,0.005873832406886527,-1.3279811540350297,0.027079380944732105,2.350786115415363,520490
5,Factual,0.009620111328737224,-0.3659456546414918,0.02333053390928454,2.845713148995425,127331
6,Family Animation Watchers,0.007856616818489126,-0.3793737304585575,0.04890007724182133,1.0584343991179714,4811
7,Family Movie Watchers,0.008819797812812589,-0.9680266536566356,0.026113463649829208,1.3451511991657976,3795
8,Fantasy Footballers,0.005040364204040474,-1.0971548641829132,0.04460856313812342,1.650960759773246,57280
9,Food & Home Watchers,0.004949816770647004,-1.5889949179815825,0.028073559333477938,2.9704908006727484,96966
10,Ghost Hunters,0.0033601801158766455,-9.39190611352111,0.035887571346389834,2.8660919540229886,25136
11,Nostalgia Comedy Watchers,0.0063573261197318485,-1.1994938093813234,0.0259885122635109,2.1336148411547278,420848
12,Nostalgia Drama Watchers,0.008853307292802495,-0.4409724906672386,0.02125332069246892,1.95660496378309,237522
13,Nostalgia Millennial Watchers,0.011798362269923333,-2.314119990556141,0.020149607607378595,2.9359605911330053,1789
14,OWN Watchers,0.0073584719903860155,-1.4598709408929404,0.008561226615152174,3.7265087853323147,6124
15,Pay-1 Movie Watchers,0.005633113344816957,-1.0581060265069968,0.02689394590827409,2.40526427325534,844051
16,Procedurals Watchers,0.005726152645023436,-0.8767616509599618,0.029653352907118926,1.936918958384035,110768
17,Reality Drama Divas,0.007244973744356467,-0.6513223860647884,0.023642092451017907,3.2501365161089004,135006
18,Satirical Comedy Watchers,0.007025109588823894,-0.8931715316824456,0.027069269565305816,3.0683090169815834,109745
19,Sci-Fi & Fantasy Watchers,0.007939162018841078,-0.8117758291970465,0.03377686840153824,1.884514281230383,259168
20,Seasonal Movies,0.00498778228399995,-1.3965242199820918,0.030343312783341857,2.1966268883217217,127803
21,Supernatural Sleuths,0.009678694950756914,-0.5521347956092721,0.03454488931170903,2.037133739483609,15367
22,Wizards & Hobbits,0.0048755171847720165,-2.9652029516878784,0.035999533240849396,1.300271403898347,16205
