,entertainment_segment_lifetime,medal,content_sub_pillar,percent_viewing_subs
0,Adult Animation Watchers,Bronze,Buzz/Prestige/Brand Support,0.0039987582105064975
1,Adult Animation Watchers,Bronze,Engagement Anchor,0.046344660932317976
2,Adult Animation Watchers,Bronze,Experimentation,0.01315609047085685
4,Adult Animation Watchers,Bronze,News & Sports,0.0020494925049744147
5,Adult Animation Watchers,Bronze,Supporter: Broad Library,0.008616747726149886
6,Adult Animation Watchers,Bronze,Supporter: New Content,0.011601570387323778
7,Adult Animation Watchers,Bronze,Supporter: Segment-Specific Library,0.0012574074044733275
8,Adult Animation Watchers,Gold,Engagement Anchor,0.05658998120963987
9,Adult Animation Watchers,Gold,Experimentation,0.027182629065681592
10,Adult Animation Watchers,Gold,Supporter: New Content,0.1273103199551474
11,Adult Animation Watchers,Gold,Tentpole Anchor,0.04948550813758045
12,Adult Animation Watchers,Platinum,Engagement Anchor,0.19940270380731626
14,Adult Animation Watchers,Platinum,Supporter: New Content,0.1438610855797223
15,Adult Animation Watchers,Platinum,Tentpole Anchor,0.5508919151970018
16,Adult Animation Watchers,Silver,Buzz/Prestige/Brand Support,0.016719350137341705
17,Adult Animation Watchers,Silver,Engagement Anchor,0.034977833181744654
18,Adult Animation Watchers,Silver,Experimentation,0.0883611930528717
20,Adult Animation Watchers,Silver,Supporter: Broad Library,0.38979264866371005
21,Adult Animation Watchers,Silver,Supporter: New Content,0.029260237099238542
22,Armchair Detectives,Bronze,Buzz/Prestige/Brand Support,0.010872732732421841
23,Armchair Detectives,Bronze,Engagement Anchor,0.10784395028966105
24,Armchair Detectives,Bronze,Experimentation,0.007487983540986472
26,Armchair Detectives,Bronze,News & Sports,0.002466302188530209
27,Armchair Detectives,Bronze,Supporter: Broad Library,0.007583189355585166
28,Armchair Detectives,Bronze,Supporter: New Content,0.021420891791179408
29,Armchair Detectives,Bronze,Supporter: Segment-Specific Library,0.002813346303170458
30,Armchair Detectives,Gold,Engagement Anchor,0.10512690543230177
31,Armchair Detectives,Gold,Experimentation,0.03263491106421465
32,Armchair Detectives,Gold,Supporter: New Content,0.08197535396586814
33,Armchair Detectives,Gold,Tentpole Anchor,0.0582876991511156
34,Armchair Detectives,Platinum,Engagement Anchor,0.19799820615049335
36,Armchair Detectives,Platinum,Supporter: New Content,0.14361253326336818
37,Armchair Detectives,Platinum,Tentpole Anchor,0.5286016606372032
38,Armchair Detectives,Silver,Buzz/Prestige/Brand Support,0.020338739715975482
39,Armchair Detectives,Silver,Engagement Anchor,0.08757616410847732
40,Armchair Detectives,Silver,Experimentation,0.06349764374637117
42,Armchair Detectives,Silver,Supporter: Broad Library,0.14249562249971243
43,Armchair Detectives,Silver,Supporter: New Content,0.04725027588381385
44,Comedy Originals Watchers,Bronze,Buzz/Prestige/Brand Support,0.007300445205102775
45,Comedy Originals Watchers,Bronze,Engagement Anchor,0.06546784712409706
46,Comedy Originals Watchers,Bronze,Experimentation,0.005324024875777561
