,new_imdb_id,title_name,content_category,keyword_list,genre_list,Dominant_Topic,Topic_Perc_Contrib
0,tt5348176,Barry,series,"['Love', 'Post-Traumatic Stress Disorder', 'Loneliness', 'Los Angeles', 'Investigations', 'Mental Health', 'Romance', 'Haunted By the Past', 'Existential Crisis', '2010s', 'Comedy', 'Regret', 'Lies', 'Ex-Convicts', 'Actors or Actresses', 'Cynical', 'Antiheroes', 'Emmy Winner', 'Secrets', 'Criminal Protagonist', 'Dark', 'Clever', 'Morality', 'Depression', 'Criminals', 'Loners', 'Self-Discovery', 'Violent', 'Hitmen', 'Disappointment']","['Action', 'Comedy', 'Crime', 'Drama']",7,0.40256885
1,tt2438750,The Bachelor (Canada),series,"['Relationships', 'Romantic', 'Reality Show', 'Canada', 'Love Triangle', '2010s', 'Marriage Engagements', 'Based on a TV Series', 'Competitions', 'Sensual', 'Dating', 'Romance', 'Sexuality', 'Vacations', 'Love', 'Rivalries', 'Jealousy', 'Couples', 'Travel', 'Journeys']",['Reality-TV'],3,0.52716756
2,tt5973626,Batman: Return of the Caped Crusaders,movies,"['Death', 'Relationships', 'Gotham City', 'Action-Packed', 'Based on a Comic', 'Dramatic', 'Crimes', 'Animation', 'Crises', 'Superheroes', 'Violence']","['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",7,0.5396143
3,tt0113347,How to Make an American Quilt,movies,"['Flashbacks', 'Haunted By the Past', 'Touching', 'Desire', 'California', '1990s', 'Affairs or Infidelity', 'Fiancés', 'Coming of Age', 'Heartbreak', 'Adulthood', 'Emotional', 'Summer', 'Family Homes', 'Sincere', 'Relatives', 'Pursuing a Dream', 'Slice of Life', 'Introspection', 'Love', 'Self-Discovery', 'Spouses', 'Sorrow', 'Bittersweet', 'Based on a Novel', 'Young Adults', 'Seniors', 'Hope', 'Drama', 'Romance']","['Comedy', 'Drama', 'Romance']",4,0.8550274
4,tt8310612,The Other Two,series,"['Jealousy', 'Pop Culture', 'Children', 'Parents', 'Quality of Life', 'Teens', 'Comedy', 'Comedians', 'Career', 'Fame', 'Millennials', 'Satire', '2010s', 'Dating', 'Family', 'Showbiz', 'Workplaces', 'Actors or Actresses', 'Shocking', 'Celebrities', 'Raw', 'Siblings', 'Funny', 'Young Adults', 'New York City', 'Award-Winning', 'Entertainment', 'Heart-Warming']",['Comedy'],3,0.61242807
5,tt2402207,The Last Ship,series,"['Military', 'Ships or Boats', 'Leadership', 'Patriotic', 'Soldiers', 'Serious', 'Science Fiction', 'Doctors', 'Action', 'Sea', 'Action-Packed', 'Pandemics', 'Fast', 'Drama', 'Award-Winning']","['Action', 'Drama', 'Sci-Fi', 'Thriller', 'War']",0,0.42371657
6,tt0108160,Sleepless in Seattle,movies,"['Fiancés', 'New York City', 'Love', 'Affectionate', 'Grief', 'Architects', 'Relationships', 'Heart-Warming', 'Classic', 'Couples', 'Award-Nominated', 'Marriage Engagements', 'Romantic', 'Charming', 'Comedy', 'Washington', 'Widows or Widowers', 'Big Cities', 'Seattle', 'Valentines Day', 'Romance', 'Journalists', '1990s']","['Comedy', 'Drama', 'Romance']",4,0.63095224
7,tt0074486,Eraserhead,movies,"['Experimental', 'Parenting', 'Disturbing', 'Black & White', 'Psychological', 'Desire', 'Independent', 'Fantasy', 'Offbeat', 'Cult Classic', 'Critically Acclaimed', 'Mutants', 'Babies', 'Parents', 'Monsters', 'Single Parents', 'Adult Humor', 'Horror', 'Big Cities', 'Science Fiction']","['Fantasy', 'Horror']",4,0.41985673
8,tt0268397,Jimmy Neutron Boy Genius,movies,"['Robots', 'Space', 'Parents', 'Brainwashing', 'Animation', 'Geniuses', 'Action', 'Prodigies', 'Imaginative', 'Fun', 'Fictional World', 'Nerds', 'Technology', 'Parenting', 'Family', 'Rescues', 'Friendship', 'Heart-Warming', 'Aliens', 'Buddies', 'Abductions', 'Silly', 'Inventions', 'Award-Nominated', 'Children', 'Invasions', 'Adventures', 'Childhood', 'Science Fiction', 'Comedy']","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",0,0.7592643
9,tt0095765,Cinema Paradiso,movies,"['Critically Acclaimed', 'Italy', 'Small Towns', 'Mortality', 'Youth', 'Buddies', 'Award-Winning', 'Children', 'Love', 'Sincere', 'Parents', 'Seeking Fulfillment', 'Satisfying', 'Generation Gap', 'Body Image', 'Human Nature', 'First Love', 'Romance', 'Haunted By the Past', 'Coming of Age', 'Villages', 'Period Piece', 'Drama', 'Touching', 'Nostalgic']","['Drama', 'Romance']",4,0.81371075
10,tt0093437,The Lost Boys,movies,"['Love', 'United States', 'Sexuality', '1980s', 'Sensual', 'Violence', 'California', 'Dramatic', 'Brothers', 'Singles Life', 'Showdowns', 'Mothers', 'Brotherhood', 'Coming of Age', 'Sons', 'Good vs Evil', 'Duels', 'Vampires', 'Siblings', 'Werewolves', 'Gangs', 'Teamwork', 'Family', 'Sexual Assault', 'Survival', 'Sex', 'Dating']","['Comedy', 'Horror']",7,0.40755844
11,tt1809398,Unbroken,movies,"['World War II', 'Athletes', 'Plane Crashes', 'Based on a Novel', 'Biopic', 'Soldiers', 'Religion', 'California', 'Epic', 'Patriotism', 'Forgiveness', '1930s', 'Hope', 'Survival', 'Danger', '1940s', 'Japan', 'Based on a True Story', 'Torture', 'Against the Odds', 'Sea', 'Serious', 'Award-Nominated', 'Suspenseful', 'Historical Figures', 'Inspiring', 'Drama', 'Battles', 'Prisoners of War', 'Imprisonment']","['Action', 'Biography', 'Drama', 'Sport', 'War']",1,0.7509582
12,tt1186373,Wonder Woman,movies,"['Superheroes', 'Belgium', 'Destruction', 'Animation', 'Supernatural', 'Violence', 'Alternate Reality', 'Violent', 'Sacrifice', 'Conflict', 'Action-Packed', 'Secret Identities', 'Monsters', 'London', 'Super-Villains', 'Female Superheroes', 'Conspiracies', 'Based on a Comic', 'Crises', 'Death', 'Secrets', 'Investigations', 'Greed']","['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']",7,0.6466822
13,tt1562497,Cathouse: Menage a Trois,special,"['Flirting', 'Sex Workers', 'Reality Show', 'Controversial', 'Prostitution', 'Polyamory or Polygamy', 'Nevada', 'Film Crew', 'Bosses', 'Business', 'Sex', 'Informative', '2000s']",['Documentary'],3,0.5471111
14,tt0771752,Foster's Movie: House Of Bloo's,special,"['Imaginative', 'Loneliness', 'Humanized Animals', 'United States', 'Animation', 'Funny', 'Innocence', 'Unique', '2000s', 'Buddies', 'Friends', 'Comedy', 'Friendship', 'Fantasy World', 'Emmy Winner', 'Adventures', 'Imaginary', 'Childhood', 'Roommates', 'Suburbs']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",3,0.5566471
15,tt0365156,Ellen DeGeneres: Here and Now,special,"['Comedy', 'Human Nature', 'Media', 'Happiness', 'Irreverent', 'Body Image', 'New York (State)', 'Adulthood', 'Funny', 'Award-Nominated', 'Live', 'Actors or Actresses', 'Cynical', 'Clever', 'Stand-Up Comedy', 'Comedians', 'Humor', '2000s', 'Adult Humor', 'Crude Humor', 'Gender', 'Diversity']","['Comedy', 'Documentary']",2,0.49640682
16,tt11568324,Los Trapos Sucios Se Lavan En Casa,movies,"['Betrayal', 'B-Movie', 'Silly', 'Humor', 'Crises', 'Mexico', 'Abuse of Authority', 'Kidnappings', 'Family', 'Hostages', 'Violence', 'Rich vs Poor', 'Quirky', '2010s']",['Comedy'],7,0.5474611
17,tt15520020,Four Hours at the Capitol,movies,"['Elections', 'Interviews', 'Journalists', 'Death', 'Revolutions or Rebellions', 'Washington D.C.', 'Political Unrest', 'Documentary', 'Activists', 'Journalism', 'Historical Figures', 'Serious', 'Award-Nominated', 'Violent', '2020s', 'Voting', 'Protests', 'News', 'Police', 'Destruction', 'Government', 'Archival Footage', 'Witnesses', 'Informative', 'Morality', 'Rebels', 'Politicians']","['Documentary', 'Crime']",6,0.48331973
18,tt2334879,White House Down,movies,"['Politicians', 'Thrilling', 'White House', 'Underdogs', 'Contemporary', 'Hostages', 'Original Story', 'Partners', 'Terrorism', 'Law Enforcement', 'Washington D.C.', 'Survival', 'Betrayal', 'Single Parents', 'Comedy', 'Action', 'Campy', 'Fast', 'Vice-Presidents', 'Against the Odds', 'Conspiracies', 'Race Against Time', 'Rescues', 'Action-Packed', 'Government', 'Daughters', 'Bodyguards', 'Presidents']","['Action', 'Drama', 'Thriller']",5,0.64673233
19,tt0090274,Volunteers,movies,"['Escapes', 'Fish Out of Water', 'Humor', 'Fugitives', 'Duplicity', 'Culture Clash', 'Adult Humor', 'Semi-Serious', 'Gambling', 'Villages', 'Small Towns', 'Comedy', 'Clever', 'Thailand', 'Gangsters', 'Jungles', 'Breaking the Fourth Wall', 'Mistaken Identity', 'Buddies', 'Partners', 'Satisfying', 'Underdogs', 'Rescues', 'Silly', 'On the Run', 'Danger', 'Chaos']","['Adventure', 'Comedy']",2,0.7873914
20,tt3357528,Pacquiao vs. Rios (11/23/13),special,"['Action', '2010s', 'Fighting', 'Athletes', 'Live', 'Boxing', 'United States', 'Energetic', 'Suspenseful', 'Showdowns', 'Rivals', 'Sports', 'Competitions', 'Action-Packed']",['Sport'],3,0.57557476
21,tt11771726,First Dates (Eire),series,"['Food', 'Relationships', 'Couples', 'Romantic', 'Reality Show', 'Europe', 'Experiments', 'Dating', 'Entertainment', 'Friendship', 'Love', 'Romance', 'Sensual', 'Sexuality']",['Reality-TV'],3,0.6298645
22,tt0039431,Good News,movies,"['1920s', 'American Football', 'Lighthearted', 'Romance', 'Musical Performances', 'Romantic', 'Teachers', 'Based on a Stage Play']","['Comedy', 'Musical', 'Romance', 'Sport']",4,0.5652704
23,tt6415248,The Jetsons & WWE: Robo-Wrestlemania,movies,"['Animation', 'Relationships', 'Future', 'Friendship', 'Lighthearted', 'Silly', 'Family']","['Animation', 'Comedy', 'Family', 'Sci-Fi']",0,0.5415329
24,tt0094226,The Untouchables,movies,"['Thrilling', 'Critically Acclaimed', 'Power', 'Politics', 'Corruption', 'Based on a True Story', 'Retro', 'Period Piece', 'Based on a Novel', 'Obsession', 'Crimes', 'Police', 'Assassinations', 'Award-Winning', '1930s', 'Rivals', 'Murder', 'Justice', 'Fighting the System', 'Egos', 'Serious', 'Gangsters', 'Mafia', 'Detectives', 'Law Enforcement', 'Historical Figures', 'Suspenseful', 'Hotshot', 'Chicago', 'Drama']","['Crime', 'Drama', 'Thriller']",5,0.4634067
