,genre,medal,category,is_pay_1,hit_series,program_type,days_on_hbo_max,asset_run_time_hours,churn_per_hr_person,change_in_churn_prediction
0,other,Bronze,movies,0,0,acquired,0,1.6302582698197332,-0.03393613147499226,-8.324099816729739e-05
1,other,Bronze,movies,0,0,acquired,1,1.6302582698197332,-0.03393613147499226,-7.638111450771147e-05
2,other,Bronze,movies,0,0,acquired,2,1.6302582698197332,-0.03393613147499226,-7.010650344041782e-05
3,other,Bronze,movies,0,0,acquired,3,1.6302582698197332,-0.03393613147499226,-6.436723058980797e-05
4,other,Bronze,movies,0,0,acquired,4,1.6302582698197332,-0.03393613147499226,-5.911762188888895e-05
5,other,Bronze,movies,0,0,acquired,5,1.6302582698197332,-0.03393613147499226,-5.431590009762817e-05
6,other,Bronze,movies,0,0,acquired,6,1.6302582698197332,-0.03393613147499226,-4.992385233288103e-05
7,other,Bronze,movies,0,0,acquired,7,1.6302582698197332,-0.03393613147499226,-4.590652596405043e-05
8,other,Bronze,movies,0,0,acquired,8,1.6302582698197332,-0.03393613147499226,-4.223195045436656e-05
9,other,Bronze,movies,0,0,acquired,9,1.6302582698197332,-0.03393613147499226,-3.887088293415438e-05
10,other,Bronze,movies,0,0,acquired,10,1.6302582698197332,-0.03393613147499226,-3.5796575481319595e-05
11,other,Bronze,movies,0,0,acquired,11,1.6302582698197332,-0.03393613147499226,-3.298456225703341e-05
12,other,Bronze,movies,0,0,acquired,12,1.6302582698197332,-0.03393613147499226,-3.0412464802607017e-05
13,other,Bronze,movies,0,0,acquired,13,1.6302582698197332,-0.03393613147499226,-2.8059813948076952e-05
14,other,Bronze,movies,0,0,acquired,14,1.6302582698197332,-0.03393613147499226,-2.5907886915220656e-05
15,other,Bronze,movies,0,0,acquired,15,1.6302582698197332,-0.03393613147499226,-2.3939558318641586e-05
16,other,Bronze,movies,0,0,acquired,16,1.6302582698197332,-0.03393613147499226,-2.2139163879166347e-05
17,other,Bronze,movies,0,0,acquired,17,1.6302582698197332,-0.03393613147499226,-2.04923757649628e-05
18,other,Bronze,movies,0,0,acquired,18,1.6302582698197332,-0.03393613147499226,-1.898608856832353e-05
19,other,Bronze,movies,0,0,acquired,19,1.6302582698197332,-0.03393613147499226,-1.7608315010699385e-05
20,other,Bronze,movies,0,0,acquired,20,1.6302582698197332,-0.03393613147499226,-1.6348090545986697e-05
21,other,Bronze,movies,0,0,acquired,21,1.6302582698197332,-0.03393613147499226,-1.5195386102885731e-05
22,other,Bronze,movies,0,0,acquired,22,1.6302582698197332,-0.03393613147499226,-1.4141028271919769e-05
23,other,Bronze,movies,0,0,acquired,23,1.6302582698197332,-0.03393613147499226,-1.3176626301950198e-05
24,other,Bronze,movies,0,0,acquired,24,1.6302582698197332,-0.03393613147499226,-1.2294505325213971e-05
25,other,Bronze,movies,0,0,acquired,25,1.6302582698197332,-0.03393613147499226,-1.1487645279477404e-05
26,other,Bronze,movies,0,0,acquired,26,1.6302582698197332,-0.03393613147499226,-1.0749625041238944e-05
27,other,Bronze,movies,0,0,acquired,27,1.6302582698197332,-0.03393613147499226,-1.0074571325383767e-05
28,other,Bronze,movies,0,0,acquired,28,1.6302582698197332,-0.03393613147499226,-9.457111944625368e-06
29,other,Bronze,movies,0,0,acquired,29,1.6302582698197332,-0.03393613147499226,-8.892333056765224e-06
30,other,Bronze,movies,0,0,acquired,30,1.6302582698197332,-0.03393613147499226,-8.375740059537195e-06
31,other,Bronze,movies,0,0,acquired,31,1.6302582698197332,-0.03393613147499226,-7.903221821831538e-06
32,other,Bronze,movies,0,0,acquired,32,1.6302582698197332,-0.03393613147499226,-7.471017966644738e-06
33,other,Bronze,movies,0,0,acquired,33,1.6302582698197332,-0.03393613147499226,-7.075688945387579e-06
34,other,Bronze,movies,0,0,acquired,34,1.6302582698197332,-0.03393613147499226,-6.714088665397953e-06
35,other,Bronze,movies,0,0,acquired,35,1.6302582698197332,-0.03393613147499226,-6.383339452823647e-06
36,other,Bronze,movies,0,0,acquired,36,1.6302582698197332,-0.03393613147499226,-6.080809151625705e-06
37,other,Bronze,movies,0,0,acquired,37,1.6302582698197332,-0.03393613147499226,-5.804090176452461e-06
38,other,Bronze,movies,0,0,acquired,38,1.6302582698197332,-0.03393613147499226,-5.550980352683675e-06
39,other,Bronze,movies,0,0,acquired,39,1.6302582698197332,-0.03393613147499226,-5.319465391166637e-06
40,other,Bronze,movies,0,0,acquired,40,1.6302582698197332,-0.03393613147499226,-5.107702858175439e-06
41,other,Bronze,movies,0,0,acquired,41,1.6302582698197332,-0.03393613147499226,-4.914007513023636e-06
42,other,Bronze,movies,0,0,acquired,42,1.6302582698197332,-0.03393613147499226,-4.7368378966447305e-06
43,other,Bronze,movies,0,0,acquired,43,1.6302582698197332,-0.03393613147499226,-4.574784064410155e-06
44,other,Bronze,movies,0,0,acquired,44,1.6302582698197332,-0.03393613147499226,-4.426556365560551e-06
45,other,Bronze,movies,0,0,acquired,45,1.6302582698197332,-0.03393613147499226,-4.290975179955237e-06
46,other,Bronze,movies,0,0,acquired,46,1.6302582698197332,-0.03393613147499226,-4.1669615304632195e-06
47,other,Bronze,movies,0,0,acquired,47,1.6302582698197332,-0.03393613147499226,-4.053528496287673e-06
48,other,Bronze,movies,0,0,acquired,48,1.6302582698197332,-0.03393613147499226,-3.949773358889682e-06
49,other,Bronze,movies,0,0,acquired,49,1.6302582698197332,-0.03393613147499226,-3.854870418007253e-06
50,other,Bronze,movies,0,0,acquired,50,1.6302582698197332,-0.03393613147499226,-3.768064420598322e-06
51,other,Bronze,movies,0,0,acquired,51,1.6302582698197332,-0.03393613147499226,-3.6886645504141643e-06
52,other,Bronze,movies,0,0,acquired,52,1.6302582698197332,-0.03393613147499226,-3.616038930371321e-06
53,other,Bronze,movies,0,0,acquired,53,1.6302582698197332,-0.03393613147499226,-3.549609593970974e-06
54,other,Bronze,movies,0,0,acquired,54,1.6302582698197332,-0.03393613147499226,-3.48884788574752e-06
55,other,Bronze,movies,0,0,acquired,55,1.6302582698197332,-0.03393613147499226,-3.4332702541423855e-06
56,other,Bronze,movies,0,0,acquired,56,1.6302582698197332,-0.03393613147499226,-3.3824344033220538e-06
57,other,Bronze,movies,0,0,acquired,57,1.6302582698197332,-0.03393613147499226,-3.3359357733158715e-06
58,other,Bronze,movies,0,0,acquired,58,1.6302582698197332,-0.03393613147499226,-3.2934043204619905e-06
59,other,Bronze,movies,0,0,acquired,59,1.6302582698197332,-0.03393613147499226,-3.2545015725397113e-06
60,other,Bronze,movies,0,0,acquired,60,1.6302582698197332,-0.03393613147499226,-3.2189179351524843e-06
61,other,Bronze,movies,0,0,acquired,61,1.6302582698197332,-0.03393613147499226,-3.1863702279253426e-06
62,other,Bronze,movies,0,0,acquired,62,1.6302582698197332,-0.03393613147499226,-3.1565994309094083e-06
63,other,Bronze,movies,0,0,acquired,63,1.6302582698197332,-0.03393613147499226,-3.1293686232590043e-06
64,other,Bronze,movies,0,0,acquired,64,1.6302582698197332,-0.03393613147499226,-3.1044610977770218e-06
65,other,Bronze,movies,0,0,acquired,65,1.6302582698197332,-0.03393613147499226,-3.081678636323794e-06
66,other,Bronze,movies,0,0,acquired,66,1.6302582698197332,-0.03393613147499226,-3.060839932364893e-06
67,other,Bronze,movies,0,0,acquired,67,1.6302582698197332,-0.03393613147499226,-3.041779148104236e-06
68,other,Bronze,movies,0,0,acquired,68,1.6302582698197332,-0.03393613147499226,-3.0243445947199244e-06
69,other,Bronze,movies,0,0,acquired,69,1.6302582698197332,-0.03393613147499226,-3.0083975251999253e-06
70,other,Bronze,movies,0,0,acquired,70,1.6302582698197332,-0.03393613147499226,-2.9938110301707767e-06
71,other,Bronze,movies,0,0,acquired,71,1.6302582698197332,-0.03393613147499226,-2.980469027932149e-06
72,other,Bronze,movies,0,0,acquired,72,1.6302582698197332,-0.03393613147499226,-2.968265340659791e-06
73,other,Bronze,movies,0,0,acquired,73,1.6302582698197332,-0.03393613147499226,-2.9571028494251293e-06
74,other,Bronze,movies,0,0,acquired,74,1.6302582698197332,-0.03393613147499226,-2.9468927213070366e-06
75,other,Bronze,movies,0,0,acquired,75,1.6302582698197332,-0.03393613147499226,-2.9375537024449977e-06
76,other,Bronze,movies,0,0,acquired,76,1.6302582698197332,-0.03393613147499226,-2.929011471407664e-06
77,other,Bronze,movies,0,0,acquired,77,1.6302582698197332,-0.03393613147499226,-2.9211980477308153e-06
78,other,Bronze,movies,0,0,acquired,78,1.6302582698197332,-0.03393613147499226,-2.9140512509177676e-06
79,other,Bronze,movies,0,0,acquired,79,1.6302582698197332,-0.03393613147499226,-2.9075142055968625e-06
80,other,Bronze,movies,0,0,acquired,80,1.6302582698197332,-0.03393613147499226,-2.9015348888980095e-06
81,other,Bronze,movies,0,0,acquired,81,1.6302582698197332,-0.03393613147499226,-2.896065716446222e-06
82,other,Bronze,movies,0,0,acquired,82,1.6302582698197332,-0.03393613147499226,-2.8910631636774197e-06
83,other,Bronze,movies,0,0,acquired,83,1.6302582698197332,-0.03393613147499226,-2.8864874194628675e-06
84,other,Bronze,movies,0,0,acquired,84,1.6302582698197332,-0.03393613147499226,-2.8823020692857386e-06
85,other,Bronze,movies,0,0,acquired,85,1.6302582698197332,-0.03393613147499226,-2.878473805448463e-06
86,other,Bronze,movies,0,0,acquired,86,1.6302582698197332,-0.03393613147499226,-2.8749721620046528e-06
87,other,Bronze,movies,0,0,acquired,87,1.6302582698197332,-0.03393613147499226,-2.871769272306145e-06
88,other,Bronze,movies,0,0,acquired,88,1.6302582698197332,-0.03393613147499226,-2.8688396472356826e-06
