title_name,title_number,offering_start_date,genre,medal,pred_type,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,2026-03-01,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-01,2026-09-01,2026-10-01,2026-11-01,2026-12-01,2027-01-01,2027-02-01,2027-03-01,2027-04-01,2027-05-01,2027-06-01,2027-07-01,2027-08-01,2027-09-01,2027-10-01,2027-11-01,2027-12-01,2028-01-01,2028-02-01,2028-03-01,2028-04-01,2028-05-01,2028-06-01,2028-07-01,2028-08-01,2028-09-01,2028-10-01,2028-11-01,2028-12-01,2029-01-01,2029-02-01,2029-03-01,2029-04-01,2029-05-01,2029-06-01,2029-07-01,2029-08-01,2029-09-01,2029-10-01,2029-11-01,2029-12-01,2030-01-01,2030-02-01,2030-03-01,2030-04-01
100 FOOT WAVE S2,77.0,2023-04-01,other,Bronze,future,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 FOOT WAVE S3,242.0,2024-07-01,comedy,Platinum,future,,,,,,,,,,,,,,,,,,,-0.003334658893303404,-0.0013914073901992645,-0.0006940045433987644,-0.0004787964010314457,-0.0003445301572351024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 YEARS OF WARNER BROS.,328.0,2023-05-01,other,Bronze,future,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000% ME: GROWING UP MIXED,155.0,2023-05-01,other,Bronze,future,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023 TBD SPECIALS,105.0,2023-11-01,other,Bronze,future,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD HALF HOUR A S1,168.0,2025-10-01,action,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD HALF HOUR A S2,259.0,2026-10-01,action,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0052899692647847005,-0.0021588113741262084,-0.001149402565027382,-0.0007595434275548341,-0.0005465488377912202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD HALF HOUR B S1,169.0,2025-09-01,action,Bronze,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD HALF HOUR B S2,260.0,2026-09-01,action,Silver,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005345302624665904,-0.00023347100655452522,-0.00011553356019083904,-7.905729264604182e-05,-5.85812080975536e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 TBD LIMITED SERIES A S1,166.0,2025-11-01,drama,Gold,future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0037508651481075973,-0.0016382950097866599,-0.0008315877200718191,-0.0005022945041379454,-0.00044265752763056543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
