title_name,name_number,offering_start_date,genre,medal,category,M1,M2,M3,M4,M5
 MARISKA HARGITAY / JAYNE MANSFIELD PROJECT,347,2025-11-01,other,Gold,movies,-0.0034418228511929553,-0.0005204720417867057,-0.0003192453731315185,-0.00030538460295366553,-0.0003044298540070811
100 FOOT WAVE S2,0,2023-04-01,other,Silver,series,-0.0026292829999106345,-0.0011232979260730196,-0.0005785820938826719,-0.0003815580044720641,-0.0003102942564514002
100 FOOT WAVE S3,622,2025-04-01,other,Bronze,series,0.0,0.0,0.0,0.0,0.0
1000% ME: GROWING UP MIXED,547,2023-05-01,other,Bronze,movies,0.0,0.0,0.0,0.0,0.0
2023 TBD SERIES,73,2023-07-01,other,Silver,movies,-0.006508184993564143,-0.0009841669598863465,-0.0006036649869876914,-0.0005774554868562488,-0.0005756501403769468
2023 TBD SPECIALS,535,2023-06-01,other,Bronze,movies,0.0,0.0,0.0,0.0,0.0
2024 TBD FILM,396,2026-05-01,drama,Silver,movies,-0.0015656339861678113,-0.0002367549849897073,-0.00014521996851996283,-0.00013891491047277534,-0.00013848060938766502
2024 TBD SPECIALS,52,2024-05-01,other,Silver,movies,-0.01843985748176507,-0.002788473053011315,-0.0017103841297984583,-0.001636123879426039,-0.0016310087310680162
2025 TBD DOCUSERIES A,316,2026-01-01,comedy,Platinum,series,-0.003673711189088084,-0.0015695047508519052,-0.0008084118416218518,-0.0005331240153162613,-0.0004335522200820607
2025 TBD DOCUSERIES B,315,2026-06-01,comedy,Platinum,series,-0.0024491407927253895,-0.0010463365005679369,-0.0005389412277479013,-0.0003554160102108409,-0.0002890348133880405
2025 TBD DOCUSERIES C,314,2026-04-01,comedy,Platinum,series,-0.004898281585450779,-0.0020926730011358737,-0.0010778824554958026,-0.0007108320204216818,-0.000578069626776081
2025 TBD DOCUSERIES D,317,2026-07-01,comedy,Platinum,series,-0.0024491407927253895,-0.0010463365005679369,-0.0005389412277479013,-0.0003554160102108409,-0.0002890348133880405
2025 TBD DOCUSERIES E,320,2026-02-01,comedy,Platinum,series,-0.009796563170901558,-0.004185346002271747,-0.002155764910991605,-0.0014216640408433636,-0.001156139253552162
2025 TBD DOCUSERIES F,319,2026-09-01,comedy,Platinum,series,-0.0032655210569671866,-0.0013951153340905824,-0.0007185883036638682,-0.00047388801361445456,-0.0003853797511840539
2025 TBD FILM,397,2026-05-01,drama,Silver,movies,-0.0015656339861678113,-0.0002367549849897073,-0.00014521996851996283,-0.00013891491047277534,-0.00013848060938766502
2025 TBD HALF HOUR A S1,417,2025-04-01,comedy,Platinum,series,-0.0038552516455131504,-0.0016470635447160722,-0.0008483603969528685,-0.0005594689216222201,-0.0004549766772227255
2025 TBD HALF HOUR A S2,419,2026-04-01,comedy,Platinum,series,-0.0038552516455131504,-0.0016470635447160722,-0.0008483603969528685,-0.0005594689216222201,-0.0004549766772227255
2025 TBD HALF HOUR B S1,418,2025-03-01,comedy,Platinum,series,-0.0028914387341348632,-0.0012352976585370543,-0.0006362702977146513,-0.0004196016912166652,-0.0003412325079170441
2025 TBD HALF HOUR B S2,420,2026-03-01,comedy,Platinum,series,-0.0028914387341348632,-0.0012352976585370543,-0.0006362702977146513,-0.0004196016912166652,-0.0003412325079170441
2025 TBD HOUR S1,158,2025-06-01,drama,Platinum,series,-0.02080472101341698,-0.008888316688501529,-0.0045781450863207765,-0.0030191530671088685,-0.0024552645864885825
2025 TBD SPECIALS,334,2025-05-01,other,Gold,movies,-0.05736371418654923,-0.008674534029778429,-0.0053207562188586415,-0.005089743382561095,-0.005073830900118019
2026 TBD DOCUMENTARIES,351,2026-05-01,other,Gold,movies,-0.0848982969960929,-0.012838310364072077,-0.007874719203910792,-0.00753282020619042,-0.007509269732174665
2026 TBD FILM,398,2026-05-01,drama,Silver,movies,-0.0015656339861678113,-0.0002367549849897073,-0.00014521996851996283,-0.00013891491047277534,-0.00013848060938766502
2026 TBD HOUR A S1,161,2026-03-01,drama,Platinum,series,-0.016643776810733587,-0.007110653350801224,-0.003662516069056621,-0.002415322453687095,-0.0019642116691908655
2026 TBD HOUR B S1,141,2026-08-01,drama,Gold,series,-0.00498240533473409,-0.0021286128497967605,-0.0010963941543153106,-0.0007230399455124153,-0.000587997472593612
2026 TBD LIMITED SERIES A,160,2026-01-01,drama,Platinum,series,-0.016643776810733587,-0.007110653350801224,-0.003662516069056621,-0.002415322453687095,-0.0019642116691908655
2026 TBD LIMITED SERIES B,140,2026-04-01,drama,Gold,series,-0.0037368040010505666,-0.0015964596373475698,-0.000822295615736483,-0.0005422799591343116,-0.0004409981044452092
2026 TBD SPECIALS,348,2026-05-01,other,Gold,movies,-0.05736371418654923,-0.008674534029778429,-0.0053207562188586415,-0.005089743382561095,-0.005073830900118019
A BLACK LADY SKETCH SHOW S4,695,2023-04-01,action,Bronze,series,0.0,0.0,0.0,0.0,0.0
A BLACK LADY SKETCH SHOW S5 / TBD,698,2024-03-01,action,Bronze,series,0.0,0.0,0.0,0.0,0.0
A DARK ROOM IN GLITTER BALL CITY,59,2025-04-01,other,Silver,movies,-0.0016270462483910357,-0.0002460417399715866,-0.00015091624674692285,-0.0001443638717140622,-0.0001439125350942367
A&E Year 3 + 4 - Unscripted Catalog,21,2023-01-01,other,Silver,series,-0.0033258176908752914,-0.0014208756207620674,-0.0007318567698966076,-0.00048263817984271583,-0.00039249564520750984
