,date_month,tenure,is_cancel,subscriber_count
0,2022-07-01,Month 1-3,True,247862
1,2023-01-01,Month 4-6,False,949008
2,2022-05-01,Month 7-12,False,2114904
3,2022-06-01,Month 1-3,False,1188674
4,2023-05-01,Month 4-6,False,639293
5,2022-02-01,Month 13+,True,96871
6,2022-08-01,Month 7-12,False,1865109
7,2022-01-01,Month 13+,True,75042
8,2022-09-01,Month 4-6,True,83261
9,2024-04-01,Month 13+,False,2
10,2024-02-01,Month 7-12,False,5
11,2024-01-01,Month 13+,False,6
12,2022-04-01,Month 1-3,False,1472855
13,2022-04-01,Month 4-6,False,1457546
14,2022-10-01,Month 7-12,False,1777602
15,2022-08-01,Month 4-6,False,923959
16,2022-07-01,Month 13+,True,180068
17,2023-01-01,Month 7-12,True,89670
18,2022-10-01,Month 4-6,True,72914
19,2022-03-01,Month 13+,True,96344
20,2024-04-01,Month 7-12,False,12
21,2024-02-01,Month 13+,False,9
22,2023-01-01,Month 7-12,False,1262329
23,2023-04-01,Month 7-12,False,1229170
24,2022-09-01,Month 4-6,False,811999
25,2022-11-01,Month 13+,False,5297465
26,2022-01-01,Month 1-3,False,2047903
27,2022-04-01,Month 7-12,True,157992
28,2022-08-01,Month 4-6,True,105646
29,2022-04-01,Month 13+,True,121081
30,2022-03-01,Month 4-6,False,1082179
31,2022-12-01,Month 13+,True,171558
32,2023-06-01,Month 1-3,True,83
33,2024-03-01,Month 7-12,False,6
34,2023-03-01,Month 1-3,True,250917
35,2022-01-01,Month 7-12,False,3694369
36,2022-01-01,Month 1-3,True,498166
37,2023-01-01,Month 4-6,True,112818
38,2022-12-01,Month 4-6,True,102834
39,2022-07-01,Month 4-6,True,111938
40,2023-11-01,Month 13+,False,10
41,2022-11-01,Month 7-12,True,105278
42,2022-07-01,Month 13+,False,5050945
43,2023-05-01,Month 1-3,True,435243
44,2022-05-01,Month 4-6,False,1383733
45,2022-04-01,Month 13+,False,3856077
46,2023-05-01,Month 4-6,True,311928
47,2023-05-01,Month 7-12,False,894828
48,2023-03-01,Month 13+,True,166408
49,2022-02-01,Month 1-3,True,376552
50,2023-04-01,Month 1-3,False,1132935
51,2023-02-01,Month 13+,False,5480458
52,2022-02-01,Month 4-6,False,1144266
53,2022-02-01,Month 1-3,False,1899331
54,2023-02-01,Month 13+,True,196629
55,2023-03-01,Month 7-12,True,75875
56,2022-08-01,Month 7-12,True,131734
57,2023-12-01,Month 7-12,False,11
58,2022-05-01,Month 13+,False,4543981
59,2022-06-01,Month 4-6,False,1363586
60,2023-01-01,Month 13+,False,5556491
61,2022-01-01,Month 13+,False,2658339
62,2022-03-01,Month 7-12,False,3211204
63,2022-12-01,Month 4-6,False,896543
64,2022-06-01,Month 13+,False,4794612
65,2022-01-01,Month 4-6,False,1109309
66,2022-12-01,Month 7-12,False,1541162
67,2022-01-01,Month 7-12,True,229969
68,2022-08-01,Month 1-3,False,1013353
69,2022-04-01,Month 1-3,True,340013
70,2022-06-01,Month 7-12,True,117081
71,2022-06-01,Month 4-6,True,139589
72,2022-03-01,Month 13+,False,3336900
73,2022-05-01,Month 1-3,True,315251
74,2022-02-01,Month 7-12,False,3321810
75,2023-02-01,Month 1-3,True,260354
76,2022-07-01,Month 7-12,True,132470
77,2022-01-01,Month 4-6,True,119578
78,2023-05-01,Month 7-12,True,372449
79,2022-06-01,Month 13+,True,164398
80,2023-10-01,Month 7-12,False,1
81,2023-06-01,Month 1-3,False,15
82,2022-10-01,Month 13+,False,5204727
83,2022-07-01,Month 1-3,False,1096655
84,2023-02-01,Month 4-6,False,899969
85,2022-02-01,Month 7-12,True,204330
86,2023-03-01,Month 7-12,False,1220517
