SEGMENT_NAME,START_DATE,END_DATE,DAYS_ON_HBO_MAX,COHORT_SUBS
Thrilling Action Movies,2022-08-22,2022-08-22,0,1494021
Buzzy HBO Originals,2022-08-22,2022-08-22,0,1761415
Thrilling Action Movies,2022-08-22,2022-08-23,1,1504270
Buzzy HBO Originals,2022-08-22,2022-08-23,1,1771798
Thrilling Action Movies,2022-08-22,2022-08-24,2,1508838
Buzzy HBO Originals,2022-08-22,2022-08-24,2,1776329
Thrilling Action Movies,2022-08-22,2022-08-25,3,1511965
Buzzy HBO Originals,2022-08-22,2022-08-25,3,1779415
Thrilling Action Movies,2022-08-22,2022-08-26,4,1514702
Buzzy HBO Originals,2022-08-22,2022-08-26,4,1781972
Buzzy HBO Originals,2022-08-22,2022-08-27,5,1784605
Thrilling Action Movies,2022-08-22,2022-08-27,5,1517604
Buzzy HBO Originals,2022-08-22,2022-08-28,6,1787427
Thrilling Action Movies,2022-08-22,2022-08-28,6,1520716
Buzzy HBO Originals,2022-08-22,2022-08-29,7,1790646
Thrilling Action Movies,2022-08-22,2022-08-29,7,1524202
Buzzy HBO Originals,2022-08-22,2022-08-30,8,1794151
Thrilling Action Movies,2022-08-22,2022-08-30,8,1527579
Buzzy HBO Originals,2022-08-22,2022-08-31,9,1796394
Thrilling Action Movies,2022-08-22,2022-08-31,9,1529975
Buzzy HBO Originals,2022-08-22,2022-09-01,10,1798228
Thrilling Action Movies,2022-08-22,2022-09-01,10,1531892
Thrilling Action Movies,2022-08-22,2022-09-02,11,1534082
Buzzy HBO Originals,2022-08-22,2022-09-02,11,1800154
Buzzy HBO Originals,2022-08-22,2022-09-03,12,1802214
Thrilling Action Movies,2022-08-22,2022-09-03,12,1536480
Buzzy HBO Originals,2022-08-22,2022-09-04,13,1804654
Thrilling Action Movies,2022-08-22,2022-09-04,13,1539360
Buzzy HBO Originals,2022-08-22,2022-09-05,14,1807429
Thrilling Action Movies,2022-08-22,2022-09-05,14,1542911
Thrilling Action Movies,2022-08-22,2022-09-06,15,1546665
Buzzy HBO Originals,2022-08-22,2022-09-06,15,1810735
Thrilling Action Movies,2022-08-22,2022-09-07,16,1549323
Buzzy HBO Originals,2022-08-22,2022-09-07,16,1813182
Buzzy HBO Originals,2022-08-22,2022-09-08,17,1815075
Thrilling Action Movies,2022-08-22,2022-09-08,17,1551439
Buzzy HBO Originals,2022-08-22,2022-09-09,18,1816658
Thrilling Action Movies,2022-08-22,2022-09-09,18,1553373
Buzzy HBO Originals,2022-08-22,2022-09-10,19,1818229
Thrilling Action Movies,2022-08-22,2022-09-10,19,1555155
Buzzy HBO Originals,2022-08-22,2022-09-11,20,1820246
Thrilling Action Movies,2022-08-22,2022-09-11,20,1557451
Thrilling Action Movies,2022-08-22,2022-09-12,21,1559813
Buzzy HBO Originals,2022-08-22,2022-09-12,21,1822305
Buzzy HBO Originals,2022-08-22,2022-09-13,22,1824550
Thrilling Action Movies,2022-08-22,2022-09-13,22,1562133
Buzzy HBO Originals,2022-08-22,2022-09-14,23,1826584
Thrilling Action Movies,2022-08-22,2022-09-14,23,1564148
Thrilling Action Movies,2022-08-22,2022-09-15,24,1565841
Buzzy HBO Originals,2022-08-22,2022-09-15,24,1828256
Buzzy HBO Originals,2022-08-22,2022-09-16,25,1829917
Thrilling Action Movies,2022-08-22,2022-09-16,25,1567499
Buzzy HBO Originals,2022-08-22,2022-09-17,26,1831383
Thrilling Action Movies,2022-08-22,2022-09-17,26,1569156
Buzzy HBO Originals,2022-08-22,2022-09-18,27,1833187
Thrilling Action Movies,2022-08-22,2022-09-18,27,1571150
Thrilling Action Movies,2022-08-22,2022-09-19,28,1573278
Buzzy HBO Originals,2022-08-22,2022-09-19,28,1835159
Thrilling Action Movies,2022-08-22,2022-09-20,29,1575665
Buzzy HBO Originals,2022-08-22,2022-09-20,29,1837532
Thrilling Action Movies,2022-08-22,2022-09-21,30,1577312
