,title_name,title_id,season_number,match_id,offering_start_date,ahvr,ahvr_90
5892,Injustice,GYbvoqgoeYawYwwEAAAAN,0,GYbvoqgoeYawYwwEAAAAN,2022-01-17,0.2369769856648549,0.5935064272649312
5249,Red 2,GYOjdCwdKNsI-wgEAAAZc,0,GYOjdCwdKNsI-wgEAAAZc,2022-02-01,0.027843240168696996,0.05203660043965282
3698,Misery,GXrHsBAPxLomBSgEAAAB4,0,GXrHsBAPxLomBSgEAAAB4,2020-06-01,0.01807993729751201,0.027319649048580138
3296,Ella Enchanted,GXoTAXgmV2ZCtwwEAAACI,0,GXoTAXgmV2ZCtwwEAAACI,2020-05-27,0.017993293437771212,0.02602121372813688
3198,The Hangover Part II,GXnjwZgr15aFYqQEAAAbj,0,GXnjwZgr15aFYqQEAAAbj,2020-05-27,0.029151317199238694,0.0450310954828466
3071,Contraband,GXmpY7QTsJ54_wwEAADJ4,0,GXmpY7QTsJ54_wwEAADJ4,2020-12-01,0.016039324869623135,0.02323140465930811
3064,Downton Abbey,GXmpVJwT4k54_wwEAADHP,0,GXmpVJwT4k54_wwEAADHP,2020-05-27,0.024427275426517518,0.034536800537074995
2936,Teen Titans,GXm_gJg34lp4_wwEAAEZI,2,GXm_gJg34lp4_wwEAAEZI S2,2020-05-27,0.01580443646622929,0.022726613335868513
2935,Teen Titans,GXm_gJg34lp4_wwEAAEZI,1,GXm_gJg34lp4_wwEAAEZI S1,2020-05-27,0.024712137272525365,0.036530569628235615
2825,Bad Education,GXk_X3QJkTJ4_wwEAAArt,0,GXk_X3QJkTJ4_wwEAAArt,2020-05-27,0.01754331641414122,0.046451613439212815
2823,Good Boys,GXkXFgwXWRMPDwwEAABTh,0,GXkXFgwXWRMPDwwEAABTh,2020-05-27,0.06129751078801548,0.09539930951666525
2807,Tower Heist,GXkV57AiLOo-njwEAABtc,0,GXkV57AiLOo-njwEAABtc,2020-11-01,0.016092009726689557,0.025138683902364192
2623,Hall Pass,GXioWkgAxpbetvAEAAAEG,0,GXioWkgAxpbetvAEAAAEG,2020-05-27,0.021288353394534762,0.03196551307481726
2588,X-Men: Dark Phoenix,GXhzsPQW3_h_DTgEAAADV,0,GXhzsPQW3_h_DTgEAAADV,2020-05-27,0.06217292977229882,0.09822104010451627
2558,Cowboys & Aliens,GXfuVnwyAm0ytlAEAABQJ,0,GXfuVnwyAm0ytlAEAABQJ,2020-05-27,0.03131406347582568,0.044277313506351376
2524,Annabelle Comes Home,GXerC0w8A4rPDfgEAABA_,0,GXerC0w8A4rPDfgEAABA_,2020-05-27,0.03251685738896256,0.04708271735068386
2512,Watchmen,GXeleNwKW27PDfgEAAA8Q,0,GXeleNwKW27PDfgEAAA8Q,2020-05-27,0.025238634955341555,0.04832362530883607
2505,National Lampoon's Vacation,GXehLSwSYf7PDfgEAAAuQ,0,GXehLSwSYf7PDfgEAAAuQ,2020-05-27,0.017396820309427564,0.027464556622616428
2482,Justice League: Gods and Monsters,GXeRM3QMWQsPCwwEAADxa,0,GXeRM3QMWQsPCwwEAADxa,2020-05-27,0.016779471142268288,0.024841316096583885
2480,Justice League: The Flashpoint Paradox,GXeOMyQhfX5uAuwEAADwH,0,GXeOMyQhfX5uAuwEAADwH,2020-05-27,0.02730628003737936,0.044226171170399654
2477,Batman: Assault on Arkham,GXeOM3Q3vLpuAuwEAADwn,0,GXeOM3Q3vLpuAuwEAADwn,2020-05-27,0.028674584024042406,0.042983834902629615
2474,Justice League vs. Teen Titans,GXdzQYQCaQ6XCPQEAADiW,0,GXdzQYQCaQ6XCPQEAADiW,2020-05-27,0.024672345222919598,0.03608744091816907
2473,Full Metal Jacket,GXdu2cQzfysPCwwEAADXM,0,GXdu2cQzfysPCwwEAADXM,2020-05-27,0.017630838040508474,0.02677446470866084
2447,Justice League: War,GXdu2UAPdk6XCPQEAADfC,0,GXdu2UAPdk6XCPQEAADfC,2020-05-27,0.020887974006912256,0.035101768369328754
2439,Batman: Under the Red Hood,GXdu2TwYW3puAuwEAADaL,0,GXdu2TwYW3puAuwEAADaL,2020-05-27,0.02340213789029413,0.03697737290940248
2434,Justice League: Throne of Atlantis,GXdu2RQGWOMPCwwEAADWU,0,GXdu2RQGWOMPCwwEAADWU,2020-05-27,0.02059616992148465,0.030345579009436314
2433,Justice League: Crisis on Two Earths,GXdu2RQA0bMPCwwEAADWT,0,GXdu2RQA0bMPCwwEAADWT,2020-05-27,0.016053861701352177,0.023786234348108906
2431,Justice League: Doom,GXdu2RA5_AaXCPQEAADeb,0,GXdu2RA5_AaXCPQEAADeb,2020-05-27,0.02267012716100533,0.033891813232045535
2395,The Outsider,GXdcPuwAQoMPCwwEAACou,1,GXdcPuwAQoMPCwwEAACou S1,2020-05-27,0.02514562730264907,0.03595471754812348
2384,Friends,GXdbR_gOXWJuAuwEAACVH,10,GXdbR_gOXWJuAuwEAACVH S10,2020-05-27,0.09263203680880916,0.13463704828906056
2383,Friends,GXdbR_gOXWJuAuwEAACVH,9,GXdbR_gOXWJuAuwEAACVH S9,2020-05-27,0.13667219209968304,0.19351134933526012
2344,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,3,GXdMTbQrnTaXCPQEAAA9W S3,2020-05-27,0.02087987974630472,0.029808752038441733
2345,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,4,GXdMTbQrnTaXCPQEAAA9W S4,2020-05-27,0.01828115826785189,0.026546898196755108
2346,Pretty Little Liars,GXdMTbQrnTaXCPQEAAA9W,5,GXdMTbQrnTaXCPQEAAA9W S5,2020-05-27,0.015133637388284087,0.02269690580231792
2239,Godzilla: King of the Monsters,GXcWsXwq07ZuAuwEAAACT,0,GXcWsXwq07ZuAuwEAAACT,2020-05-27,0.05786107529214528,0.08771365712850608
1918,Paul,GXWVCQQsCY4WtLQEAAAjq,0,GXWVCQQsCY4WtLQEAAAjq,2020-05-27,0.026404538035176974,0.04635377516273286
