,title_id,title,home_territory_observed_medal,pillar_genres,imdb_id,theatrical_release_date,offering_start_date,days_from_theatrical2,pct_actives,days_from_max_launch,cumulative_viewing_subs,cumulative_first_views,area_gross,budget,genre_Action/Adventure ,genre_Comedy,genre_Drama,genre_Horror ,genre_Kids/Family,genre_Romance,genre_Sci-Fi,genre_Suspense/Thriller,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,platform
0,GYPXEhQg3DFbCwwEAAADm,News of the World,Silver,Action/Adventure ,tt6878306,2020-12-25,2021-09-05,250,0.093463,-219,2557041,25362,2250430.0,38000000.0,1,0,0,0,0,0,0,0,0,0,0,1,2,14.630380897751948,1.0
1,GXpTQtgV6ax-auwEAABc3,The Good Liar,Bronze,Drama,tt5563334,2019-11-15,2020-06-14,187,0.022345,187,186115,10519,5605051.0,10000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,13.3607099393494,1.0
2,GYXB0OgEQO5OhegEAAAAl,King Richard,Platinum,Drama,tt9620288,2021-11-19,2021-11-19,0,0.244123,-548,7612114,236213,5406033.0,50000000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,17.849728840185556,1.0
3,GYK0lqgy8KZiWvwEAAAAH,Shiva Baby,Bronze,Comedy,tt11317142,2020-03-15,2021-07-08,66,0.011300,66,307494,1415,7160.0,,0,1,0,0,0,0,0,0,1,0,0,0,3,10.466586337719244,1.0
4,GYbzvWABDj8LDwgEAAAAp,The Last Duel,Gold,Drama,tt4244994,2021-10-15,2022-01-14,91,0.162250,-513,5012315,33314,4759151.0,100000000.0,0,0,1,0,0,0,0,0,0,1,0,0,1,15.023840967836763,1.0
5,GYm0w5wSRXaTDYQEAAAD4,Last Night in Soho,Silver,Suspense/Thriller,tt9639470,2021-10-29,2022-07-01,245,0.067369,-527,2005376,8975,4178460.0,43000000.0,0,0,0,0,0,0,0,1,0,0,0,1,2,13.131696223597777,1.0
6,GYd9P0QTRLMLDJwEAAAAP,Antlers,Silver,Horror ,tt7740510,2021-10-11,2022-02-11,123,0.085354,-509,2614867,14444,4271346.0,,0,0,0,1,0,0,0,0,0,0,0,1,2,13.81818270494864,1.0
7,GX1ozeARCl6vDcwEAAAF9,The Call of the Wild,Bronze,Drama,tt7504726,2019-12-25,2020-11-29,147,0.047031,147,920407,26197,24791624.0,135000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,14.677113987765125,1.0
8,GYfinBwyKBImYsgEAAACn,Halloween Kills,Silver,Horror ,tt10665338,2021-10-15,2022-03-18,137,0.095564,-513,2838005,28030,49404980.0,20000000.0,0,0,0,1,0,0,0,0,0,0,0,1,2,14.774684123919856,1.0
9,GYH8W5wtYpsPDwgEAAAAC,Those Who Wish Me Dead,Platinum,Suspense/Thriller,tt3215824,2021-05-14,2021-05-14,0,0.298161,-359,8116907,165879,2831382.0,,0,0,0,0,0,0,0,1,0,0,1,0,0,17.33977172954598,1.0
10,GXrRz6AGgMr7DwgEAAANL,Harriet,Bronze,Drama,tt4648786,2019-11-01,2020-07-19,201,0.031255,201,291034,17307,11676720.0,17000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,14.07906804878221,1.0
11,GYOSUnARCGWWmcAEAAAAC,Space Jam: A New Legacy,Platinum,Kids/Family,tt3554046,2021-07-16,2021-07-16,0,0.431390,-422,11766268,713921,31053362.0,150000000.0,0,0,0,0,1,0,0,0,0,0,1,0,0,19.4454049139378,1.0
12,GYS_3hgKL_avCwwEAAAAe,The Many Saints of Newark,Bronze,Drama,tt8110232,2021-10-01,2021-10-01,0,0.228933,-499,6552087,243560,4651571.0,50000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,17.89391769249194,1.0
13,GYEb9QwLgFF9_ZwEAAAA7,Tom & Jerry,Silver,Kids/Family,tt1361336,2021-02-26,2021-02-26,0,0.343555,-282,8506465,648457,14112629.0,79000000.0,0,0,0,0,1,0,0,0,0,0,0,1,2,19.3066513851612,1.0
14,GYVuAhgCT2S-ghgEAAABd,Boogie,Bronze,Drama,tt10896398,2021-03-05,2021-11-14,241,0.017770,-289,550860,5566,1200165.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,12.442425193331607,1.0
15,GX1oymw295cLCTQEAAAFt,Underwater,Silver,Action/Adventure ,tt5774060,2020-01-10,2020-11-22,131,0.070896,131,1371037,34513,7008297.0,80000000.0,1,0,0,0,0,0,0,0,0,0,0,1,2,15.07485226326233,1.0
16,GX68GDw1CD8LDJwEAAAAG,The King of Staten Island,Silver,Comedy,tt9686708,2020-06-12,2021-01-10,203,0.095773,-23,2189905,33515,,35000000.0,0,1,0,0,0,0,0,0,0,0,0,1,2,15.032519313394118,1.0
17,GYSbJuAuzchDCwgEAAAAC,Cry Macho,Gold,Drama,tt1924245,2021-09-17,2021-09-17,0,0.174829,-485,4826766,140629,4426161.0,,0,0,1,0,0,0,0,0,0,1,0,0,1,17.101534606841806,1.0
18,GYipQZAsSX62ztwEAAAK2,Death on the Nile,Gold,Drama,tt7657566,2022-02-11,2022-03-29,46,0.176037,-632,5208466,30295,12891123.0,90000000.0,0,0,1,0,0,0,0,0,0,1,0,0,1,14.886792085114305,2.0
19,GYK0x7gXCza4OwwEAAADl,In The Heights,Platinum,Drama,tt1321510,2021-06-10,2021-06-10,0,0.209399,-386,5657876,203752,11504710.0,55000000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,17.636454695134738,1.0
20,GXpTMDQMxBAwlRQEAABbd,Doctor Sleep,Silver,Horror ,tt5606664,2019-11-08,2020-06-28,194,0.050534,194,436571,21899,14114124.0,45000000.0,0,0,0,1,0,0,0,0,0,0,0,1,2,14.418577371385938,1.0
21,GYpn_UA8YyZ3DZgEAAAAW,Belfast,Bronze,Drama,tt12789558,2021-11-12,2022-08-05,262,0.026225,-541,779404,4908,1779410.0,11000000.0,0,0,1,0,0,0,0,0,1,0,0,0,3,12.260919533662905,1.0
22,GYw48owR8pBbDwwEAAAh0,DC League of Super-Pets,Gold,Kids/Family,tt8912936,2022-07-29,2022-09-26,45,0.178854,-800,5437033,66759,23003441.0,90000000.0,0,0,0,0,1,0,0,0,0,1,0,0,1,16.026674723916738,1.0
23,GYeGXugg4ewPCwgEAABi1,The King's Man,Platinum,Action/Adventure ,tt6856242,2021-12-22,2022-02-18,58,0.239890,-581,7331327,47937,5915542.0,100000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.548852004419885,1.0
24,GYEq4eApHYpA4cwEAAAAC,Tenet,Gold,Action/Adventure ,tt6723592,2020-09-03,2021-05-02,240,0.185843,-106,4988700,43682,9353090.0,205000000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,15.414751291760199,1.0
25,GXpTQQAAyyAwlRQEAABgA,Ford v Ferrari,Gold,Drama,tt1950186,2019-11-15,2020-06-21,187,0.096537,187,819298,65532,31474958.0,97600000.0,0,0,1,0,0,0,0,0,0,1,0,0,1,15.99991194219542,1.0
26,GXmqmHAGU4Q4eoAEAAAb5,Lucy in the Sky,Bronze,Drama,tt4682804,2019-10-11,2020-05-31,222,0.010196,222,79657,5450,54058.0,,0,0,1,0,0,0,0,0,1,0,0,0,3,12.41204051455165,1.0
27,GYzcHIw5407mRsAEAAAA4,Black Adam,Platinum,Action/Adventure ,tt6443346,2022-10-21,2022-12-16,45,0.366438,-884,11461607,242423,67004323.0,195000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,17.88716705613469,1.0
28,GYKfLzwH7c4uLZQEAAAAF,The Empty Man,Silver,Suspense/Thriller,tt5867314,2020-10-23,2021-07-18,251,0.067812,-156,1842786,12891,1310326.0,,0,0,0,0,0,0,0,1,0,0,0,1,2,13.654076562495094,1.0
29,GX6W5wgVYhIGWrQEAAAA-,The High Note,Silver,Comedy,tt9308382,2020-05-29,2021-01-03,217,0.041727,-9,922820,13542,,,0,1,0,0,0,0,0,0,0,0,0,1,2,13.725153203912992,1.0
30,GY3vttQpXywnCZwEAAAFm,The Banshees of Inisherin,Silver,Comedy,tt11813216,2022-08-21,2022-12-13,107,0.127677,-823,3993788,22130,184454.0,,0,1,0,0,0,0,0,0,0,0,0,1,2,14.433715830688374,1.0
31,GXzFhvgfnbgLCOAEAAAdS,Emma.,Bronze,Romance,tt9214832,2020-02-21,2020-10-25,89,0.033454,89,598608,14836,234482.0,10000000.0,0,0,0,0,0,1,0,0,1,0,0,0,3,13.85681455250301,1.0
32,GYgbcAQusfLYbrQEAAAeJ,The Forever Purge,Gold,Horror ,tt10327252,2020-07-10,2022-04-15,630,0.125530,-51,3688441,32875,12551220.0,18000000.0,0,0,0,1,0,0,0,0,0,1,0,0,1,15.004703273954389,1.0
