Title Name,Hbomax Title ID,Reporting Content Category,Net Studio,Wbd Max Content Category,Reporting Primary Genre,Title First Offered Date
5000 Blankets,GZK1izABA6sNYwwEAAACn,Pay 1,Other 3rd Party,Movie,Drama,2023-08-18
65,GZGUWBgT7UMN_dwEAAApT,Pay 1,Sony / Columbia,Movie,Fantasy & Sci-Fi,2023-06-16
A Man Called Otto,GZDZ4jASL83SfmgEAAAdO,Pay 1,Sony / Columbia,Movie,Comedy,2023-05-12
Amor Bandido,GY9cisQTgx7iWtQEAAAAf,Pay 1,Other 3rd Party,Movie,drama,2023-02-24
"Are You There God? It's Me, Margaret.",GZTACwwALO8JMRAEAABM9,Pay 1,Sony / Columbia,Movie,Comedy,2023-11-10
Armageddon Time,GZK1nDg0nFaXCwgEAABAp,Pay 1,Other 3rd Party,Movie,Drama,2023-08-11
Barbie,GZKiGfgp33sN_dwEAAA9Q,Pay 1,WB Film Studio,Movie,Comedy,2023-12-15
Barbie Feature Commentary,GZYU7xwL9a7aHwwEAAAAC,Pay 1,WB Film Studio,Movie,Comedy,2023-12-18
Black Adam,GYzcHIw5407mRsAEAAAA4,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2022-12-16
Blue Beetle,GZNqBcAeOHg80wgEAAAAC,Pay 1,WB Film Studio,Movie,Action,2023-11-17
Bodies Bodies Bodies,GY7SGbgLrwMPDwgEAAAir,Pay 1,Other 3rd Party,Movie,Horror,2023-02-03
Body Brokers,GYLAFWwLOHJKRSAEAAACT,Pay 1,Particular Crowd,Movie,Drama,2022-03-11
Breaking,GZSbBdQGzOpaQVgEAABKX,Pay 1,Other 3rd Party,Movie,Crime,2023-11-03
Carmen,GZXj6dw3-ncMrwwEAAB43,Pay 1,Sony / Columbia,Movie,,2024-01-19
Cry Macho,GYSbJuAuzchDCwgEAAAAC,Pay 1,WB Film Studio,Movie,drama,2021-09-17
DC League of Super-Pets,GYw48owR8pBbDwwEAAAh0,Pay 1,WB Film Studio,Movie,Kids & Family,2022-09-26
Don't Worry Darling,GYzrqHgFIqsM2ewEAAAD4,Pay 1,WB Film Studio,Movie,Drama,2022-11-07
Dune,GYUjdLgBiJp5otAEAAAAJ,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2021-10-21
Echoes of a Crime,GYjNxrQs3UYR_AAEAAAA_,Pay 1,Particular Crowd,Movie,Action,2022-03-18
Eight for Silver,GZL7MaAgKQziStgEAAAAC,Pay 1,Other 3rd Party,Movie,Horror,2023-08-18
Elvis,GYuwmqAnwQZa8kAEAAAE-,Pay 1,WB Film Studio,Movie,drama,2022-09-02
Evil Dead Rise,GZDRcgwyT9bGYsAEAAAaQ,Pay 1,WB Film Studio,Movie,Horror,2023-06-23
Expiration Date,GZNZ_Aw2zJILCJwEAAAKW,Pay 1,Particular Crowd,Movie,comedy,2023-09-01
Family Camp,GY8ciYAek3UG9tAEAAAvA,Pay 1,Other 3rd Party,Movie,Comedy,2023-02-17
Hotel Coppelia,GYBNVwAIET33DwwEAAABO,Pay 1,Other 3rd Party,Movie,Drama,2021-03-26
Infinite Storm,GY1v3Gw4FcMLCwwEAAAAx,Pay 1,Other 3rd Party,Movie,Drama,2022-12-02
Jesus Revolution,GZPJKGgqhN4LCJwEAAAjq,Pay 1,Sony / Columbia,Movie,Drama,2023-09-29
King Richard,GYXB0OgEQO5OhegEAAAAl,Pay 1,WB Film Studio,Movie,Drama,2021-11-19
Living,GZKLaawoKZ6aHgQEAAB2_,Pay 1,Sony / Columbia,Movie,Drama,2023-08-25
Locked-in Society,GY-EWDAC8Uq-1mgEAAA5J,Pay 1,Other 3rd Party,Movie,drama,2023-03-24
Love Again,GZK1osg0i_cLCwgEAAB1Q,Pay 1,Sony / Columbia,Movie,Comedy,2023-08-11
Magic Mike's Last Dance,GY-_NEwflS6d9XQEAAAJk,Pay 1,WB Film Studio,Movie,Drama,2023-06-02
Malignant,GYSaKIQwrHruinAEAAABN,Pay 1,WB Film Studio,Movie,Horror,2021-09-10
Marcel the Shell with Shoes On,GZK1kwARcEcPCLwEAAB4M,Pay 1,A24,Movie,Kids & Family,2023-08-18
Meg 2: The Trench,GZJHxewqUJZOmPwEAAA4t,Pay 1,WB Film Studio,Movie,Action,2023-09-29
Missing,GZGOdegTxoEG9tAEAABjf,Pay 1,Sony / Columbia,Movie,Drama,2023-06-16
Moving On,GZUpePAFEmbqspgEAABdW,Pay 1,Other 3rd Party,Movie,Comedy,2023-12-15
Mummies,GY-I5Kwq2haaHgQEAAA8n,Pay 1,WB Film Studio,Movie,Kids & Family,2023-04-14
My Uncle José,GZJxcFAH6XMN_dwEAAA6x,Pay 1,Sony / Columbia,Movie,Drama,2023-08-18
No Hard Feelings,GZO5fqATCIIcRnQEAAAAC,Pay 1,Sony / Columbia,Movie,Comedy,2023-09-22
Red Rocket,GY3KH6wz2Lm6ylwEAAABi,Pay 1,A24,Movie,Comedy,2022-12-23
Reminiscence,GYQBEaQwta8PCAAEAAAA-,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2021-08-20
SISU,GZW4HGAy_fcJMRAEAAB3j,Pay 1,Lionsgate,Movie,Action,2023-12-29
"Sexo, Pudor y Lágrimas 2",GYfmcIw2nB4dQwwEAAAAV,Pay 1,Particular Crowd,Movie,Drama,2022-02-04
Shazam! Fury of the Gods,GZDBcoAAEt8PCGAEAAAAC,Pay 1,WB Film Studio,Movie,Action,2023-05-23
Targeted,GYpZSswVZ9mmjGwEAAAAC,Pay 1,Particular Crowd,Movie,Action,2022-06-24
The Batman,GYiDbSAmIpMNvYAEAAAAI,Pay 1,WB Film Studio,Movie,Action,2022-04-18
The Extortion,GZEapuApsUUG9tAEAABZp,Pay 1,Particular Crowd,Movie,Action,2023-05-19
The Fabelmans,GZM1lAANSJ5fDVQEAACJ4,Pay 1,WB Film Studio,Movie,Drama,2023-09-15
The Flash,GZIiwDg2tTcPCLwEAABtT,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2023-08-25
The Forgiven,GZFOHhQYwFJOmPwEAAAk4,Pay 1,Other 3rd Party,Movie,Drama,2023-06-09
The Invitation,GY-GLBAhzy6aHgQEAAA8b,Pay 1,Sony / Columbia,Movie,Horror,2023-03-17
The Machine,GZXewzQoproLCJwEAACCR,Pay 1,Other 3rd Party,Movie,,2024-01-05
The Many Saints Of Newark,GYS_3hgKL_avCwwEAAAAe,Pay 1,WB Film Studio,Movie,Drama,2021-10-01
The Northman,GY0ojsQI_tbcqtAEAAAA6,Pay 1,Disney,Movie,Action,2022-12-09
The Nun II,GZNuevgZakcMrwwEAAAMd,Pay 1,WB Film Studio,Movie,Horror,2023-10-27
The Pope's Exorcist,GZKSeog8ed7GYsAEAAA8V,Pay 1,Sony / Columbia,Movie,Horror,2023-08-04
The Suicide Squad,GYOxtow3Wz8PDwgEAAAdw,Pay 1,WB Film Studio,Movie,Action,2021-08-05
The Woman King,GZFFX1gMjTLGYsAEAAAj8,Pay 1,Other 3rd Party,Movie,Drama,2023-06-02
Veneciafrenia,GY1v3OQItRcNVqwEAAABM,Pay 1,Other 3rd Party,Movie,Horror,2022-12-09
Venus,GZL7G7wUj1C03owEAAAAC,Pay 1,Sony / Columbia,Movie,Horror,2023-09-01
Watcher,GZIHolw3GcAnCZwEAABub,Pay 1,AMC,Movie,Horror,2023-07-14
