,title_series,legacy_series_id,ckg_series_id,imdb_id,program_type,primary_genre,first_release_date,theatrical_date,area_gross,budget,observed_medal,latam_home_medal,day_on_max,cumulative_viewing_subscribers,cumulative_first_views,percent_cumulative_viewing_subscribers,percent_cumulative_first_views,days_from_theatrical,genre_Action,genre_Comedy,genre_Drama,genre_Fantasy & Sci-Fi,genre_Horror,genre_Kids & Family,genre_Music,genre_Not A Genre,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views,log_cumulative_viewing_subs
2,Ambulance,GYyRIgQNLUhu1wwEAAAAF,GYyRIgQNLUhu1wwEAAAAF,tt4998632,Acquired,Action,2022-11-24,2022-03-17,1218886.0,40000000.0,Silver,Silver,90.0,1107532.0,7058.0,8.839600,0.199500,252,1,0,0,0,0,0,0,0,0,0,0,1,2,12.785043714779723,20.07891695259599
3,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,1e047963-2433-4a1a-8095-830022a0ce57,tt10343028,Acquired,Drama,2023-08-10,2023-03-16,3967.0,15000000.0,Bronze,Bronze,90.0,34968.0,226.0,0.295300,0.008600,147,0,0,1,0,0,0,0,0,1,0,0,0,3,7.820178962415188,15.093747662785669
7,Belfast,GYpn_UA8YyZ3DZgEAAAAW,0b926c5b-b8e4-401c-ba69-783ce07ad098,tt12789558,Acquired,Drama,2022-10-27,2022-03-10,109066.0,11000000.0,Bronze,Bronze,90.0,137179.0,522.0,1.133700,0.017100,231,0,0,1,0,0,0,0,0,1,0,0,0,3,9.027905996569885,17.065700118376746
8,Black Adam,GYzcHIw5407mRsAEAAAA4,0c730836-253b-4338-a3d1-a6a44a3384e0,tt6443346,Acquired,Action,2022-12-16,2022-10-20,9282592.0,195000000.0,Platinum,Platinum,90.0,5705318.0,208837.0,44.638400,5.419500,57,1,0,0,0,0,0,0,0,0,0,1,0,0,17.672017813679602,22.44387587025307
15,Cry Macho,GYSbJuAuzchDCwgEAAAAC,b0598032-1cfd-4605-af5b-52ee492ce717,tt1924245,Acquired,Drama,2021-10-21,2021-10-21,102285.0,33000000.0,Silver,Silver,90.0,672638.0,8395.0,7.853500,0.298500,0,0,0,1,0,0,0,0,0,0,0,0,1,2,13.035314609824393,19.359470759193304
16,DC League of Super-Pets,GYw48owR8pBbDwwEAAAh0,01eec62a-f4cd-43b9-a07b-a4ead7ffc089,tt8912936,Acquired,Kids & Family,2022-09-26,2022-07-28,4649313.0,90000000.0,Platinum,Platinum,90.0,2859293.0,42193.0,24.405300,1.516100,60,0,0,0,0,0,1,0,0,0,0,1,0,0,15.364716049027823,21.447227033989968
17,Don't Worry Darling,GYzrqHgFIqsM2ewEAAAD4,c273c49d-85f6-4f00-ac49-6be233deb5b5,tt10731256,Acquired,Drama,2022-11-07,2022-09-22,1309915.0,20000000.0,Gold,Gold,90.0,2341183.0,26013.0,19.223200,0.823800,46,0,0,1,0,0,0,0,0,0,1,0,0,1,14.666945170046834,21.158806277321233
19,Dune,GYUjdLgBiJp5otAEAAAAJ,e7dc7b3a-a494-4ef1-8107-f4308aa6bbf7,tt1160419,Acquired,Fantasy & Sci-Fi,2021-11-26,2021-10-21,3209633.0,165000000.0,Platinum,Platinum,90.0,3070953.0,95506.0,32.701600,2.847900,36,0,0,0,1,0,0,0,0,0,0,1,0,0,16.543303750376737,21.550255001798888
20,Elvis,GYuwmqAnwQZa8kAEAAAE-,70b04aa5-5a83-4236-8212-a8fedd40a909,tt3704428,Acquired,Drama,2022-09-02,2022-07-14,2865051.0,85000000.0,Platinum,Platinum,90.0,3076510.0,52315.0,25.670200,1.579900,50,0,0,1,0,0,0,0,0,0,0,1,0,0,15.674937041564593,21.55286325125915
21,Evil Dead Rise,GZDRcgwyT9bGYsAEAAAaQ,8db82f99-0c69-4a9f-b125-7e0eb1bb4dd2,tt13345606,Acquired,Horror,2023-06-22,2023-04-20,2641239.0,12000000.0,Platinum,Platinum,90.0,3037606.0,66304.0,25.546500,2.529500,63,0,0,0,0,1,0,0,0,0,0,1,0,0,16.016808287686555,21.534503323065167
22,F9: The Fast Saga,GYfim_QUVfBqboQEAAAC-,31090db0-2f86-475b-bf66-6fcf42656cde,tt5433138,Acquired,Action,2022-02-10,2021-06-24,12812000.0,200000000.0,Gold,Gold,90.0,1620008.0,43366.0,16.321500,1.428600,231,1,0,0,0,0,0,0,0,0,1,0,0,1,15.404276757352761,20.627569506836437
23,Fantastic Beasts: The Secrets of Dumbledore,GYij31wBohZA3MQEAAAKa,3cfe3099-e685-40fe-b858-a5013692e030,tt4123432,Acquired,Fantasy & Sci-Fi,2022-05-30,2022-04-14,13083410.0,200000000.0,Platinum,Platinum,90.0,4042927.0,142497.0,36.816800,4.200700,46,0,0,0,1,0,0,0,0,0,0,1,0,0,17.1205720208673,21.94696872354254
25,Father Stu,GYsgX1w6JnKjDwgEAAAAD,GYsgX1w6JnKjDwgEAAAAD,tt14439896,Acquired,Drama,2022-08-18,2022-05-20,85588.0,4000000.0,Silver,Silver,90.0,1254514.0,9185.0,10.408800,0.242600,90,0,0,1,0,0,0,0,0,0,0,0,1,2,13.165064005998712,20.258697140205076
27,Ghostbusters: Afterlife,GYoRqaAX_zIZVSgEAAAEy,GYoRqaAX_zIZVSgEAAAEy,tt4513678,Acquired,Comedy,2022-06-09,2021-11-18,2548760.0,75000000.0,Platinum,Platinum,90.0,2353801.0,27355.0,20.903600,0.757800,203,0,1,0,0,0,0,0,0,0,0,1,0,0,14.739516935269942,21.166560923494522
