,Title Name,legacy_series_id,Reporting Content Category,Net Studio,Wbd Max Content Category,Reporting Primary Genre,Title First Offered Date,geo_value,theatrical_date,first_release_date
0,5000 Blankets,GZK1izABA6sNYwwEAAACn,Pay 1,Other 3rd Party,Movie,Drama,2023-08-18,,,
1,65,GZGUWBgT7UMN_dwEAAApT,Pay 1,Sony / Columbia,Movie,Fantasy & Sci-Fi,2023-06-16,COLOMBIA,2023-03-09,2023-06-15
2,65,GZGUWBgT7UMN_dwEAAApT,Pay 1,Sony / Columbia,Movie,Fantasy & Sci-Fi,2023-06-16,MEXICO,2023-03-10,2023-06-15
3,A Man Called Otto,GZDZ4jASL83SfmgEAAAdO,Pay 1,Sony / Columbia,Movie,Comedy,2023-05-12,COLOMBIA,2023-01-12,2023-05-11
4,A Man Called Otto,GZDZ4jASL83SfmgEAAAdO,Pay 1,Sony / Columbia,Movie,Comedy,2023-05-12,MEXICO,2022-12-23,2023-05-11
5,Amor Bandido,GY9cisQTgx7iWtQEAAAAf,Pay 1,Other 3rd Party,Movie,drama,2023-02-24,,,
6,"Are You There God? It's Me, Margaret.",GZTACwwALO8JMRAEAABM9,Pay 1,Sony / Columbia,Movie,Comedy,2023-11-10,,,
7,Armageddon Time,GZK1nDg0nFaXCwgEAABAp,Pay 1,Other 3rd Party,Movie,Drama,2023-08-11,COLOMBIA,2023-03-16,2023-08-10
8,Barbie,GZKiGfgp33sN_dwEAAA9Q,Pay 1,WB Film Studio,Movie,Comedy,2023-12-15,COLOMBIA,2023-07-20,2023-12-15
9,Barbie,GZKiGfgp33sN_dwEAAA9Q,Pay 1,WB Film Studio,Movie,Comedy,2023-12-15,BRAZIL,2023-07-20,2023-12-15
10,Barbie,GZKiGfgp33sN_dwEAAA9Q,Pay 1,WB Film Studio,Movie,Comedy,2023-12-15,ARGENTINA,2023-07-20,2023-12-15
11,Barbie Feature Commentary,GZYU7xwL9a7aHwwEAAAAC,Pay 1,WB Film Studio,Movie,Comedy,2023-12-18,,,
12,Black Adam,GYzcHIw5407mRsAEAAAA4,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2022-12-16,COLOMBIA,2022-10-20,2022-12-16
13,Black Adam,GYzcHIw5407mRsAEAAAA4,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2022-12-16,BRAZIL,2022-10-20,2022-12-16
14,Black Adam,GYzcHIw5407mRsAEAAAA4,Pay 1,WB Film Studio,Movie,Fantasy & Sci-Fi,2022-12-16,MEXICO,2022-11-04,2022-12-16
15,Blue Beetle,GZNqBcAeOHg80wgEAAAAC,Pay 1,WB Film Studio,Movie,Action,2023-11-17,BRAZIL,2023-08-17,2023-11-17
16,Blue Beetle,GZNqBcAeOHg80wgEAAAAC,Pay 1,WB Film Studio,Movie,Action,2023-11-17,COLOMBIA,2023-08-17,2023-11-17
17,Bodies Bodies Bodies,GY7SGbgLrwMPDwgEAAAir,Pay 1,Other 3rd Party,Movie,Horror,2023-02-03,COLOMBIA,2022-10-06,2023-02-02
18,Body Brokers,GYLAFWwLOHJKRSAEAAACT,Pay 1,Particular Crowd,Movie,Drama,2022-03-11,,,
19,Breaking,GZSbBdQGzOpaQVgEAABKX,Pay 1,Other 3rd Party,Movie,Crime,2023-11-03,,,
20,Carmen,GZXj6dw3-ncMrwwEAAB43,Pay 1,Sony / Columbia,Movie,,2024-01-19,,,
21,Cry Macho,GYSbJuAuzchDCwgEAAAAC,Pay 1,WB Film Studio,Movie,drama,2021-09-17,BRAZIL,2021-10-21,2021-10-21
22,Cry Macho,GYSbJuAuzchDCwgEAAAAC,Pay 1,WB Film Studio,Movie,drama,2021-09-17,MEXICO,2021-09-17,2021-10-21
23,Cry Macho,GYSbJuAuzchDCwgEAAAAC,Pay 1,WB Film Studio,Movie,drama,2021-09-17,COLOMBIA,2021-09-16,2021-10-21
24,DC League of Super-Pets,GYw48owR8pBbDwwEAAAh0,Pay 1,WB Film Studio,Movie,Kids & Family,2022-09-26,MEXICO,2022-07-29,2022-09-26
25,DC League of Super-Pets,GYw48owR8pBbDwwEAAAh0,Pay 1,WB Film Studio,Movie,Kids & Family,2022-09-26,COLOMBIA,2022-07-28,2022-09-26
