,title_name,title_id,primary_genre_desc,program_type,theatrical_release_date,asset_run_time,offering_start_date,offering_end_date,is_direct_to_max_title,licensor,observed_medal,days_on_hbo_max,cumulative_viewing_subs,cumulative_first_views,percent_cumulative_viewing_subscribers,percent_cumulative_first_views,imdb_id,area_gross,budget,days_from_theatrical,genre_action,genre_comedy,genre_crime,genre_drama,genre_fantasy & sci-fi,genre_horror,medal_Bronze,medal_Gold,medal_Platinum,medal_Silver,medal_number,log_cumulative_first_views
0,A Christmas Mystery,GY2QUhg4BOJ_DwgEAAAD-,comedy,acquired,2022-11-24,5224.0,2022-11-24 08:01:00,2026-05-06 03:59:00,1,"Warner Bros. Inc., Warner Media Direct, LLC",Bronze,90.0,670922.0,3898.0,2.134800,0.076700,tt22207152,,,0,0,1,0,0,0,0,1,0,0,0,3,11.92851837525789
1,The Kitchen,GXhzsZA8cqx_DTgEAAADY,crime,acquired,2019-09-20,6153.0,2020-03-29 00:00:00,2020-12-01 10:59:00,0,WARNER BROS. INC.,Bronze,90.0,39837.0,2045.0,0.514600,0.025600,tt5822564,5527410.0,38000000.0,191,0,0,1,0,0,0,1,0,0,0,3,10.997885127829111
2,The Good Liar,GXpTQtgV6ax-auwEAABc3,crime,acquired,2019-11-15,6574.0,2020-06-14 00:00:00,2021-03-01 10:59:00,0,WARNER BROS. INC.,Bronze,90.0,186115.0,10519.0,2.221600,0.176400,tt5563334,5605051.0,10000000.0,212,0,0,1,0,0,0,1,0,0,0,3,13.3607099393494
3,Moonshot,GYhfK9AxT1KKnnQEAAADT,comedy,acquired,2022-03-31,6123.0,2022-03-31 07:01:00,2022-07-01 03:59:00,1,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC",Silver,90.0,1791406.0,10045.0,6.014500,0.247000,tt12585076,,,0,0,1,0,0,0,0,0,0,0,1,2,13.294189943620655
4,Lights Out,GWZsaUQkr0bXCLwEAAABn,horror,acquired,2016-07-22,4755.0,2020-06-01 10:00:00,2020-12-11 10:59:00,0,WARNER BROS. INC.,Bronze,90.0,57023.0,1956.0,0.721200,0.030800,tt4786282,21688103.0,4900000.0,1410,0,0,0,0,0,1,1,0,0,0,3,10.933690654952233
5,Now You See Me,GYSVFDQdYcW1AigEAAAN9,action,acquired,2013-05-31,6779.0,2023-11-01 07:01:00,2024-07-01 03:59:00,0,Summit Entertainment,Bronze,,,,,,,,,3806,1,0,0,0,0,0,1,0,0,0,3,
6,The Rite,GYKa7VgOEd7TCwgEAAAAD,horror,acquired,2011-01-28,6726.0,2021-10-01 07:01:00,2022-04-01 07:00:00,0,New Line Cinema|Contrafilm,Bronze,90.0,179073.0,683.0,0.622300,0.010300,tt1161864,14789393.0,37000000.0,3899,0,0,0,0,0,1,1,0,0,0,3,9.41574176829009
7,Willard,GXk2j4Arr-I7CZgEAACRd,horror,acquired,1971-01-01,5705.0,2021-01-01 11:00:00,2021-10-01 07:00:00,0,"SHOUT FACTORY, LLC",Bronze,90.0,9209.0,46.0,0.042400,0.000500,tt0067991,,,18263,0,0,0,0,0,1,1,0,0,0,3,5.523561956057013
8,Holiday Harmony,GY2P7nwk70IGhwwEAAADH,drama,acquired,2022-11-24,6604.0,2022-11-24 08:01:00,2026-05-06 03:59:00,1,"Warner Bros. Inc., Warner Media Direct, LLC",Bronze,90.0,717988.0,5892.0,2.284500,0.116000,tt22814692,,3000000.0,0,0,0,0,1,0,0,1,0,0,0,3,12.524541715035848
9,A Hollywood Christmas,GY1_uNgldOTqGwwEAAABU,comedy,acquired,2022-12-01,5460.0,2022-12-01 08:01:00,2036-02-01 04:59:00,1,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC",Bronze,90.0,1019391.0,3994.0,3.245000,0.086300,tt21950514,,,0,0,1,0,0,0,0,1,0,0,0,3,11.963618617443972
10,How to Be Single,GV-BPaQSKT8JMwwEAAACP,comedy,acquired,2016-02-12,6586.0,2021-06-01 07:01:00,2022-06-01 07:00:00,0,WARNER BROS. INC.,Bronze,90.0,432670.0,2138.0,1.583200,0.033300,tt1292566,17878911.0,38000000.0,1936,0,1,0,0,0,0,1,0,0,0,3,11.06204613772049
11,The Fallout,GYc3xuwu2x5rCFgEAAALb,drama,acquired,2022-01-27,5643.0,2022-01-27 08:01:00,2026-02-01 04:59:00,1,"Warner Bros. Domestic Television Distribution, Warner Media Direct, LLC",Gold,90.0,4284363.0,64832.0,13.779700,1.214300,tt11847410,,12000000.0,0,0,0,0,1,0,0,0,1,0,0,1,15.984418458801137
12,Magnolia,GXrQWiQPZl77DwgEAAABw,drama,acquired,1999-12-17,11314.0,2020-07-01 10:00:00,2021-02-01 10:59:00,0,WARNER BROS. INC.,Bronze,90.0,16904.0,490.0,0.193100,0.008600,tt0175880,193604.0,37000000.0,7502,0,0,0,1,0,0,1,0,0,0,3,8.936637939002571
13,The Time Traveler's Wife,GXrHxIweO4a2brQEAAAC7,fantasy & sci-fi,acquired,2009-08-14,6355.0,2020-06-01 07:01:00,2020-08-01 03:59:00,0,New Line Cinema|Plan B Entertainment|Nick Wechsler Productions,Bronze,90.0,29943.0,919.0,0.378700,0.014500,tt0452694,18623171.0,39000000.0,3944,0,0,0,0,1,0,1,0,0,0,3,9.843921051289035
