,Movie,Cast,2021_score,2021_ranking,2020_score,2020_ranking,overall_score,overall_ranking,average_score,average_ranking
0,8-Bit Christmas,Neil Patrick Harris,7.514891468078229,566.0,,,99.19244175426465,5010.0,6.19952760964154,4209.6875
1,8-Bit Christmas,June Diane Raphael,0.7747232858494519,4410.0,0.3217362601145773,7443.0,34.032767872027314,14870.0,2.6179052209251785,5298.384615384615
2,8-Bit Christmas,Steve Zahn,1.2507861361151602,3072.0,1.4868395032737571,2414.0,168.7271382875466,2777.0,6.2491532699091294,3224.5185185185187
3,A Boy Called Christmas,Henry Lawfull,0.6270357778959308,5041.0,,,0.6270357778959308,211982.0,0.6270357778959308,5041.0
4,A Boy Called Christmas,Kristen Wiig,1.093014249116516,3463.0,22.857199751022417,69.0,292.93873689765854,1392.0,18.30867105610365,2331.5
5,A Boy Called Christmas,Maggie Smith,6.270357778959307,732.0,,,510.6591179405884,704.0,11.8757934404788,4052.186046511628
6,A Castle For Christmas,Brooke Shields,3.5508493869961364,1400.0,,,189.8096187085345,2383.0,6.545159265811536,9201.931034482759
7,A Castle For Christmas,Cary Elwes,2.896988944880928,1581.0,,,846.2117261586451,361.0,23.505881282184575,5395.083333333333
8,California Xmas: City Lights,Josh Swickard,0.33603609735129963,7047.0,2.0927744182540575,1854.0,2.428810515605357,112011.0,1.2144052578026785,4450.5
9,California Xmas: City Lights,Lauren Swickard,0.6720721947025993,4790.0,3.504104834163166,1098.0,4.758865340204396,73759.0,1.189716335051099,11732.25
10,California Xmas: City Lights,Amanda Detmer,0.05537072645466642,13488.0,0.3855264975026152,6702.0,17.317672109160895,26653.0,1.5743338281055357,10367.545454545454
11,Father Christmas Is Back,Elizabeth Hurley,1.7326071711176971,2485.0,,,89.94213464135417,5590.0,5.621383415084638,6516.125
12,Father Christmas Is Back,April Bowlby,0.14347474449247155,9880.0,,,0.876892499020779,184741.0,0.12527035700296843,15973.285714285714
13,Father Christmas Is Back,Kelsey Grammer,1.648405048614585,2587.0,0.8742423959820099,3780.0,106.02210639868476,4704.0,4.609656799942814,7438.434782608696
14,Home Sweet Home Alone,Rob Delaney,7.843392155156716,525.0,,,23.46098439311886,20629.0,4.692196878623773,7661.0
15,Home Sweet Home Alone,Ellie Kemper,4.841572718416751,960.0,0.0898664427463596,14185.0,32.38576629502278,15501.0,3.2385766295022784,4183.8
16,Home Sweet Home Alone,Archie Yates,1.3185635721802644,2996.0,,,6.796759093426516,58044.0,3.398379546713258,1927.5
17,Love Hard,Nina Dobrev,14.329855117594473,145.0,,,35.76247592474746,14222.0,2.9802063270622874,3996.0
18,Love Hard,Harry Shum Jr.,1.7813387217016312,2378.0,0.5910419330048664,5108.0,11.33107871179661,38486.0,0.8716214393689697,8329.692307692309
19,Love Hard,Jimmy O. Yang,7.799790637914807,529.0,2.637274906142225,1428.0,16.416838286242633,27922.0,2.7361397143737722,4054.8333333333335
20,Princess Switch 3,Vanessa Hudgens,5.676171811723336,788.0,15.93590603264603,112.0,82.95501623712124,6081.0,6.912918019760105,2462.1666666666665
21,Princess Switch 3,Sam Palladio,0.4439938134112541,6144.0,1.014912423140592,3425.0,5.193149040017157,69621.0,0.8655248400028596,9998.5
22,Princess Switch 3,Remy Hii,0.27500492377629426,7694.0,,,9.837295823195356,43319.0,2.4593239557988396,4491.5
23,Single All The Way,Jennifer Coolidge,0.5983007086747301,5233.0,4.957641262817595,655.0,151.605396911655,3163.0,6.591538996158913,7149.652173913043
24,Single All The Way,Kathy Najimy,0.5567976412859597,5478.0,,,108.82883010098129,4608.0,5.727833163209541,11382.052631578947
25,Single All The Way,Michael Urie,4.5147995696868914,1104.0,0.00020545266030913128,35636.0,5.590339875575744,66351.0,0.698792484446968,15902.375
