,Sundance Movie,Cast ,contributor_name,2021_score,2021_ranking,2020_score,2020_ranking,overall_score,overall_ranking,average_score,average_ranking
0,892,Connie Britton,Connie Britton,,,4.5881665837775865,735.0,23.647115501870246,20479.0,1.3910067942276616,8596.882352941177
1,892,John Boyega,John Boyega,0.5529287688549112,5457.0,,,72.67522205986424,7069.0,8.075024673318248,7667.888888888889
2,892,Michael K. Williams,Michael Kenneth Williams,0.07676708721078651,12109.0,0.6521041237445715,4825.0,53.598087359342756,9478.0,3.3498804599589227,7855.9375
3,Alice,Common,Common,,,4.850961338398093,665.0,84.28555508809967,5967.0,5.267847193006229,2438.875
4,Alice,Keke Palmer,Keke Palmer,,,0.05173629592444502,17333.0,14.264930454913925,31540.0,1.18874420457616,8703.333333333334
5,Alice,Johnny Lee Miller,Jonny Lee Miller,0.16024341231480907,9560.0,,,188.57647364506417,2398.0,13.469748117504583,4752.857142857143
6,Am I Ok,Dakota Johnson,Dakota Johnson,2.151887504514509,1984.0,3.24129841521898,1215.0,149.07713683782913,3219.0,12.423094736485764,1662.5833333333333
7,Am I Ok,Jermaine Fowler,Jermaine Fowler,5.6961652835902195,781.0,0.029077730812787667,21102.0,9.784695015441127,43476.0,2.4461737538602817,8650.5
8,Am I Ok,Sonoya Mizuno,Sonoya Mizuno,,,,,44.47438128929531,11352.0,8.89487625785906,6101.6
9,Blood,Gustaf Skarsgard,Gustaf Skarsgård,,,,,11.972539097460519,36803.0,0.7482836935912827,12056.375
10,Blood,Carla Juri,Carla Juri,,,1.2491090915392662,2878.0,11.316485885417325,38508.0,1.257387320601925,14714.888888888889
11,Blood,Takashi Ueno,Takashi Ueno,,,,,0.8327302389725858,188667.0,0.4163651194862929,1270.0
12,Brian And Charles,David Earl,David Earl,,,,,0.3593308362742048,260491.0,0.0898327090685512,22140.0
13,Brian And Charles,Chris Hayward,Chris Hayward,,,,,1.1468556535828789,163782.5,0.5734278267914394,2101.5
14,Brian And Charles,Louise Brealy,Louise Brealey,,,,,2.3038679108796667,115525.0,0.5759669777199167,10246.75
15,Call Jane,Elizabeth Banks,Elizabeth Banks,,,,,299.89794719268036,1361.0,13.039041182290449,4003.304347826087
16,Call Jane,Kate Mara,Kate Mara,0.006429404289010594,22254.0,,,118.32506833896339,4233.0,7.888337889264229,4572.666666666667
17,Call Jane,Sigourney Weaver,Sigourney Weaver,2.093529086496757,2029.0,0.6822363115433147,4742.0,2520.8570150454307,60.0,70.0238059734842,2621.972222222222
18,"Catherdral, The",Monica Barbaro,Monica Barbaro,,,,,0.0023794758972733934,1012066.5,0.0023794758972733934,40561.0
19,"Catherdral, The",Brian d'arcy James,Brian d'Arcy James,0.6503511943808226,4901.0,,,22.205113179997163,21610.0,1.8504260983330967,9871.166666666666
20,"Catherdral, The",Mark Zeisler,Mark Zeisler,,,,,10.692089918892407,40502.0,1.3365112398615508,7797.75
21,Cha Cha Real Smooth,Dakota Johnson,Dakota Johnson,2.151887504514509,1984.0,3.24129841521898,1215.0,149.07713683782913,3219.0,12.423094736485764,1662.5833333333333
22,Cha Cha Real Smooth,Leslie Mann,Leslie Mann,,,1.3134402295031358,2646.0,187.9910002177033,2408.0,9.39955001088517,3378.35
23,Cha Cha Real Smooth,Cooper Raiff,Cooper Raiff,,,1.3098524954253066,2651.0,1.3098524954253066,153746.0,1.3098524954253066,2651.0
24,Dual,Aaron Paul,Aaron Paul,,,0.2641690451041334,8276.0,104.34959289876417,4772.0,5.797199605486898,7439.5
25,Dual,Karen Gillan,Karen Gillan,11.707623740073842,204.0,1.3467084406425023,2614.0,115.44748655132217,4363.0,9.620623879276847,4311.583333333333
26,Dual,Beulah Koale,Beulah Koale,,,2.175169765358674,1822.0,3.4299405333363526,91305.0,0.6859881066672705,16705.6
27,Emergency,RJ Cyler,RJ Cyler,1.3447512366622296,2977.0,,,21.161739068178264,22644.0,3.5269565113630432,8635.333333333334
28,Emergency,Sabrina Carpenter,Sabrina Carpenter,,,1.1673270631665673,3054.0,4.051603781799601,81992.0,0.8103207563599201,3595.4
29,Emergency,Donald Watkins,Donald Elise Watkins,,,0.3692942484119584,6875.0,9.015800950067767,46506.0,1.5026334916779611,10119.666666666666
30,Emily the Criminal,Aubrey Plaza,Aubrey Plaza,0.4312102662550947,6281.0,4.280832202817331,801.0,69.63471693497372,7407.0,4.973908352498126,3241.3571428571427
31,Emily the Criminal,Gina Gershon,Gina Gershon,,,0.22632356510498466,9030.0,105.00275624105174,4743.0,3.281336132532867,8533.75
32,Emily the Criminal,Theo Rossi,Theo Rossi,6.236956366811053,732.0,0.5996608140208803,5093.0,16.25954769499035,28180.0,1.6259547694990342,10956.3
33,Everyday In Kaimuki,Naz Kawakami,Naz Kawakami,,,,,,,,
34,Everyday In Kaimuki,Rina White,Rina White,,,,,,,,
35,Everyday In Kaimuki,Holden Mandrial-Santos,Holden Mandrial-Santos,,,,,,,,
36,Fresh,Daisy Edgar-Jones,Daisy Edgar-Jones,,,,,0.0059439919199574896,868562.0,0.0059439919199574896,39174.0
