Loglines,Sundance Movie,Comps,imdb ratings,imdb votes,box offices
"When Brian Brown-Easley’s disability check fails to materialize from Veterans Affairs, he finds himself on the brink of homelessness and breaking his daughter’s heart. No other options, he walks into a Wells Fargo Bank and says “I’ve got a bomb.",892,The Station Agent,,,
"When Brian Brown-Easley’s disability check fails to materialize from Veterans Affairs, he finds himself on the brink of homelessness and breaking his daughter’s heart. No other options, he walks into a Wells Fargo Bank and says “I’ve got a bomb.",892,Joe,,,
"When Brian Brown-Easley’s disability check fails to materialize from Veterans Affairs, he finds himself on the brink of homelessness and breaking his daughter’s heart. No other options, he walks into a Wells Fargo Bank and says “I’ve got a bomb.",892,Dog Pound,,,
"When Brian Brown-Easley’s disability check fails to materialize from Veterans Affairs, he finds himself on the brink of homelessness and breaking his daughter’s heart. No other options, he walks into a Wells Fargo Bank and says “I’ve got a bomb.",892,Two Hands,,,
"When Brian Brown-Easley’s disability check fails to materialize from Veterans Affairs, he finds himself on the brink of homelessness and breaking his daughter’s heart. No other options, he walks into a Wells Fargo Bank and says “I’ve got a bomb.",892,"Kumiko, The Treasure Hunter",,,
"When a woman in servitude in 1800s Georgia escapes the 55-acre confines of her captor, she discovers the shocking reality that exists beyond the treeline…it’s 1973. Inspired by true events.",Alice,An American Crime,,,
"When a woman in servitude in 1800s Georgia escapes the 55-acre confines of her captor, she discovers the shocking reality that exists beyond the treeline…it’s 1973. Inspired by true events.",Alice,Lady Macbeth,,,
"When a woman in servitude in 1800s Georgia escapes the 55-acre confines of her captor, she discovers the shocking reality that exists beyond the treeline…it’s 1973. Inspired by true events.",Alice,The Lovely Bones,,,
"When a woman in servitude in 1800s Georgia escapes the 55-acre confines of her captor, she discovers the shocking reality that exists beyond the treeline…it’s 1973. Inspired by true events.",Alice,Inherent Vice,,,
"When a woman in servitude in 1800s Georgia escapes the 55-acre confines of her captor, she discovers the shocking reality that exists beyond the treeline…it’s 1973. Inspired by true events.",Alice,Sound of My Voice,,,
"Lucy and Jane have been best friends for most of their lives and think they know everything there is to know about each other. But when Jane announces she’s moving to London, Lucy reveals a long-held secret. As Jane tries to help Lucy, their friendship is thrown into chaos. ",Am I Ok,Mr. & Mrs. Smith,,,
"Lucy and Jane have been best friends for most of their lives and think they know everything there is to know about each other. But when Jane announces she’s moving to London, Lucy reveals a long-held secret. As Jane tries to help Lucy, their friendship is thrown into chaos. ",Am I Ok,27 Dresses,,,
"Lucy and Jane have been best friends for most of their lives and think they know everything there is to know about each other. But when Jane announces she’s moving to London, Lucy reveals a long-held secret. As Jane tries to help Lucy, their friendship is thrown into chaos. ",Am I Ok,New York Minute,,,
"Lucy and Jane have been best friends for most of their lives and think they know everything there is to know about each other. But when Jane announces she’s moving to London, Lucy reveals a long-held secret. As Jane tries to help Lucy, their friendship is thrown into chaos. ",Am I Ok,Sleeping Beauty,,,
"Lucy and Jane have been best friends for most of their lives and think they know everything there is to know about each other. But when Jane announces she’s moving to London, Lucy reveals a long-held secret. As Jane tries to help Lucy, their friendship is thrown into chaos. ",Am I Ok,A Lot Like Love,,,
"After the death of her husband, a young woman travels to Japan where she finds solace in an old friend. But when comforting turns to affection, she realizes she must give herself permission before she can fall in love again. ",Blood,Moonlight Mile,,,
"After the death of her husband, a young woman travels to Japan where she finds solace in an old friend. But when comforting turns to affection, she realizes she must give herself permission before she can fall in love again. ",Blood,Message in a Bottle,,,
"After the death of her husband, a young woman travels to Japan where she finds solace in an old friend. But when comforting turns to affection, she realizes she must give herself permission before she can fall in love again. ",Blood,Before We Go,,,
"After the death of her husband, a young woman travels to Japan where she finds solace in an old friend. But when comforting turns to affection, she realizes she must give herself permission before she can fall in love again. ",Blood,The Truth About Charlie,,,
"After the death of her husband, a young woman travels to Japan where she finds solace in an old friend. But when comforting turns to affection, she realizes she must give herself permission before she can fall in love again. ",Blood,The Edge,,,
"A story of friendship, love, and letting go. And a 7ft tall robot that eats cabbages. A comedy shot in documentary format.",Brian And Charles,Paper Man,,,
"A story of friendship, love, and letting go. And a 7ft tall robot that eats cabbages. A comedy shot in documentary format.",Brian And Charles,The Mitchells vs the Machines,,,
"A story of friendship, love, and letting go. And a 7ft tall robot that eats cabbages. A comedy shot in documentary format.",Brian And Charles,The Next Best Thing,,,
"A story of friendship, love, and letting go. And a 7ft tall robot that eats cabbages. A comedy shot in documentary format.",Brian And Charles,Wedding Daze,,,
"A story of friendship, love, and letting go. And a 7ft tall robot that eats cabbages. A comedy shot in documentary format.",Brian And Charles,The Iron Giant,,,
"Chicago, 1968: after having a life-saving secret abortion, a suburban housewife seeks to give women access to healthy and safe abortions through an underground collective of women known as “Jane.”",Call Jane,Never Rarely Sometimes Always,,,
"Chicago, 1968: after having a life-saving secret abortion, a suburban housewife seeks to give women access to healthy and safe abortions through an underground collective of women known as “Jane.”",Call Jane,Dogma,,,
"Chicago, 1968: after having a life-saving secret abortion, a suburban housewife seeks to give women access to healthy and safe abortions through an underground collective of women known as “Jane.”",Call Jane,Unplanned,,,
"Chicago, 1968: after having a life-saving secret abortion, a suburban housewife seeks to give women access to healthy and safe abortions through an underground collective of women known as “Jane.”",Call Jane,Widows,,,
"Chicago, 1968: after having a life-saving secret abortion, a suburban housewife seeks to give women access to healthy and safe abortions through an underground collective of women known as “Jane.”",Call Jane,"4 Months, 3 Weeks and 2 Days",,,
An only child’s account of an American family’s rise and fall over two decades.,"Catherdral, The",Lymelife,,,
An only child’s account of an American family’s rise and fall over two decades.,"Catherdral, The",Hillbilly Elegy,,,
An only child’s account of an American family’s rise and fall over two decades.,"Catherdral, The",King of California,,,
An only child’s account of an American family’s rise and fall over two decades.,"Catherdral, The",The Notorious Bettie Page,,,
An only child’s account of an American family’s rise and fall over two decades.,"Catherdral, The",Hick,,,
A directionless college graduate embarks on a relationship with a young mom and her teenage daughter while learning the boundaries of his new bar mitzvah party-starting gig.,Cha Cha Real Smooth,Beach Rats,,,
A directionless college graduate embarks on a relationship with a young mom and her teenage daughter while learning the boundaries of his new bar mitzvah party-starting gig.,Cha Cha Real Smooth,American Honey,,,
A directionless college graduate embarks on a relationship with a young mom and her teenage daughter while learning the boundaries of his new bar mitzvah party-starting gig.,Cha Cha Real Smooth,Struck by Lightning,,,
A directionless college graduate embarks on a relationship with a young mom and her teenage daughter while learning the boundaries of his new bar mitzvah party-starting gig.,Cha Cha Real Smooth,High Heels,,,
A directionless college graduate embarks on a relationship with a young mom and her teenage daughter while learning the boundaries of his new bar mitzvah party-starting gig.,Cha Cha Real Smooth,Kiss Kiss Bang Bang,,,
"After receiving a terminal diagnosis, Sarah commissions a clone of herself to ease the loss for her friends and family. When she makes a miraculous recovery, her attempt to have her clone decommissioned fails, and leads to a court-mandated duel to the death.",Dual,Return of the Living Dead III,,,
"After receiving a terminal diagnosis, Sarah commissions a clone of herself to ease the loss for her friends and family. When she makes a miraculous recovery, her attempt to have her clone decommissioned fails, and leads to a court-mandated duel to the death.",Dual,The Hole in the Ground,,,
"After receiving a terminal diagnosis, Sarah commissions a clone of herself to ease the loss for her friends and family. When she makes a miraculous recovery, her attempt to have her clone decommissioned fails, and leads to a court-mandated duel to the death.",Dual,Martyrs,,,
"After receiving a terminal diagnosis, Sarah commissions a clone of herself to ease the loss for her friends and family. When she makes a miraculous recovery, her attempt to have her clone decommissioned fails, and leads to a court-mandated duel to the death.",Dual,Horse Girl,,,
"After receiving a terminal diagnosis, Sarah commissions a clone of herself to ease the loss for her friends and family. When she makes a miraculous recovery, her attempt to have her clone decommissioned fails, and leads to a court-mandated duel to the death.",Dual,The Prodigy,,,
"Ready for a night of partying, a group of Black and Latino college students must weigh the pros and cons of calling the police when faced with an unusual emergency.",Emergency,Green Room,,,
"Ready for a night of partying, a group of Black and Latino college students must weigh the pros and cons of calling the police when faced with an unusual emergency.",Emergency,Triple Frontier,,,
"Ready for a night of partying, a group of Black and Latino college students must weigh the pros and cons of calling the police when faced with an unusual emergency.",Emergency,Dear White People,,,
"Ready for a night of partying, a group of Black and Latino college students must weigh the pros and cons of calling the police when faced with an unusual emergency.",Emergency,Rough Night,,,
"Ready for a night of partying, a group of Black and Latino college students must weigh the pros and cons of calling the police when faced with an unusual emergency.",Emergency,Sisters,,,
"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences. ",Emily the Criminal,Excess Baggage,,,
"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences. ",Emily the Criminal,Snatched,,,
"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences. ",Emily the Criminal,Side Effects,,,
"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences. ",Emily the Criminal,Sicario,,,
"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences. ",Emily the Criminal,A Lot Like Love,,,
"A young man is determined to give his life meaning outside of Kaimukī, the small Hawaiian town where he grew up, even if it means leaving everything he’s ever known and loved behind.",Everyday In Kaimuki,Struck by Lightning,,,
"A young man is determined to give his life meaning outside of Kaimukī, the small Hawaiian town where he grew up, even if it means leaving everything he’s ever known and loved behind.",Everyday In Kaimuki,Man of Steel,,,
"A young man is determined to give his life meaning outside of Kaimukī, the small Hawaiian town where he grew up, even if it means leaving everything he’s ever known and loved behind.",Everyday In Kaimuki,Beach Rats,,,
"A young man is determined to give his life meaning outside of Kaimukī, the small Hawaiian town where he grew up, even if it means leaving everything he’s ever known and loved behind.",Everyday In Kaimuki,Good Will Hunting,,,
"A young man is determined to give his life meaning outside of Kaimukī, the small Hawaiian town where he grew up, even if it means leaving everything he’s ever known and loved behind.",Everyday In Kaimuki,Dolphin Tale,,,
The horrors of modern dating seen through one young woman’s defiant battle to survive her new boyfriend’s unusual appetites. ,Fresh,The Ugly Truth,,,
The horrors of modern dating seen through one young woman’s defiant battle to survive her new boyfriend’s unusual appetites. ,Fresh,Single White Female,,,
The horrors of modern dating seen through one young woman’s defiant battle to survive her new boyfriend’s unusual appetites. ,Fresh,The Descent,,,
The horrors of modern dating seen through one young woman’s defiant battle to survive her new boyfriend’s unusual appetites. ,Fresh,The Glass Castle,,,
The horrors of modern dating seen through one young woman’s defiant battle to survive her new boyfriend’s unusual appetites. ,Fresh,Beach Rats,,,
"When a grieving college professor confronts two hunters she catches trespassing on her property, she’s drawn into an escalating battle of wills with catastrophic consequences.",God's Country,The Silencing,,,
"When a grieving college professor confronts two hunters she catches trespassing on her property, she’s drawn into an escalating battle of wills with catastrophic consequences.",God's Country,The Descent,,,
"When a grieving college professor confronts two hunters she catches trespassing on her property, she’s drawn into an escalating battle of wills with catastrophic consequences.",God's Country,Black Christmas,,,
"When a grieving college professor confronts two hunters she catches trespassing on her property, she’s drawn into an escalating battle of wills with catastrophic consequences.",God's Country,Moonlight Mile,,,
"When a grieving college professor confronts two hunters she catches trespassing on her property, she’s drawn into an escalating battle of wills with catastrophic consequences.",God's Country,Stealing Harvard,,,
"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. Good sex. And she has a plan: she hires a young sex worker named Leo Grande. ","Good Luck to You, Leo Grande",One Eight Seven,,,
"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. Good sex. And she has a plan: she hires a young sex worker named Leo Grande. ","Good Luck to You, Leo Grande",Bordertown,,,
"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. Good sex. And she has a plan: she hires a young sex worker named Leo Grande. ","Good Luck to You, Leo Grande",To Die For,,,
"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. Good sex. And she has a plan: she hires a young sex worker named Leo Grande. ","Good Luck to You, Leo Grande",Words and Pictures,,,
"Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. Good sex. And she has a plan: she hires a young sex worker named Leo Grande. ","Good Luck to You, Leo Grande",Jade,,,
